R_lo,R_hi,C_lo,C_hi,count
2.0,2.5,1.5,2.0,2
2.0,2.5,2.5,3.0,1
2.0,2.5,3.0,3.5,2
2.0,2.5,4.0,4.5,1
2.0,2.5,4.5,5.0,2
2.0,2.5,5.0,5.5,1
2.0,2.5,6.0,6.5,1
2.0,2.5,6.5,7.0,1
2.0,2.5,7.5,8.0,1
2.0,2.5,9.5,10.0,1
2.0,2.5,17.0,17.5,1
2.5,3.0,1.5,2.0,3
2.5,3.0,2.0,2.5,3
2.5,3.0,2.5,3.0,2
2.5,3.0,3.0,3.5,4
2.5,3.0,3.5,4.0,2
2.5,3.0,4.0,4.5,8
2.5,3.0,4.5,5.0,1
2.5,3.0,5.0,5.5,5
2.5,3.0,5.5,6.0,5
2.5,3.0,6.0,6.5,4
2.5,3.0,6.5,7.0,3
2.5,3.0,7.0,7.5,3
2.5,3.0,7.5,8.0,2
2.5,3.0,8.0,8.5,1
2.5,3.0,8.5,9.0,3
2.5,3.0,9.0,9.5,1
2.5,3.0,9.5,10.0,2
2.5,3.0,10.5,11.0,1
2.5,3.0,12.0,12.5,1
2.5,3.0,13.0,13.5,1
2.5,3.0,15.0,15.5,1
2.5,3.0,17.0,17.5,5
2.5,3.0,18.0,18.5,1
2.5,3.0,29.5,30.0,1
2.5,3.0,32.0,32.5,2
3.0,3.5,1.5,2.0,2
3.0,3.5,2.0,2.5,3
3.0,3.5,2.5,3.0,5
3.0,3.5,3.0,3.5,10
3.0,3.5,3.5,4.0,8
3.0,3.5,4.0,4.5,11
3.0,3.5,4.5,5.0,6
3.0,3.5,5.0,5.5,8
3.0,3.5,5.5,6.0,7
3.0,3.5,6.0,6.5,6
3.0,3.5,6.5,7.0,7
3.0,3.5,7.0,7.5,8
3.0,3.5,7.5,8.0,3
3.0,3.5,8.0,8.5,8
3.0,3.5,8.5,9.0,3
3.0,3.5,9.0,9.5,3
3.0,3.5,9.5,10.0,3
3.0,3.5,10.0,10.5,3
3.0,3.5,10.5,11.0,5
3.0,3.5,11.0,11.5,2
3.0,3.5,11.5,12.0,3
3.0,3.5,12.0,12.5,1
3.0,3.5,13.0,13.5,5
3.0,3.5,13.5,14.0,1
3.0,3.5,14.0,14.5,3
3.0,3.5,14.5,15.0,1
3.0,3.5,15.0,15.5,2
3.0,3.5,15.5,16.0,1
3.0,3.5,16.0,16.5,2
3.0,3.5,17.0,17.5,3
3.0,3.5,17.5,18.0,1
3.0,3.5,18.0,18.5,1
3.0,3.5,18.5,19.0,1
3.0,3.5,19.5,20.0,2
3.0,3.5,20.0,20.5,2
3.0,3.5,20.5,21.0,1
3.0,3.5,24.0,24.5,6
3.0,3.5,28.0,28.5,1
3.0,3.5,28.5,29.0,1
3.0,3.5,29.5,30.0,1
3.5,4.0,1.5,2.0,2
3.5,4.0,2.0,2.5,1
3.5,4.0,2.5,3.0,5
3.5,4.0,3.0,3.5,6
3.5,4.0,3.5,4.0,8
3.5,4.0,4.0,4.5,17
3.5,4.0,4.5,5.0,9
3.5,4.0,5.0,5.5,6
3.5,4.0,5.5,6.0,4
3.5,4.0,6.0,6.5,12
3.5,4.0,6.5,7.0,7
3.5,4.0,7.0,7.5,5
3.5,4.0,7.5,8.0,4
3.5,4.0,8.0,8.5,9
3.5,4.0,8.5,9.0,2
3.5,4.0,9.0,9.5,9
3.5,4.0,9.5,10.0,2
3.5,4.0,10.0,10.5,3
3.5,4.0,11.0,11.5,5
3.5,4.0,11.5,12.0,2
3.5,4.0,12.0,12.5,6
3.5,4.0,13.0,13.5,4
3.5,4.0,14.0,14.5,7
3.5,4.0,14.5,15.0,2
3.5,4.0,15.5,16.0,2
3.5,4.0,16.0,16.5,4
3.5,4.0,16.5,17.0,2
3.5,4.0,17.0,17.5,5
3.5,4.0,17.5,18.0,5
3.5,4.0,18.5,19.0,3
3.5,4.0,20.0,20.5,1
3.5,4.0,20.5,21.0,2
3.5,4.0,23.5,24.0,2
3.5,4.0,24.0,24.5,5
3.5,4.0,28.5,29.0,1
3.5,4.0,30.0,30.5,1
3.5,4.0,31.5,32.0,1
4.0,4.5,1.5,2.0,1
4.0,4.5,2.0,2.5,1
4.0,4.5,2.5,3.0,6
4.0,4.5,3.0,3.5,7
4.0,4.5,3.5,4.0,7
4.0,4.5,4.0,4.5,15
4.0,4.5,4.5,5.0,25
4.0,4.5,5.0,5.5,26
4.0,4.5,5.5,6.0,8
4.0,4.5,6.0,6.5,19
4.0,4.5,6.5,7.0,10
4.0,4.5,7.0,7.5,10
4.0,4.5,7.5,8.0,9
4.0,4.5,8.0,8.5,11
4.0,4.5,8.5,9.0,11
4.0,4.5,9.0,9.5,9
4.0,4.5,9.5,10.0,5
4.0,4.5,10.0,10.5,9
4.0,4.5,10.5,11.0,9
4.0,4.5,11.0,11.5,4
4.0,4.5,11.5,12.0,6
4.0,4.5,12.0,12.5,4
4.0,4.5,12.5,13.0,1
4.0,4.5,13.0,13.5,7
4.0,4.5,13.5,14.0,4
4.0,4.5,14.0,14.5,7
4.0,4.5,14.5,15.0,3
4.0,4.5,15.0,15.5,4
4.0,4.5,15.5,16.0,3
4.0,4.5,16.0,16.5,3
4.0,4.5,16.5,17.0,2
4.0,4.5,17.0,17.5,2
4.0,4.5,17.5,18.0,2
4.0,4.5,18.0,18.5,7
4.0,4.5,18.5,19.0,5
4.0,4.5,19.0,19.5,3
4.0,4.5,19.5,20.0,2
4.0,4.5,20.0,20.5,4
4.0,4.5,20.5,21.0,5
4.0,4.5,21.0,21.5,4
4.0,4.5,21.5,22.0,1
4.0,4.5,23.5,24.0,5
4.0,4.5,24.0,24.5,8
4.0,4.5,30.0,30.5,1
4.0,4.5,33.5,34.0,1
4.5,5.0,1.0,1.5,1
4.5,5.0,2.5,3.0,1
4.5,5.0,3.0,3.5,2
4.5,5.0,3.5,4.0,6
4.5,5.0,4.0,4.5,19
4.5,5.0,4.5,5.0,14
4.5,5.0,5.0,5.5,19
4.5,5.0,5.5,6.0,14
4.5,5.0,6.0,6.5,18
4.5,5.0,6.5,7.0,16
4.5,5.0,7.0,7.5,18
4.5,5.0,7.5,8.0,9
4.5,5.0,8.0,8.5,14
4.5,5.0,8.5,9.0,13
