quantity,group,bin_center,count
CR,cohort,0.17492149122807044,59
CR,cohort,0.2089750000000008,112
CR,cohort,0.24302850877193122,158
CR,cohort,0.2770820175438616,186
CR,cohort,0.311135526315792,241
CR,cohort,0.34518903508772236,314
CR,cohort,0.3792425438596528,394
CR,cohort,0.41329605263158314,482
CR,cohort,0.4473495614035135,538
CR,cohort,0.4814030701754439,552
CR,cohort,0.5154565789473744,768
CR,cohort,0.5495100877193047,768
CR,cohort,0.5835635964912351,926
CR,cohort,0.6176171052631655,955
CR,cohort,0.6516706140350959,1194
CR,cohort,0.6857241228070263,1240
CR,cohort,0.7197776315789566,1332
CR,cohort,0.753831140350887,1589
CR,cohort,0.7878846491228174,1684
CR,cohort,0.8219381578947478,1847
CR,cohort,0.8559916666666783,2047
CR,cohort,0.8900451754386086,2187
CR,cohort,0.924098684210539,2423
CR,cohort,0.9581521929824695,2605
CR,cohort,0.9922057017543997,2479
CR,cohort,1.0262592105263302,2305
CR,cohort,1.0603127192982607,1967
CR,cohort,1.0943662280701911,1479
CR,cohort,1.1284197368421214,1003
CR,cohort,1.1624732456140519,808
CR,cohort,1.196526754385982,540
CR,cohort,1.2305802631579126,384
CR,cohort,1.264633771929843,283
CR,cohort,1.2986872807017735,204
CR,cohort,1.3327407894737038,165
CR,cohort,1.366794298245634,118
CR,cohort,1.4008478070175645,77
CR,cohort,1.434901315789495,58
CR,cohort,1.4689548245614255,62
CR,cohort,1.5030083333333557,51
CR,cohort,1.5370618421052862,39
CR,cohort,1.5711153508772164,32
CR,cohort,1.605168859649147,29
CR,cohort,1.6392223684210774,21
CR,cohort,1.6732758771930079,17
CR,cohort,1.707329385964938,13
CR,cohort,1.7413828947368684,15
CR,cohort,1.7754364035087988,14
CR,cohort,1.8094899122807293,10
CR,cohort,1.8435434210526598,0
CR,cohort,1.87759692982459,0
CR,cohort,1.9116504385965203,0
CR,cohort,1.9457039473684508,0
CR,cohort,1.9797574561403812,0
CR,cohort,2.0138109649123113,0
CR,cohort,2.0478644736842417,0
CR,cohort,2.081917982456172,0
CR,cohort,2.1159714912281027,0
CR,cohort,2.150025000000033,0
CR,cohort,2.1840785087719636,0
CR,sepsis,0.17492149122807044,0
CR,sepsis,0.2089750000000008,0
CR,sepsis,0.24302850877193122,0
CR,sepsis,0.2770820175438616,0
CR,sepsis,0.311135526315792,0
CR,sepsis,0.34518903508772236,0
CR,sepsis,0.3792425438596528,12
CR,sepsis,0.41329605263158314,0
CR,sepsis,0.4473495614035135,14
CR,sepsis,0.4814030701754439,13
CR,sepsis,0.5154565789473744,18
CR,sepsis,0.5495100877193047,17
CR,sepsis,0.5835635964912351,31
CR,sepsis,0.6176171052631655,34
CR,sepsis,0.6516706140350959,35
CR,sepsis,0.6857241228070263,39
CR,sepsis,0.7197776315789566,57
CR,sepsis,0.753831140350887,59
CR,sepsis,0.7878846491228174,46
CR,sepsis,0.8219381578947478,75
CR,sepsis,0.8559916666666783,85
CR,sepsis,0.8900451754386086,118
CR,sepsis,0.924098684210539,145
CR,sepsis,0.9581521929824695,175
CR,sepsis,0.9922057017543997,196
CR,sepsis,1.0262592105263302,292
CR,sepsis,1.0603127192982607,265
CR,sepsis,1.0943662280701911,189
CR,sepsis,1.1284197368421214,127
CR,sepsis,1.1624732456140519,90
CR,sepsis,1.196526754385982,70
CR,sepsis,1.2305802631579126,39
CR,sepsis,1.264633771929843,33
CR,sepsis,1.2986872807017735,19
CR,sepsis,1.3327407894737038,20
CR,sepsis,1.366794298245634,13
CR,sepsis,1.4008478070175645,0
CR,sepsis,1.434901315789495,11
CR,sepsis,1.4689548245614255,0
CR,sepsis,1.5030083333333557,0
CR,sepsis,1.5370618421052862,0
CR,sepsis,1.5711153508772164,0
CR,sepsis,1.605168859649147,0
CR,sepsis,1.6392223684210774,0
CR,sepsis,1.6732758771930079,0
CR,sepsis,1.707329385964938,0
CR,sepsis,1.7413828947368684,0
CR,sepsis,1.7754364035087988,0
CR,sepsis,1.8094899122807293,0
CR,sepsis,1.8435434210526598,0
CR,sepsis,1.87759692982459,0
CR,sepsis,1.9116504385965203,0
CR,sepsis,1.9457039473684508,0
CR,sepsis,1.9797574561403812,0
CR,sepsis,2.0138109649123113,0
CR,sepsis,2.0478644736842417,0
CR,sepsis,2.081917982456172,0
CR,sepsis,2.1159714912281027,0
CR,sepsis,2.150025000000033,0
CR,sepsis,2.1840785087719636,0
CR,non_sepsis,0.17492149122807044,59
CR,non_sepsis,0.2089750000000008,110
CR,non_sepsis,0.24302850877193122,157
CR,non_sepsis,0.2770820175438616,180
CR,non_sepsis,0.311135526315792,236
CR,non_sepsis,0.34518903508772236,306
CR,non_sepsis,0.3792425438596528,382
CR,non_sepsis,0.41329605263158314,475
CR,non_sepsis,0.4473495614035135,524
CR,non_sepsis,0.4814030701754439,539
CR,non_sepsis,0.5154565789473744,750
CR,non_sepsis,0.5495100877193047,751
CR,non_sepsis,0.5835635964912351,895
CR,non_sepsis,0.6176171052631655,921
CR,non_sepsis,0.6516706140350959,1159
CR,non_sepsis,0.6857241228070263,1201
CR,non_sepsis,0.7197776315789566,1275
CR,non_sepsis,0.753831140350887,1530
CR,non_sepsis,0.7878846491228174,1638
CR,non_sepsis,0.8219381578947478,1772
CR,non_sepsis,0.8559916666666783,1962
CR,non_sepsis,0.8900451754386086,2069
CR,non_sepsis,0.924098684210539,2278
CR,non_sepsis,0.9581521929824695,2430
CR,non_sepsis,0.9922057017543997,2283
CR,non_sepsis,1.0262592105263302,2013
CR,non_sepsis,1.0603127192982607,1702
CR,non_sepsis,1.0943662280701911,1290
CR,non_sepsis,1.1284197368421214,876
CR,non_sepsis,1.1624732456140519,718
CR,non_sepsis,1.196526754385982,470
CR,non_sepsis,1.2305802631579126,345
CR,non_sepsis,1.264633771929843,250
CR,non_sepsis,1.2986872807017735,185
CR,non_sepsis,1.3327407894737038,145
CR,non_sepsis,1.366794298245634,105
CR,non_sepsis,1.4008478070175645,68
CR,non_sepsis,1.434901315789495,47
CR,non_sepsis,1.4689548245614255,56
CR,non_sepsis,1.5030083333333557,46
CR,non_sepsis,1.5370618421052862,32
CR,non_sepsis,1.5711153508772164,25
CR,non_sepsis,1.605168859649147,25
CR,non_sepsis,1.6392223684210774,17
CR,non_sepsis,1.6732758771930079,16
CR,non_sepsis,1.707329385964938,10
CR,non_sepsis,1.7413828947368684,10
CR,non_sepsis,1.7754364035087988,12
CR,non_sepsis,1.8094899122807293,0
CR,non_sepsis,1.8435434210526598,0
CR,non_sepsis,1.87759692982459,0
CR,non_sepsis,1.9116504385965203,0
CR,non_sepsis,1.9457039473684508,0
CR,non_sepsis,1.9797574561403812,0
CR,non_sepsis,2.0138109649123113,0
CR,non_sepsis,2.0478644736842417,0
CR,non_sepsis,2.081917982456172,0
CR,non_sepsis,2.1159714912281027,0
CR,non_sepsis,2.150025000000033,0
CR,non_sepsis,2.1840785087719636,0
SR,cohort,0.23135668906257312,352
SR,cohort,0.36073673385438587,879
SR,cohort,0.4901167786461985,1362
SR,cohort,0.6194968234380113,1782
SR,cohort,0.748876868229824,2159
SR,cohort,0.8782569130216367,2391
SR,cohort,1.0076369578134494,2626
SR,cohort,1.1370170026052622,2716
SR,cohort,1.266397047397075,2486
SR,cohort,1.3957770921888877,2553
SR,cohort,1.5251571369807004,2379
SR,cohort,1.654537181772513,1992
SR,cohort,1.7839172265643257,1878
SR,cohort,1.9132972713561385,1696
SR,cohort,2.0426773161479512,1407
SR,cohort,2.172057360939764,1270
SR,cohort,2.3014374057315767,997
SR,cohort,2.4308174505233895,845
SR,cohort,2.5601974953152022,725
SR,cohort,2.689577540107015,629
SR,cohort,2.8189575848988278,531
SR,cohort,2.9483376296906405,450
SR,cohort,3.0777176744824533,348
SR,cohort,3.207097719274266,307
SR,cohort,3.3364777640660783,260
SR,cohort,3.465857808857891,207
SR,cohort,3.595237853649704,198
SR,cohort,3.7246178984415166,154
SR,cohort,3.8539979432333293,141
SR,cohort,3.983377988025142,133
SR,cohort,4.112758032816956,112
SR,cohort,4.242138077608768,86
SR,cohort,4.37151812240058,75
SR,cohort,4.500898167192393,87
SR,cohort,4.630278211984206,66
SR,cohort,4.759658256776019,67
SR,cohort,4.889038301567831,59
SR,cohort,5.018418346359644,43
SR,cohort,5.147798391151457,36
SR,cohort,5.27717843594327,40
SR,cohort,5.406558480735082,40
SR,cohort,5.535938525526895,27
SR,cohort,5.665318570318708,21
SR,cohort,5.794698615110521,23
SR,cohort,5.924078659902333,15
SR,cohort,6.053458704694146,16
SR,cohort,6.182838749485959,26
SR,cohort,6.312218794277771,12
SR,cohort,6.441598839069584,16
SR,cohort,6.570978883861397,15
SR,cohort,6.700358928653209,12
SR,cohort,6.829738973445022,11
SR,cohort,6.959119018236835,15
SR,cohort,7.088499063028648,0
SR,cohort,7.21787910782046,0
SR,cohort,7.347259152612273,13
SR,cohort,7.4766391974040864,0
SR,cohort,7.606019242195899,0
SR,cohort,7.735399286987711,0
SR,cohort,7.864779331779525,0
SR,sepsis,0.23135668906257312,0
SR,sepsis,0.36073673385438587,21
SR,sepsis,0.4901167786461985,39
SR,sepsis,0.6194968234380113,53
SR,sepsis,0.748876868229824,76
SR,sepsis,0.8782569130216367,88
SR,sepsis,1.0076369578134494,101
SR,sepsis,1.1370170026052622,102
SR,sepsis,1.266397047397075,119
SR,sepsis,1.3957770921888877,117
SR,sepsis,1.5251571369807004,111
SR,sepsis,1.654537181772513,104
SR,sepsis,1.7839172265643257,103
SR,sepsis,1.9132972713561385,91
SR,sepsis,2.0426773161479512,89
SR,sepsis,2.172057360939764,78
SR,sepsis,2.3014374057315767,59
SR,sepsis,2.4308174505233895,70
SR,sepsis,2.5601974953152022,63
SR,sepsis,2.689577540107015,59
SR,sepsis,2.8189575848988278,59
SR,sepsis,2.9483376296906405,46
SR,sepsis,3.0777176744824533,50
SR,sepsis,3.207097719274266,35
SR,sepsis,3.3364777640660783,40
SR,sepsis,3.465857808857891,45
SR,sepsis,3.595237853649704,32
SR,sepsis,3.7246178984415166,32
SR,sepsis,3.8539979432333293,36
SR,sepsis,3.983377988025142,38
SR,sepsis,4.112758032816956,33
SR,sepsis,4.242138077608768,28
SR,sepsis,4.37151812240058,15
SR,sepsis,4.500898167192393,31
SR,sepsis,4.630278211984206,30
SR,sepsis,4.759658256776019,29
SR,sepsis,4.889038301567831,29
SR,sepsis,5.018418346359644,21
SR,sepsis,5.147798391151457,20
SR,sepsis,5.27717843594327,23
SR,sepsis,5.406558480735082,23
SR,sepsis,5.535938525526895,14
SR,sepsis,5.665318570318708,0
SR,sepsis,5.794698615110521,14
SR,sepsis,5.924078659902333,0
SR,sepsis,6.053458704694146,0
SR,sepsis,6.182838749485959,17
SR,sepsis,6.312218794277771,11
SR,sepsis,6.441598839069584,12
SR,sepsis,6.570978883861397,13
SR,sepsis,6.700358928653209,0
SR,sepsis,6.829738973445022,0
SR,sepsis,6.959119018236835,11
SR,sepsis,7.088499063028648,0
SR,sepsis,7.21787910782046,0
SR,sepsis,7.347259152612273,0
SR,sepsis,7.4766391974040864,0
SR,sepsis,7.606019242195899,0
SR,sepsis,7.735399286987711,0
SR,sepsis,7.864779331779525,0
SR,non_sepsis,0.23135668906257312,346
SR,non_sepsis,0.36073673385438587,858
SR,non_sepsis,0.4901167786461985,1323
SR,non_sepsis,0.6194968234380113,1729
SR,non_sepsis,0.748876868229824,2083
SR,non_sepsis,0.8782569130216367,2303
