CR_bin,SR_median,SR_q25,SR_q75,theory,n
0.1515,0.1622,0.1515,0.2121,0.1786,33
0.1875,0.224,0.1926,0.2745,0.2308,84
0.2273,0.2693,0.2308,0.3105,0.2941,164
0.2654,0.3148,0.2667,0.3677,0.3613,206
0.3056,0.3636,0.3137,0.4286,0.44,263
0.3429,0.4048,0.35,0.4667,0.5217,317
0.381,0.4583,0.3913,0.5282,0.6154,434
0.4186,0.5161,0.4415,0.5851,0.7199,559
0.4571,0.551,0.4737,0.6667,0.8421,659
0.5,0.6306,0.5556,0.7317,1.0,760
0.5342,0.6836,0.5882,0.8182,1.147,806
0.5725,0.7568,0.65,0.8909,1.3394,994
0.6125,0.8286,0.7083,0.9687,1.5806,1077
0.6512,0.8889,0.7526,1.0417,1.8667,1355
0.6905,0.9792,0.8333,1.15,2.2308,1435
0.7285,1.0732,0.9111,1.2632,2.6826,1587
0.7667,1.1495,1.0,1.3571,3.2857,1822
0.8059,1.2619,1.0694,1.5,4.1528,2019
0.8444,1.3636,1.1374,1.6179,5.4286,2214
0.8839,1.4889,1.2549,1.7838,7.6154,2509
0.9224,1.6364,1.3714,2.0,11.8919,2765
0.9604,1.8255,1.4879,2.2222,24.2308,2902
