repo,opened_yr,closed_yr,CR,backlog,drain_months
codecrafters-io/build-your-own-x,130.1,84.1,1.5476,265,37.83
public-apis/public-apis,217.1,209.1,1.0383,10,0.57
freeCodeCamp/freeCodeCamp,2250.5,2272.6,0.9903,175,0.92
EbookFoundation/free-programming-books,112.1,105.1,1.0667,38,4.34
openclaw/openclaw,46552.9,43081.5,1.0806,3469,0.97
nilbuild/developer-roadmap,248.2,498.3,0.498,1,0.02
donnemartin/system-design-primer,59.0,36.0,1.6389,270,89.94
obra/superpowers,832.6,681.5,1.2217,151,2.66
react/react,641.4,634.4,1.011,811,15.34
affaan-m/ECC,696.5,658.5,1.0578,38,0.69
NousResearch/hermes-agent,20615.1,10489.2,1.9654,10119,11.58
TheAlgorithms/Python,165.1,97.1,1.701,143,17.68
mattpocock/skills,608.4,296.2,2.0541,312,12.64
ossu/computer-science,24.0,21.0,1.1429,16,9.14
n8n-io/n8n,5013.4,5268.6,0.9516,335,0.76
tensorflow/tensorflow,981.7,1069.7,0.9177,798,8.95
anomalyco/opencode,21975.0,18729.8,1.1733,3821,2.45
ultraworkers/claw-code,2212.5,2196.5,1.0073,16,0.09
ohmyzsh/ohmyzsh,120.1,109.1,1.1009,150,16.5
microsoft/vscode,46338.7,41062.1,1.1285,17345,5.07
massgravel/Microsoft-Activation-Scripts,352.2,349.2,1.0086,3,0.1
Significant-Gravitas/AutoGPT,705.5,437.3,1.6133,407,11.17
jackfrued/Python-100-Days,41.0,74.1,0.5541,536,86.86
yt-dlp/yt-dlp,2218.5,1858.3,1.1939,1969,12.72
avelino/awesome-go,72.0,59.0,1.2203,19,3.86
flutter/flutter,6545.5,5938.1,1.1023,12544,25.35
ollama/ollama,3063.1,2428.7,1.2612,2383,11.77
twbs/bootstrap,200.1,456.3,0.4386,151,3.97
microsoft/markitdown,241.2,112.1,2.1518,377,40.37
521xueweihan/HelloGitHub,457.3,87.1,5.2529,580,79.95
anthropics/skills,358.2,48.0,7.4583,310,77.45
f/prompts.chat,59.0,41.0,1.439,18,5.26
firecrawl/firecrawl,282.2,364.2,0.7747,59,1.94
AUTOMATIC1111/stable-diffusion-webui,101.1,36.0,2.8056,2422,806.78
huggingface/transformers,1566.1,1773.2,0.8832,893,6.04
Snailclimb/JavaGuide,53.0,67.0,0.791,57,10.2
langflow-ai/langflow,758.5,981.7,0.7727,216,2.64
langgenius/dify,6328.3,6750.6,0.9374,271,0.48
open-webui/open-webui,3281.2,3174.2,1.0337,311,1.18
airbnb/javascript,54.0,51.0,1.0588,100,23.51
Genymobile/scrcpy,550.4,204.1,2.6961,2787,163.83
langchain-ai/langchain,1463.0,1285.9,1.1377,349,3.26
x1xhlol/system-prompts-and-models-of-ai-tools,116.1,69.0,1.6812,91,15.82
vercel/next.js,1824.2,1906.3,0.957,2240,14.1
msitarzewski/agency-agents,139.1,87.1,1.5977,52,7.17
ytdl-org/youtube-dl,70.0,85.1,0.8235,3625,511.41
anthropics/claude-code,77506.1,65756.0,1.1787,14810,2.7
microsoft/PowerToys,6657.6,6240.3,1.0669,7325,14.09
clash-verge-rev/clash-verge-rev,2072.4,1770.2,1.1707,396,2.68
golang/go,4972.4,4438.0,1.1204,9725,26.3
iptv-org/iptv,19883.6,20306.9,0.9792,17,0.01
labuladong/fucking-algorithm,64.0,63.0,1.0159,4,0.76
Shubhamsaboo/awesome-llm-apps,96.1,96.1,1.0,4,0.5
