repo,year,age,opened,closed,snapshot_CR
axios/axios,2014,0,21,16,0.3682
axios/axios,2015,1,103,77,0.3682
axios/axios,2016,2,334,307,0.3682
axios/axios,2017,3,525,399,0.3682
axios/axios,2018,4,517,298,0.3682
axios/axios,2019,5,529,571,0.3682
axios/axios,2020,6,708,856,0.3682
axios/axios,2021,7,647,645,0.3682
axios/axios,2022,8,655,570,0.3682
axios/axios,2023,9,385,205,0.3682
axios/axios,2024,10,309,237,0.3682
axios/axios,2025,11,190,549,0.3682
twbs/bootstrap,2011,0,618,576,0.4386
twbs/bootstrap,2012,1,4131,4037,0.4386
twbs/bootstrap,2013,2,3814,3901,0.4386
twbs/bootstrap,2014,3,2129,2092,0.4386
twbs/bootstrap,2015,4,1934,1686,0.4386
twbs/bootstrap,2016,5,1547,1702,0.4386
twbs/bootstrap,2017,6,2222,2156,0.4386
twbs/bootstrap,2018,7,1601,1563,0.4386
twbs/bootstrap,2019,8,989,918,0.4386
twbs/bootstrap,2020,9,884,918,0.4386
twbs/bootstrap,2021,10,1135,1117,0.4386
twbs/bootstrap,2022,11,679,777,0.4386
twbs/bootstrap,2023,12,549,395,0.4386
twbs/bootstrap,2024,13,338,248,0.4386
twbs/bootstrap,2025,14,244,319,0.4386
gin-gonic/gin,2014,0,111,62,0.4831
gin-gonic/gin,2015,1,232,186,0.4831
gin-gonic/gin,2016,2,184,124,0.4831
gin-gonic/gin,2017,3,210,234,0.4831
gin-gonic/gin,2018,4,281,278,0.4831
gin-gonic/gin,2019,5,273,223,0.4831
gin-gonic/gin,2020,6,230,126,0.4831
gin-gonic/gin,2021,7,220,137,0.4831
gin-gonic/gin,2022,8,217,108,0.4831
gin-gonic/gin,2023,9,173,84,0.4831
gin-gonic/gin,2024,10,135,73,0.4831
gin-gonic/gin,2025,11,107,66,0.4831
nilbuild/developer-roadmap,2017,0,159,114,0.498
nilbuild/developer-roadmap,2018,1,146,103,0.498
nilbuild/developer-roadmap,2019,2,76,26,0.498
nilbuild/developer-roadmap,2020,3,92,206,0.498
nilbuild/developer-roadmap,2021,4,49,24,0.498
nilbuild/developer-roadmap,2022,5,266,249,0.498
nilbuild/developer-roadmap,2023,6,842,237,0.498
