repo,n_years,growth_slope,infeasible_share
521xueweihan/HelloGitHub,9,-0.1021,0.8889
Genymobile/scrcpy,8,0.0163,1.0
Snailclimb/JavaGuide,8,-0.0421,0.875
TheAlgorithms/Python,9,0.1239,0.75
angular/angular,12,0.0646,0.6667
axios/axios,12,0.1772,0.7273
denoland/deno,8,0.1862,1.0
excalidraw/excalidraw,6,-0.117,1.0
fastapi/fastapi,6,0.1382,0.7143
gin-gonic/gin,12,-0.0595,0.9167
gohugoio/hugo,13,0.1111,0.6154
jaywcjlove/awesome-mac,10,-0.0287,0.9
mermaid-js/mermaid,12,0.1608,0.8333
microsoft/TypeScript,12,0.0211,0.75
microsoft/Web-Dev-For-Beginners,5,0.0459,0.8
microsoft/playwright,6,0.0992,0.7143
mrdoob/three.js,16,0.0365,0.6875
mui/material-ui,12,0.0741,0.8333
nilbuild/developer-roadmap,9,0.3155,0.6667
nodejs/node,12,0.0813,0.75
pytorch/pytorch,10,0.2924,1.0
ruanyf/weekly,8,0.2041,1.0
storybookjs/storybook,10,0.0581,0.9
twbs/bootstrap,15,-0.1415,0.6667
ytdl-org/youtube-dl,16,0.1092,0.75
