t_ms,active_pxp_null,active_pxp_graded,active_pxp_two_state,published_pxp_two_state,active_simes_two_state,passive_pxp_null,passive_pxp_graded,passive_pxp_two_state
-285.0,0.497082,0.251687,0.251231,0.255419,False,0.412895,0.287321,0.299784
-255.0,0.468822,0.265848,0.265331,0.268407,False,0.637113,0.18144,0.181446
-225.0,0.616858,0.19157,0.191571,0.188948,False,0.621328,0.189333,0.189339
-195.0,0.588735,0.20563,0.205635,0.184229,False,0.567145,0.21638,0.216474
-165.0,0.467102,0.266464,0.266434,0.229574,False,0.415639,0.290929,0.293432
-135.0,0.468074,0.265392,0.266534,0.246745,False,0.381033,0.323495,0.295472
-105.0,0.654901,0.171033,0.174066,0.144457,False,0.439286,0.280821,0.279893
-75.0,0.383237,0.300835,0.315927,0.307818,False,0.392025,0.317301,0.290674
-45.0,0.412145,0.301946,0.285909,0.284397,False,0.401682,0.300205,0.298113
-15.0,0.482597,0.258746,0.258657,0.265831,False,0.428743,0.285363,0.285894
15.0,0.389204,0.299711,0.311085,0.32027,False,0.391224,0.302967,0.305809
45.0,0.311534,0.328691,0.359775,0.441319,False,0.302136,0.306982,0.390883
75.0,0.338302,0.362876,0.298822,0.29423,False,0.392439,0.31481,0.292752
105.0,0.299687,0.382333,0.317981,0.362129,False,0.270959,0.458837,0.270204
135.0,0.110268,0.7487,0.141032,0.116297,False,0.196758,0.60614,0.197102
165.0,0.020125,0.925662,0.0542128,0.0668339,False,0.16651,0.666102,0.167389
195.0,0.00521654,0.179186,0.815598,0.169132,False,0.0726345,0.441609,0.485756
225.0,0.00244606,0.994538,0.00301586,0.00990789,False,0.0592417,0.58429,0.356469
255.0,0.00577304,0.494707,0.49952,0.164141,False,0.0265646,0.70445,0.268985
285.0,0.00433809,0.768726,0.226935,0.886224,False,0.0121201,0.950015,0.0378647
315.0,0.00344193,0.0337755,0.962783,0.994007,False,0.0130346,0.658022,0.328944
345.0,0.00207245,0.0032173,0.99471,0.946055,False,0.00851538,0.970637,0.0208477
375.0,0.00155812,0.00228572,0.996156,0.996818,True,0.0105588,0.782473,0.206968
405.0,0.00298313,0.0135126,0.983504,0.993364,False,0.00538551,0.986068,0.00854666
435.0,0.000490233,0.000513199,0.998997,0.99848,True,0.0114167,0.780632,0.207951
465.0,0.00070936,0.000771228,0.998519,0.998587,True,0.00229201,0.995338,0.00237046
495.0,0.000691263,0.000728186,0.998581,0.995571,True,0.00429954,0.991105,0.00459568
525.0,0.00168621,0.00231901,0.995995,0.990225,True,0.0115236,0.974797,0.0136794
555.0,0.00249326,0.00661232,0.990894,0.845508,False,0.00918142,0.981603,0.00921546
585.0,0.00437919,0.140984,0.854637,0.811212,False,0.144664,0.526263,0.329072
615.0,0.00291347,0.00775483,0.989332,0.565466,False,0.202579,0.588899,0.208523
645.0,0.00535124,0.0597198,0.934929,0.972931,False,0.153246,0.69344,0.153314
675.0,0.00463627,0.978386,0.0169775,0.0110685,False,0.238244,0.314748,0.447008
705.0,0.00405136,0.970059,0.0258897,0.314231,False,0.273105,0.273423,0.453471
735.0,0.0063734,0.808585,0.185042,0.227701,False,0.309748,0.317913,0.372339
765.0,0.00786245,0.975599,0.0165384,0.0480547,False,0.241014,0.240434,0.518552
795.0,0.00763408,0.984426,0.00793992,0.00452722,False,0.289907,0.299802,0.410291
825.0,0.0217556,0.955971,0.0222735,0.032282,False,0.274502,0.278283,0.447215
855.0,0.0335559,0.312276,0.654168,0.610945,False,0.310284,0.324966,0.36475
885.0,0.0385072,0.040975,0.920518,0.91604,False,0.274239,0.273204,0.452557
915.0,0.100214,0.539529,0.360257,0.694314,False,0.310614,0.340607,0.34878
945.0,0.204271,0.291288,0.50444,0.421432,False,0.412575,0.291341,0.296084
975.0,0.227057,0.228976,0.543967,0.569577,False,0.285679,0.279821,0.4345
1005.0,0.205802,0.206039,0.588159,0.559619,False,0.396756,0.313484,0.28976
1035.0,0.280463,0.281993,0.437544,0.496482,False,0.321459,0.313169,0.365372
1065.0,0.275697,0.283044,0.441259,0.339931,False,0.429894,0.282832,0.287274
1095.0,0.284781,0.382563,0.332656,0.39841,False,0.399594,0.328391,0.272015
1125.0,0.329514,0.343509,0.326977,0.321335,False,0.300817,0.39196,0.307223
1155.0,0.335089,0.340515,0.324395,0.295064,False,0.302052,0.307857,0.390091
1185.0,0.318953,0.339552,0.341495,0.325003,False,0.372531,0.303074,0.324395
1215.0,0.358331,0.337875,0.303795,0.290792,False,0.433357,0.286779,0.279864
1245.0,0.342683,0.349142,0.308175,0.302904,False,0.371523,0.314664,0.313813
1275.0,0.417834,0.29113,0.291037,0.30834,False,0.369554,0.272345,0.358101
