generator,family,grid,D,n,mixture,graded,inconclusive,failure,n_points,n_usable,n_interval_missing,mean_point,ref_se,sd_point,coverage,mean_se,convergence,inner_convergence,mean_fit_s,rms_se
M2B,G,{},4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0148001219688208,4.839124844827966e-05,0.0015302656391565,0.935,0.0014705381624275,1.0,1.0,6187.9893999999995,0.001477903999792
M2H,G,"{""tau"": 0.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0148175374071645,5.1870472314239514e-05,0.001640288358217,0.918,0.0014697000893503,1.0,1.0,6206.714800000001,0.0014768650827344865
M2H,G,"{""tau"": 0.5}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0326750086534155,0.0001550493549249,0.0049030911130257,0.819,0.0035540343293549,1.0,1.0,6258.9805,0.003615716375696978
M2H,G,"{""tau"": 1.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0374501398089262,8.727429192605494e-05,0.0027598554366477,0.926,0.0025073424448056,1.0,1.0,6333.3535999999995,0.002536117009880718
M2H,G,"{""tau"": 2.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0570111072586396,0.0002551309768018,0.0080679498835743,0.894,0.0071525315384431,1.0,1.0,6707.1286,0.007359795244168009
M2K,G,"{""alpha"": 0.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0148496823576414,5.269740556503901e-05,0.0016664382836715,0.915,0.0014729057048111,1.0,1.0,6278.5337,0.0014799542370127795
M2K,G,"{""alpha"": 1.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0277511517878451,7.890858131960257e-05,0.0024953084390255,0.885,0.0020256356862674,1.0,1.0,5663.678099999999,0.002035858116261921
M2K,G,"{""alpha"": 3.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0720003565180586,0.0001178652341829,0.0037272259696738,0.928,0.003474645483764,1.0,1.0,5275.8877999999995,0.0034938617123409076
M2S,G,"{""omega"": 0.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.0148005942045187,5.05475222642959e-05,0.0015984530043324,0.917,0.0014669655784181,1.0,1.0,6184.459,0.001473923251622287
M2S,G,"{""omega"": 0.5}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.2504958484889072,0.0018328550788929,0.0579599667030943,0.848,0.0438388929756728,1.0,1.0,5618.0951000000005,0.04985173029293927
M2S,G,"{""omega"": 1.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-0.8695127013135961,0.0112417250232284,0.3554945590271114,0.78,0.1853239121296428,1.0,1.0,8391.546900000001,0.34440459582009075
M2S,G,"{""omega"": 2.0}",4,1000,0.0,1.0,0.0,0.0,1000,1000,0,-5.334354172270718,0.7339563039623118,23.209736235597713,0.216,3.3732226156774168,1.0,1.0,9609.9207,22.01115753809467
