C_self,R_self,CR,SR
365.25,213.0625,0.5833,0.75
608.75,365.25,0.6,1.0
334.8125,25.3917,0.0758,0.1979
365.25,213.0625,0.5833,0.75
166.0227,17.497,0.1054,0.1617
547.875,298.8409,0.5455,0.6364
365.25,121.75,0.3333,0.4167
365.25,224.7692,0.6154,1.1538
547.875,365.25,0.6667,1.2308
410.9062,273.9375,0.6667,1.0833
16.4157,5.4842,0.3341,0.4414
365.25,300.7941,0.8235,1.0588
511.35,319.5938,0.625,1.125
547.875,182.625,0.3333,0.375
255.675,273.9375,1.0714,1.0
313.0714,8.6377,0.0276,0.027
365.25,365.25,1.0,1.2222
365.25,257.8235,0.7059,1.0588
365.25,265.6364,0.7273,0.9091
292.2,228.2812,0.7812,0.875
474.825,73.05,0.1538,0.28
255.675,224.7692,0.8791,1.3846
304.375,17.0545,0.056,0.0973
410.9062,252.8654,0.6154,0.7692
438.3,410.9062,0.9375,0.875
292.2,319.5938,1.0938,0.625
182.625,12.2203,0.0669,0.1041
365.25,196.6731,0.5385,0.6154
324.6667,66.4091,0.2045,0.3409
46.381,45.6562,0.9844,1.0156
324.6667,16.7717,0.0517,0.1173
11.7282,8.1425,0.6943,1.0987
365.25,162.3333,0.4444,0.3889
292.2,162.3333,0.5556,0.6667
365.25,280.9615,0.7692,1.3846
304.375,255.675,0.84,0.8
313.0714,232.4318,0.7424,0.8182
146.1,13.0446,0.0893,0.0714
365.25,228.2812,0.625,0.5
487.0,410.9062,0.8438,1.375
9.1887,9.3654,1.0192,1.6182
365.25,334.8125,0.9167,0.8333
273.9375,20.454,0.0747,0.096
182.625,182.625,1.0,1.0
487.0,53.4512,0.1098,0.0976
34.9707,21.4853,0.6144,0.5508
309.0577,17.9179,0.058,0.1434
398.4545,273.9375,0.6875,0.9375
511.35,324.6667,0.6349,0.7778
410.9062,280.9615,0.6838,1.0769
313.0714,219.15,0.7,0.8
365.25,365.25,1.0,1.125
365.25,298.8409,0.8182,0.8182
365.25,202.9167,0.5556,0.6667
393.3462,31.4194,0.0799,0.1075
446.4167,398.4545,0.8926,1.3636
243.5,55.1321,0.2264,0.3585
273.9375,152.1875,0.5556,0.5
273.9375,328.725,1.2,1.4
417.4286,304.375,0.7292,0.8333
365.25,292.2,0.8,1.4
328.725,93.2553,0.2837,0.6383
260.8929,9.8716,0.0378,0.0405
365.25,14.3491,0.0393,0.1
417.4286,298.8409,0.7159,0.9091
426.125,324.6667,0.7619,1.0
243.5,228.2812,0.9375,1.5
43.83,42.9706,0.9804,1.0784
140.4808,24.1203,0.1717,0.1981
469.6071,298.8409,0.6364,1.2727
332.0455,39.1339,0.1179,0.1161
202.9167,81.1667,0.4,0.3611
511.35,365.25,0.7143,0.9
365.25,54.3989,0.1489,0.1489
251.1094,39.7011,0.1581,0.3696
219.15,182.625,0.8333,0.75
426.125,292.2,0.6857,1.0
365.25,168.5769,0.4615,0.4615
273.9375,14.298,0.0522,0.1246
257.8235,26.3104,0.102,0.2076
417.4286,15.2895,0.0366,0.0419
313.0714,219.15,0.7,1.0
469.6071,304.375,0.6481,1.0
243.5,23.6919,0.0973,0.2378
639.1875,328.725,0.5143,0.8
469.6071,332.0455,0.7071,1.0909
547.875,284.0833,0.5185,0.7778
4.4183,4.2971,0.9725,1.0971
487.0,456.5625,0.9375,1.25
438.3,219.15,0.5,0.7
228.2812,10.227,0.0448,0.088
438.3,19.0565,0.0435,0.0696
365.25,324.6667,0.8889,0.8889
365.25,219.15,0.6,0.7
298.8409,365.25,1.2222,1.9231
334.8125,23.1171,0.069,0.1857
334.8125,316.55,0.9455,1.4
316.55,28.2319,0.0892,0.2029
365.25,319.5938,0.875,0.875
547.875,328.725,0.6,1.0
469.6071,17.5601,0.0374,0.0577
