subject,task,n_channels,n_records,duration_s,samples_per_record,size,size_implied_by_header,size_ok
sub-01,nocue,144,1004,1004.0,1024,444174592,444174592,True
sub-01,noninformative,144,1459,1459.0,1024,645452032,645452032,True
sub-02,informative,272,1741,1741.0,1024,1454821632,1454821632,True
sub-02,nocue,272,1673,1673.0,1024,1398001920,1398001920,True
sub-03,informative,144,1589,1589.0,1024,702959872,702959872,True
sub-03,nocue,144,1290,1290.0,1024,570691840,570691840,True
sub-03,noninformative,144,1553,1553.0,1024,687034624,687034624,True
sub-04,informative,272,1547,1547.0,1024,1292718336,1292718336,True
sub-04,nocue,272,1127,1127.0,1024,941773056,941773056,True
sub-04,noninformative,272,1505,1505.0,1024,1257623808,1257623808,True
sub-05,informative,272,1636,1636.0,1024,1367085312,1367085312,True
sub-05,nocue,272,1151,1151.0,1024,961827072,961827072,True
sub-05,noninformative,272,1459,1459.0,1024,1219186944,1219186944,True
sub-06,informative,144,1628,1628.0,1024,720212224,720212224,True
sub-06,nocue,144,1116,1116.0,1024,493719808,493719808,True
sub-06,noninformative,144,1655,1655.0,1024,732156160,732156160,True
sub-07,informative,144,1482,1482.0,1024,655626496,655626496,True
sub-07,nocue,144,1327,1327.0,1024,587059456,587059456,True
sub-07,noninformative,144,1695,1695.0,1024,749850880,749850880,True
sub-08,informative,144,1972,1972.0,1024,872386816,872386816,True
sub-08,nocue,144,1299,1299.0,1024,574673152,574673152,True
sub-08,noninformative,144,1699,1699.0,1024,751620352,751620352,True
sub-09,informative,144,1597,1597.0,1024,706498816,706498816,True
sub-09,nocue,144,1433,1433.0,1024,633950464,633950464,True
sub-09,noninformative,144,1705,1705.0,1024,754274560,754274560,True
sub-10,informative,144,1666,1666.0,1024,737022208,737022208,True
sub-10,nocue,144,1162,1162.0,1024,514068736,514068736,True
sub-10,noninformative,144,1555,1555.0,1024,687919360,687919360,True
sub-11,informative,272,1430,1430.0,1024,1194955008,1194955008,True
sub-11,nocue,144,1137,1137.0,1024,503009536,503009536,True
sub-11,noninformative,144,1448,1448.0,1024,640585984,640585984,True
sub-12,informative,144,1437,1437.0,1024,635719936,635719936,True
sub-12,nocue,144,1055,1055.0,1024,466735360,466735360,True
sub-12,noninformative,144,1517,1517.0,1024,671109376,671109376,True
sub-13,informative,144,1576,1576.0,1024,697209088,697209088,True
sub-13,nocue,144,1291,1291.0,1024,571134208,571134208,True
sub-13,noninformative,144,1697,1697.0,1024,750735616,750735616,True
sub-14,informative,144,1580,1580.0,1024,698978560,698978560,True
sub-14,nocue,144,1102,1102.0,1024,487526656,487526656,True
sub-14,noninformative,144,1449,1449.0,1024,641028352,641028352,True
sub-15,informative,144,1417,1417.0,1024,626872576,626872576,True
sub-15,nocue,144,1263,1263.0,1024,558747904,558747904,True
