subject,n_expected,n_present,n_size_ok,bytes_expected,bytes_present
(root),5,5,5,4073,4073
sub-01,11,11,11,1089799405,1089799405
sub-02,11,11,11,2852996401,2852996401
sub-03,16,16,16,1960961915,1960961915
sub-04,16,16,16,3492390913,3492390913
sub-05,16,16,16,3548375052,3548375052
sub-06,16,16,16,1946363860,1946363860
sub-07,16,16,16,1992812664,1992812664
sub-08,16,16,16,2198956312,2198956312
sub-09,16,16,16,2094999894,2094999894
sub-10,16,16,16,1939285311,1939285311
sub-11,16,16,16,2338826705,2338826705
sub-12,16,16,16,1773839333,1773839333
sub-13,16,16,16,2019354361,2019354361
sub-14,16,16,16,1827809542,1827809542
sub-15,16,16,16,1794633163,1794633163
sub-16,16,16,16,1725180651,1725180651
sub-17,16,16,16,1820288530,1820288530
sub-18,16,16,16,1927784413,1927784413
sub-19,16,16,16,1844618133,1844618133
sub-20,16,16,16,1680058289,1680058289
sub-21,16,16,16,1697752412,1697752412
sub-22,16,16,16,1782687037,1782687037
sub-23,16,16,16,1818076894,1818076894
sub-24,16,16,16,1814980300,1814980300
sub-25,16,16,16,1735796646,1735796646
sub-26,16,16,16,1804363827,1804363827
sub-27,16,16,16,1866292930,1866292930
sub-28,16,16,16,1703502903,1703502903
sub-29,16,16,16,1687136089,1687136089
sub-30,16,16,16,1753048386,1753048386
sub-31,16,16,16,1968040162,1968040162
sub-32,16,16,16,2519671146,2519671146
sub-33,16,16,16,1881335907,1881335907
sub-34,16,16,16,1941497735,1941497735
sub-35,11,11,11,2548323675,2548323675
sub-36,11,11,11,2441234372,2441234372
