subject,task,n_trials,n_present,n_catch,n_blocks,contrast_min,contrast_median,contrast_max,contrast_iqr,contrast_cv,contrast_n_unique,seen_rate,seen_rate_catch,n_seen_missing,n_seen_from_column,n_objective,objective_acc,n_obj_from_column,seen_col_conflicts,obj_col_conflicts,n_left,n_right,n_vertical,n_horizontal,n_pd_total,n_pd_used,n_pd_break,n_pd_break_interior,block_source,block_sizes,n_pd_uncorrected,pd_delay_ms_min,pd_delay_ms_median,pd_delay_ms_max,cue_soa_s_min,cue_soa_s_max,rt_subj_s_median,rt_subj_s_p10,stray_codes,seen_q1,seen_q2,seen_q3,seen_q4,seen_q5,seen_vdig0,seen_vdig1,contrast_vdig0,contrast_vdig1
1,nocue,400,360,40,4,0.0132235,0.0277942,0.0413131,0.0088683,0.221879,355,0.522222,0,0,0,48,0.645833,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,38,38,56,,,0.77125,0.6708,,0.486111,0.513889,0.5,0.555556,0.555556,,,,
1,noninformative,400,360,40,4,0.0154426,0.0247139,0.0379811,0.00575527,0.176639,359,0.513889,0.025,0,0,50,0.7,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,38.1,60,0.69,1.02,0.8,0.71,,0.555556,0.513889,0.486111,0.541667,0.472222,0.522222,0.505556,0.0248107,0.0245641
2,nocue,400,360,40,4,0.0247416,0.0454916,0.0795338,0.0186349,0.261401,358,0.375,0,0,0,49,0.632653,0,0,0,180,180,180,180,406,400,6,4,trial_number,100;100;100;100,0,30,39,80,,,1.316,0.94,,0.388889,0.361111,0.416667,0.402778,0.305556,,,,
2,informative,400,360,40,4,0.0334132,0.0801649,0.0966766,0.0195578,0.182842,359,0.363889,0,0,0,48,0.791667,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,40,40,60,0.686,1.004,1.16,0.84,,0.208333,0.319444,0.333333,0.416667,0.541667,,,,
3,nocue,398,358,40,4,0.0196174,0.0280465,0.0410559,0.00569505,0.140755,351,0.519553,0.1,0,0,56,0.589286,0,0,0,178,180,180,178,402,398,4,3,break_128,98;100;100;100,0,30,39,56.7,,,1.247,0.8925,,0.375,0.535211,0.513889,0.507042,0.666667,,,,
3,noninformative,400,360,40,4,0.0155348,0.0335988,0.0425245,0.0111648,0.205202,353,0.470752,0.075,1,0,79,0.329114,39,0,3,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,68.36,0.69,1.01,1.129,0.883,,0.444444,0.408451,0.416667,0.569444,0.513889,0.477778,0.463687,0.0334361,0.0336053
3,informative,400,360,40,4,0.0093162,0.0183065,0.0269352,0.0033202,0.150821,354,0.494444,0.125,0,0,54,0.592593,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39.05,63.48,0.68,1.01,1.112,0.9099,,0.361111,0.319444,0.513889,0.638889,0.638889,,,,
4,nocue,400,360,40,4,0.0262087,0.0460344,0.0615159,0.00778358,0.135558,357,0.416667,0.025,0,0,47,0.638298,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,38.1,60,,,0.966,0.7947,,0.347222,0.347222,0.472222,0.444444,0.472222,,,,
4,noninformative,400,360,40,4,0.0310576,0.0451993,0.054689,0.00600917,0.0991207,354,0.458333,0.075,0,0,49,0.714286,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.685,1.01,0.94,0.8,41,0.444444,0.347222,0.5,0.513889,0.486111,0.461111,0.455556,0.0451408,0.0455708
4,informative,400,360,40,4,0.0118034,0.0191941,0.0289201,0.00424807,0.165719,353,0.526462,0,1,0,52,0.673077,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,38.1,60,0.686,1.019,1.016,0.84,,0.291667,0.486111,0.513889,0.583333,0.760563,,,,
5,nocue,400,360,40,4,0.0165474,0.0246934,0.0313254,0.00307743,0.109073,353,0.475,0.125,0,0,56,0.767857,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,38.1,55,,,0.8435,0.73,,0.291667,0.430556,0.513889,0.486111,0.652778,,,,
5,noninformative,400,360,40,4,0.0181317,0.0248712,0.0361581,0.00417003,0.114957,353,0.502778,0.15,0,0,57,0.701754,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.686,1.004,0.8205,0.70392,,0.513889,0.388889,0.611111,0.458333,0.541667,0.516667,0.488889,0.0251448,0.0246803
5,informative,400,360,40,4,0.0168602,0.0282609,0.0417268,0.00767595,0.177355,358,0.508333,0.325,0,0,52,0.557692,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.686,1.02,0.8525,0.7118,,0.375,0.5,0.527778,0.541667,0.597222,,,,
6,nocue,400,360,40,4,0.0159787,0.0250452,0.0323645,0.00266457,0.0939598,356,0.488889,0.025,0,0,50,0.7,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,63.48,,,0.935,0.7209,,0.236111,0.458333,0.5,0.472222,0.777778,,,,
6,noninformative,400,360,40,4,0.0175162,0.0274817,0.0361726,0.00561957,0.139834,357,0.469444,0,0,0,57,0.719298,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,65.43,0.68,1.02051,1.123,0.824,,0.555556,0.361111,0.5,0.388889,0.541667,0.5,0.438889,0.0274363,0.0275609
6,informative,400,360,40,4,0.0217715,0.028799,0.0373101,0.00445135,0.106075,353,0.527778,0.025,0,0,55,0.763636,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,62.5,0.7,1.004,0.95,0.7439,,0.361111,0.5,0.513889,0.638889,0.625,,,,
7,nocue,400,360,40,4,0.022921,0.0448288,0.0660698,0.013431,0.195284,360,0.447222,0,0,0,56,0.660714,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,60,,,1.107,0.8409,,0.333333,0.5,0.333333,0.569444,0.5,,,,
7,noninformative,400,360,40,4,0.0296357,0.0374207,0.0522035,0.00668395,0.131792,355,0.477778,0.075,0,0,52,0.788462,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.7,1.01,1.092,0.8565,,0.430556,0.375,0.583333,0.486111,0.513889,0.461111,0.494444,0.0375728,0.0373193
7,informative,400,360,40,4,0.0230623,0.0328572,0.0492523,0.0089692,0.169825,358,0.46648,0.05,2,0,47,0.617021,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.68,1.04,0.8965,0.7327,,0.380282,0.430556,0.555556,0.416667,0.549296,,,,
8,nocue,400,360,40,4,0.0235173,0.0353901,0.0483652,0.00888555,0.153287,358,0.504178,0.025,1,0,48,0.666667,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,71.29,,,1.01,0.82,,0.444444,0.472222,0.583333,0.43662,0.583333,,,,
8,noninformative,400,360,40,4,0.0187151,0.0297277,0.040093,0.00765458,0.169578,357,0.458333,0,0,0,61,0.672131,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,66.41,0.68,1.01,1.0125,0.8188,,0.430556,0.472222,0.444444,0.541667,0.402778,0.438889,0.477778,0.0299001,0.0295484
8,informative,400,360,40,4,0.00643147,0.0209437,0.0349908,0.0093091,0.247207,352,0.486111,0.025,0,0,50,0.72,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56,0.686,1.004,1.03,0.82,,0.277778,0.513889,0.458333,0.555556,0.625,,,,
9,nocue,400,360,40,4,0.0253961,0.0337121,0.0503763,0.0095261,0.175638,355,0.508333,0.15,0,0,50,0.78,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,55,,,1.33205,0.94,,0.416667,0.541667,0.527778,0.472222,0.583333,,,,
9,noninformative,400,360,40,4,0.0169675,0.0391381,0.0509547,0.00921695,0.163531,357,0.466667,0.05,0,0,62,0.774194,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.69,1.01,1.21,0.9042,,0.458333,0.486111,0.402778,0.486111,0.5,0.516667,0.416667,0.0387264,0.0396196
9,informative,400,360,40,4,0.0222908,0.0354137,0.0496462,0.00722783,0.169807,356,0.463889,0.075,0,0,52,0.807692,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56,0.686,1.004,1.1385,0.84188,,0.361111,0.361111,0.5,0.583333,0.513889,,,,
10,nocue,400,360,40,4,0.0225528,0.0356285,0.0481663,0.0100482,0.173594,356,0.45,0.225,0,0,54,0.592593,0,0,0,180,180,180,180,401,400,1,0,trial_number,100;100;100;100,0,30,40,73.24,,,0.8055,0.6268,,0.416667,0.388889,0.5,0.402778,0.541667,,,,
10,noninformative,400,360,40,4,0.0258886,0.0396297,0.0564946,0.0105037,0.18304,358,0.45,0.15,0,0,51,0.568627,0,0,0,180,180,180,180,801,800,1,0,trial_number,100;100;100;100,0,30,40,66.4,0.7,1.053,0.881,0.6927,,0.527778,0.444444,0.472222,0.388889,0.416667,0.433333,0.466667,0.0400362,0.0388994
10,informative,400,360,40,4,0.0226581,0.0347941,0.0517013,0.0082004,0.148225,357,0.552778,0.025641,1,0,51,0.647059,0,0,0,180,180,180,180,801,800,1,0,trial_number,100;100;100;100,0,39,40,72.26,0.7,1.10351,0.97,0.74,,0.402778,0.555556,0.569444,0.611111,0.625,,,,
11,nocue,400,360,40,4,0.0174481,0.0264893,0.036447,0.00505127,0.138619,352,0.494444,0.025,0,0,49,0.734694,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,71.29,,,0.8755,0.72,,0.430556,0.430556,0.458333,0.527778,0.625,,,,
11,noninformative,400,360,40,4,0.0178509,0.0270277,0.0336234,0.0039795,0.102017,356,0.486034,0.075,2,0,53,0.735849,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,65.42,0.7,1.003,0.852,0.72,,0.472222,0.43662,0.527778,0.555556,0.43662,0.469274,0.502793,0.026936,0.0271675
11,informative,400,360,40,4,-0.0134694,0.0256028,0.0370341,0.00458685,0.525876,357,0.448468,0.15,1,0,52,0.692308,0,0,0,180,180,180,180,806,800,6,3,break_128,100;100;100;100,0,30,39,60,0.69,1.01,0.94,0.73748,,0.236111,0.319444,0.416667,0.704225,0.569444,,,,
12,nocue,400,360,40,4,0.0202842,0.0268565,0.0360365,0.00482915,0.120927,352,0.5,0.1,0,0,54,0.611111,0,0,0,180,180,180,180,401,400,1,0,trial_number,100;100;100;100,0,40,40,73.24,,,0.831,0.71462,,0.388889,0.458333,0.458333,0.583333,0.611111,,,,
12,noninformative,400,360,40,4,0.0200953,0.0306076,0.0377447,0.0044091,0.0971322,358,0.488889,0.025,0,0,57,0.789474,0,0,0,180,180,180,180,801,800,1,0,trial_number,100;100;100;100,0,39,40,83.01,0.7,1.053,0.906,0.76,255,0.402778,0.472222,0.527778,0.513889,0.527778,0.466667,0.511111,0.0303233,0.0310123
12,informative,400,360,40,4,0.0112271,0.0196762,0.0329745,0.00419248,0.177513,355,0.511111,0.075,0,0,44,0.681818,0,0,0,180,180,180,180,801,800,1,0,trial_number,100;100;100;100,0,40,40,65.43,0.69,1.02,0.8935,0.74,,0.402778,0.361111,0.472222,0.638889,0.680556,,,,
13,nocue,400,360,40,4,0.0221594,0.0342666,0.0414091,0.005314,0.123189,357,0.465181,0.1,1,0,81,0.765432,27,0,2,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,40,,,1.0039,0.8338,,0.333333,0.430556,0.430556,0.458333,0.676056,,,,
13,noninformative,400,360,40,4,0.0331025,0.047977,0.0563145,0.00606385,0.114112,357,0.469444,0.05,0,0,61,0.590164,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56,0.685,1.02,1.0975,0.85,,0.527778,0.416667,0.402778,0.513889,0.486111,0.45,0.488889,0.0484779,0.0475407
13,informative,398,358,40,4,0.0284744,0.039505,0.0510587,0.0061675,0.109361,356,0.480447,0.025,0,0,48,0.625,0,0,0,178,180,179,179,800,796,4,3,break_128,98;100;100;100,0,30,39,60,0.68,1.01,0.9705,0.7864,,0.361111,0.422535,0.513889,0.464789,0.638889,,,,
14,nocue,400,360,40,4,0.0261016,0.0381991,0.0487463,0.00697205,0.131918,355,0.490251,0.05,1,0,53,0.830189,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,60,,,0.841,0.718,,0.430556,0.408451,0.5,0.513889,0.597222,,,,
14,noninformative,400,360,40,4,0.016326,0.0284561,0.0465732,0.0118938,0.256302,360,0.413889,0.025,0,0,55,0.709091,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,64.4,0.68,1.02,0.7861,0.67,,0.388889,0.375,0.388889,0.375,0.541667,0.411111,0.416667,0.0283561,0.0285801
14,informative,400,360,40,4,0.0102965,0.0206149,0.0374527,0.0047467,0.193449,359,0.516667,0.1,0,0,50,0.68,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,62.5,0.68,1.004,0.81,0.6979,,0.375,0.375,0.527778,0.597222,0.708333,,,,
15,nocue,400,360,40,4,0.0218094,0.0272838,0.0347987,0.00315105,0.0874482,349,0.495822,0.025,1,0,47,0.680851,0,0,0,180,180,180,180,407,400,7,3,break_128,100;100;100;100,0,30,39,55.66,,,0.9658,0.7984,,0.291667,0.338028,0.541667,0.625,0.680556,,,,
15,noninformative,400,360,40,4,0.0142986,0.0250651,0.0347243,0.00575472,0.152826,356,0.48468,0,2,0,72,0.722222,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56.6,0.685,1.0195,0.84,0.7277,,0.430556,0.450704,0.555556,0.527778,0.458333,0.469274,0.5,0.0252626,0.024608
15,informative,400,360,40,4,0.00890714,0.0132676,0.0200613,0.0023394,0.135078,345,0.519444,0,0,0,44,0.727273,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56,0.68,1.02,0.8409,0.7109,,0.111111,0.402778,0.611111,0.666667,0.805556,,,,
16,nocue,400,360,40,4,0.0235883,0.0448754,0.0814695,0.0151694,0.306856,359,0.359331,0.025,1,0,51,0.705882,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,55.66,,,0.898,0.7578,,0.309859,0.361111,0.430556,0.347222,0.347222,,,,
16,noninformative,400,360,40,4,0.0299289,0.0396669,0.048067,0.00890505,0.124401,360,0.462185,0.025641,4,0,56,0.785714,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,65.43,0.685,1.05371,0.87995,0.7355,33,0.450704,0.507042,0.416667,0.478873,0.458333,0.441341,0.483146,0.0391621,0.0406316
16,informative,400,360,40,4,0.024411,0.0355416,0.0544124,0.0046177,0.132506,350,0.444444,0.075,0,0,43,0.697674,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,63.47,0.6855,1.003,0.977,0.82,,0.291667,0.513889,0.486111,0.375,0.555556,,,,
17,nocue,400,360,40,4,0.018921,0.0294599,0.0414796,0.0087425,0.174455,356,0.447222,0.05,0,0,54,0.592593,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,56,,,1.0385,0.8569,,0.333333,0.513889,0.416667,0.472222,0.5,,,,
17,noninformative,400,360,40,4,0.0166243,0.0346552,0.0483078,0.0088638,0.186575,358,0.422222,0,0,0,51,0.647059,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.68,1.01,0.9936,0.83998,,0.361111,0.444444,0.416667,0.458333,0.430556,0.405556,0.438889,0.0341704,0.0351544
17,informative,400,360,40,4,0.0162853,0.0268454,0.0341684,0.0032617,0.103904,351,0.477778,0.025,0,0,48,0.6875,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,60,0.685,1.01,1.06,0.86,,0.291667,0.416667,0.472222,0.555556,0.652778,,,,
18,nocue,400,360,40,4,0.0420333,0.0646571,0.0795159,0.0103636,0.135829,358,0.437326,0.05,1,0,45,0.555556,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,63.4,,,0.924,0.75,,0.319444,0.333333,0.402778,0.611111,0.521127,,,,
18,noninformative,400,360,40,4,0.0248751,0.0439307,0.0648773,0.00857905,0.185078,355,0.458333,0.225,0,0,57,0.719298,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,68.36,0.68,1.036,1.0685,0.882,,0.444444,0.402778,0.527778,0.458333,0.458333,0.511111,0.405556,0.0437744,0.0443657
18,informative,400,360,40,4,0.0324754,0.0513365,0.0618332,0.00887545,0.129573,358,0.461111,0.075,0,0,47,0.680851,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,63.48,0.686,1.01954,0.9323,0.7638,,0.333333,0.458333,0.527778,0.458333,0.527778,,,,
19,nocue,397,358,39,4,0.0160295,0.0223506,0.0301436,0.0033612,0.114933,353,0.505587,0.153846,0,0,42,0.738095,0,0,0,178,180,179,179,401,397,4,3,break_128,97;100;100;100,0,30,39,56,,,0.91,0.7468,,0.319444,0.464789,0.569444,0.521127,0.652778,,,,
19,noninformative,400,360,40,4,0.0152095,0.0253188,0.0399745,0.00735332,0.191681,351,0.536111,0.05,0,0,54,0.611111,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,64.45,0.685,1.03613,1.021,0.83,,0.444444,0.541667,0.625,0.569444,0.5,0.527778,0.544444,0.0254205,0.0252133
19,informative,400,360,40,4,0.00843638,0.0154282,0.0349771,0.00494535,0.290514,352,0.544444,0.075,0,0,57,0.649123,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,56,0.685,1.01,0.893,0.74018,,0.333333,0.472222,0.513889,0.708333,0.694444,,,,
20,nocue,400,360,40,4,0.0218235,0.0319321,0.0398851,0.00683343,0.133338,355,0.462396,0.1,1,0,54,0.555556,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,63.48,,,0.883,0.719,,0.375,0.422535,0.472222,0.472222,0.569444,,,,
20,noninformative,400,360,40,4,0.0133139,0.0272217,0.0393072,0.00820545,0.190835,357,0.45,0.425,0,0,54,0.648148,0,0,0,180,180,180,180,803,799,4,3,break_128,100;100;100;100,0,30,39,64.453,0.685,1.004,0.79,0.641,,0.430556,0.472222,0.430556,0.472222,0.444444,0.466667,0.433333,0.0264453,0.0277001
20,informative,400,360,40,4,0.0196615,0.0304374,0.0384297,0.00498328,0.124412,356,0.508333,0.15,0,0,47,0.531915,0,0,0,180,180,180,180,805,800,5,3,break_128,100;100;100;100,0,30,39,64.45,0.68,1.003,0.797,0.68585,,0.472222,0.444444,0.5,0.541667,0.583333,,,,
21,nocue,400,360,40,4,0.019921,0.0328596,0.0431402,0.00584143,0.126864,354,0.527778,0.225,0,0,53,0.584906,0,0,0,180,180,180,180,405,400,5,3,break_128,100;100;100;100,0,30,39,56.6,,,0.814,0.68645,,0.430556,0.430556,0.5,0.638889,0.638889,,,,
21,noninformative,398,358,40,4,0.0200256,0.0316898,0.0429001,0.00732255,0.155757,355,0.48324,0.225,0,0,64,0.5625,0,0,0,178,180,180,178,800,796,4,3,break_128,98;100;100;100,0,30,39,60,0.685,1.019,0.7984,0.6837,,0.541667,0.43662,0.416667,0.464789,0.555556,0.486034,0.480447,0.0317173,0.0316271
