subject,task,n_trials_table,n_epochs,n_dropped_edge,dropped_trials,drop_reasons,recording_s,match,n_chan,n_times,fsample,status_n_status,status_n_tsv,status_n_tsv_unmatched,status_n_code_mismatch,status_max_sample_diff,status_n_status_extra,status_status_extra_codes,status_n_128_status,status_n_bdf_channels,status_raw_sfreq,status_max_snap_samples,status_n_unsnapped
1,nocue,400,400,0,,,1004.0,True,128,769,512.0,1253,1253,0,0,1,0,,405,144,1024.0,1,0
1,noninformative,400,400,0,,,1459.0,True,128,769,512.0,2055,2055,0,0,5,0,,805,144,1024.0,5,0
2,informative,400,400,0,,,1741.0,True,128,769,512.0,2053,2053,0,0,5,0,,805,272,1024.0,5,0
2,nocue,400,400,0,,,1673.0,True,128,769,512.0,1255,1255,0,0,5,0,,406,272,1024.0,5,0
3,informative,400,400,0,,,1589.0,True,128,769,512.0,2059,2059,0,0,5,0,,805,144,1024.0,5,0
3,nocue,398,397,1,1.0,NO_DATA,1290.0,False,128,769,512.0,1255,1254,0,0,5,1,84,402,144,1024.0,5,0
3,noninformative,400,400,0,,,1553.0,True,128,769,512.0,2044,2044,0,0,5,0,,805,144,1024.0,5,0
4,informative,400,400,0,,,1547.0,True,128,769,512.0,2057,2056,0,0,5,1,8,805,272,1024.0,5,0
4,nocue,400,400,0,,,1127.0,True,128,769,512.0,1252,1252,0,0,5,0,,405,272,1024.0,5,0
4,noninformative,400,400,0,,,1505.0,True,128,769,512.0,2055,2055,0,1,5,1,125,805,272,1024.0,5,0
5,informative,400,400,0,,,1636.0,True,128,769,512.0,2057,2057,0,0,5,0,,805,272,1024.0,5,0
5,nocue,400,400,0,,,1151.0,True,128,769,512.0,1261,1261,0,0,5,0,,405,272,1024.0,5,0
5,noninformative,400,400,0,,,1459.0,True,128,769,512.0,2063,2062,0,0,5,1,84,805,272,1024.0,5,0
6,informative,400,400,0,,,1628.0,True,128,769,512.0,2060,2060,0,0,5,0,,805,144,1024.0,5,0
6,nocue,400,400,0,,,1116.0,True,128,769,512.0,1255,1255,0,0,5,0,,405,144,1024.0,5,0
