window,level,n,mean,mean_sem,sd,sd_sem,sd_base,sd_base_sem,example_mean,example_sd,example_sd_base
50-100,1,20,-0.029506,0.014574,0.61535,0.025554,0,0,-0.0086953,0.52893,0
50-100,2,20,-0.019121,0.01404,0.61263,0.022256,-0.0027259,0.014425,-0.090911,0.56216,0.033235
50-100,3,20,-0.01746,0.013969,0.61024,0.028366,-0.0051128,0.011418,0.003722,0.55137,0.022443
50-100,4,20,0.0089847,0.020455,0.6026,0.023848,-0.012749,0.014533,-0.11371,0.54387,0.014941
50-100,5,20,0.056975,0.013155,0.59268,0.024277,-0.02267,0.011798,0.016281,0.55562,0.026688
50-100,6,20,0.059272,0.015673,0.60731,0.02346,-0.0080381,0.013374,0.020306,0.52699,-0.0019336
100-150,1,20,-0.11309,0.026389,0.69876,0.030713,0,0,-0.19281,0.6998,0
100-150,2,20,-0.1019,0.027618,0.69207,0.025434,-0.0066945,0.011692,-0.16395,0.69061,-0.0091871
100-150,3,20,-0.092401,0.021032,0.7112,0.033338,0.012434,0.017417,-0.12484,0.73858,0.038787
100-150,4,20,-0.052066,0.019829,0.69366,0.033308,-0.0051015,0.020067,-0.16648,0.68867,-0.011128
100-150,5,20,0.055159,0.023578,0.71953,0.035875,0.020762,0.017832,-0.1015,0.7082,0.0084017
100-150,6,20,0.14334,0.033025,0.73277,0.035576,0.034005,0.019219,0.15058,0.69293,-0.0068667
150-200,1,20,-0.40657,0.10753,0.90457,0.069179,0,0,-0.28571,0.66171,0
150-200,2,20,-0.37138,0.086137,0.93981,0.078275,0.03524,0.026758,-0.27699,0.75284,0.091128
150-200,3,20,-0.29281,0.076554,0.94969,0.090817,0.045121,0.031717,-0.25336,0.7564,0.094686
150-200,4,20,-0.18429,0.040831,0.97913,0.090548,0.074563,0.030879,-0.1631,0.76926,0.10755
150-200,5,20,0.16144,0.058635,1.0316,0.11016,0.12701,0.049686,0.1006,0.73968,0.077963
150-200,6,20,0.44949,0.12219,1.002,0.093809,0.097392,0.032645,0.24004,0.83005,0.16834
200-250,1,20,-0.48057,0.062352,0.9673,0.057208,0,0,-0.32154,0.72881,0
200-250,2,20,-0.41652,0.054917,0.99016,0.058767,0.022861,0.01778,-0.37477,0.74419,0.015375
200-250,3,20,-0.34699,0.047174,1.0226,0.064938,0.055291,0.020074,-0.25886,0.88625,0.15744
200-250,4,20,-0.17352,0.03635,1.0564,0.07122,0.089086,0.022916,-0.22393,0.89461,0.1658
200-250,5,20,0.20874,0.047721,1.0899,0.070518,0.12257,0.020588,0.12728,0.82053,0.091715
200-250,6,20,0.50458,0.06769,1.0357,0.057468,0.068381,0.020498,0.33275,0.92997,0.20116
250-300,1,20,-0.55102,0.062354,1.0328,0.040642,0,0,-0.37814,0.90714,0
250-300,2,20,-0.51553,0.064649,1.0049,0.039027,-0.027872,0.024183,-0.43048,0.82682,-0.080316
250-300,3,20,-0.42047,0.059925,1.0216,0.04623,-0.011185,0.024037,-0.41546,0.89765,-0.0094848
250-300,4,20,-0.2509,0.041774,1.0804,0.056864,0.04759,0.030541,-0.19576,0.90108,-0.0060594
250-300,5,20,0.18855,0.032596,1.1374,0.069266,0.10461,0.040206,0.12267,0.8645,-0.042637
250-300,6,20,0.57166,0.069519,1.0767,0.051822,0.043923,0.030882,0.37804,0.84922,-0.057921
300-400,1,20,-0.70085,0.082009,0.94181,0.046135,0,0,-0.46019,0.76987,0
300-400,2,20,-0.65555,0.077733,0.98294,0.053646,0.041132,0.019744,-0.48916,0.72206,-0.047811
300-400,3,20,-0.60097,0.073956,1.0085,0.049573,0.066736,0.014964,-0.4667,0.88435,0.11448
300-400,4,20,-0.31353,0.04211,1.1105,0.073327,0.16871,0.032519,-0.27886,0.80702,0.037146
300-400,5,20,0.246,0.061575,1.1599,0.08286,0.21813,0.041234,0.18129,0.80022,0.030352
300-400,6,20,0.75059,0.091615,1.0903,0.064053,0.14845,0.026581,0.40466,0.86777,0.097898
400-500,1,20,-0.79479,0.087933,1.0219,0.050494,0,0,-1.0337,1.0805,0
400-500,2,20,-0.71041,0.087937,1.0855,0.063072,0.063629,0.031006,-1.0375,1.1307,0.050223
400-500,3,20,-0.63194,0.077878,1.088,0.068747,0.066085,0.036728,-1.0798,1.2424,0.16191
400-500,4,20,-0.23223,0.060135,1.2161,0.086464,0.19418,0.0486,-0.60039,1.3725,0.29195
400-500,5,20,0.36389,0.069971,1.2959,0.093986,0.27397,0.055297,0.35594,1.5104,0.42992
400-500,6,20,0.84219,0.10171,1.1616,0.07457,0.13967,0.034652,0.9029,1.1967,0.11617
500-600,1,20,-0.57922,0.051123,0.95958,0.042559,0,0,-0.93542,1.1727,0
500-600,2,20,-0.50347,0.063733,1.0085,0.048463,0.048883,0.02061,-1.1481,1.2738,0.10113
500-600,3,20,-0.43351,0.052831,1.0302,0.049127,0.070662,0.027092,-0.85349,1.2294,0.056696
500-600,4,20,-0.11904,0.046116,1.0922,0.060609,0.13258,0.032144,-0.41253,1.3077,0.13505
500-600,5,20,0.34165,0.047963,1.092,0.053006,0.13242,0.030395,0.42077,1.3848,0.2121
500-600,6,20,0.60539,0.052125,1.0415,0.054313,0.081891,0.027722,0.89071,1.3812,0.20851
