window,level,n,mean,mean_sem,sd,sd_sem,sd_base,sd_base_sem,example_mean,example_sd,example_sd_base
50-100,1,20,-0.020759,0.014387,0.56395,0.020264,0,0,-0.10005,0.7052,0
50-100,2,20,-0.005739,0.016292,0.60202,0.026187,0.038075,0.011847,-0.046217,0.75874,0.053539
50-100,3,20,-0.018887,0.019126,0.58467,0.027517,0.020716,0.014578,-0.036095,0.5889,-0.11631
50-100,4,20,0.0043283,0.016092,0.58406,0.020843,0.020115,0.012179,0.039004,0.63499,-0.070216
50-100,5,20,-0.0047948,0.015752,0.58305,0.025913,0.019102,0.014336,0.11355,0.58708,-0.11812
50-100,6,20,0.0034832,0.016409,0.57995,0.018979,0.016005,0.011671,0.091933,0.57167,-0.13353
50-100,7,10,0.025915,0.024455,0.54749,0.033617,0.0050052,0.021579,0.072441,0.60439,-0.10082
100-150,1,20,-0.11592,0.031203,0.65883,0.024955,0,0,-0.038294,0.531,0
100-150,2,20,-0.10043,0.029584,0.69009,0.027786,0.031262,0.01364,-0.035523,0.60846,0.077454
100-150,3,20,-0.10818,0.032153,0.66409,0.02968,0.0052666,0.015101,0.032754,0.52934,-0.0016668
100-150,4,20,-0.10964,0.035494,0.67894,0.025805,0.020111,0.01019,0.0070654,0.54107,0.010062
100-150,5,20,-0.062974,0.034299,0.69511,0.034909,0.036281,0.014601,0.057664,0.54502,0.014013
100-150,6,20,0.022087,0.019564,0.68019,0.027555,0.02136,0.013698,0.045305,0.59957,0.068565
100-150,7,10,0.16909,0.055624,0.72409,0.056376,0.057441,0.020582,-0.022746,0.5709,0.039899
150-200,1,20,-0.21388,0.063,0.75734,0.041891,0,0,-0.10401,0.60163,0
150-200,2,20,-0.20355,0.073057,0.77035,0.039821,0.013011,0.013602,-0.081238,0.67836,0.076739
150-200,3,20,-0.18728,0.074812,0.75427,0.048262,-0.0030728,0.013583,-0.093627,0.55357,-0.048052
150-200,4,20,-0.16108,0.061513,0.76591,0.048145,0.0085673,0.017826,0.017512,0.62247,0.020845
150-200,5,20,-0.048783,0.022817,0.77612,0.053216,0.01878,0.019248,0.019682,0.56529,-0.036337
150-200,6,20,0.1196,0.046731,0.76027,0.048913,0.0029291,0.01836,0.1111,0.58813,-0.013495
150-200,7,10,0.30164,0.11157,0.82518,0.082352,0.05879,0.024924,0.075345,0.65499,0.05336
200-250,1,20,-0.29357,0.048528,0.79663,0.029487,0,0,-0.24343,0.67409,0
200-250,2,20,-0.22037,0.050379,0.79913,0.030644,0.0024954,0.013728,-0.16936,0.70383,0.02974
200-250,3,20,-0.22408,0.043608,0.81009,0.03401,0.01345,0.015144,-0.15901,0.80607,0.13198
200-250,4,20,-0.17699,0.041541,0.80735,0.0438,0.010711,0.021093,-0.042212,0.63201,-0.042085
200-250,5,20,-0.042093,0.025623,0.8419,0.041014,0.045268,0.016945,-0.035728,0.72448,0.050385
200-250,6,20,0.12361,0.023819,0.84554,0.042991,0.048908,0.01926,0.028047,0.76932,0.095226
200-250,7,10,0.40114,0.07658,0.90087,0.084903,0.080073,0.042731,0.21287,0.75668,0.082588
250-300,1,20,-0.45662,0.08248,0.94779,0.050363,0,0,-0.21412,0.86336,0
250-300,2,20,-0.40594,0.079188,0.9316,0.052733,-0.016187,0.017527,-0.18559,0.79746,-0.065899
250-300,3,20,-0.38457,0.072529,0.91016,0.049606,-0.03763,0.015789,-0.21383,0.77769,-0.085673
250-300,4,20,-0.27486,0.055267,0.93036,0.058513,-0.017429,0.01901,-0.14157,0.77257,-0.090788
250-300,5,20,-0.042568,0.032878,0.9461,0.062435,-0.0016881,0.020439,-0.14369,0.71353,-0.14983
250-300,6,20,0.2932,0.051498,0.95564,0.057767,0.0078492,0.012267,0.17061,0.78784,-0.07552
250-300,7,10,0.5807,0.12532,1.0209,0.10075,0.019173,0.040389,0.18468,0.75679,-0.10657
300-400,1,20,-0.49237,0.056683,0.86679,0.041732,0,0,-0.56193,0.95874,0
300-400,2,20,-0.42154,0.052115,0.87901,0.042729,0.012218,0.014977,-0.49326,0.84626,-0.11248
300-400,3,20,-0.38636,0.048773,0.85153,0.03763,-0.015263,0.015628,-0.53154,0.98618,0.027442
