window,t_ms,pxp_model0,pxp_model2B,pxp_model3,simes_sig_model0,simes_sig_model2B,simes_sig_model3,simes_sig_matlab_model0,simes_sig_matlab_model2B,simes_sig_matlab_model3,freq_model0,freq_model2B,freq_model3,bor
0,-285,0.497082,0.251687,0.251231,False,False,False,False,False,False,0.706133,0.178618,0.115249,0.753449
1,-255,0.468822,0.265848,0.265331,False,False,False,False,False,False,0.67466,0.184778,0.140561,0.79528
2,-225,0.616858,0.19157,0.191571,False,False,False,False,False,False,0.78811,0.103959,0.107931,0.574608
3,-195,0.588735,0.20563,0.205635,False,False,False,False,False,False,0.780824,0.108929,0.110248,0.61678
4,-165,0.467102,0.266464,0.266434,False,False,False,False,False,False,0.679472,0.162238,0.15829,0.798208
5,-135,0.468074,0.265392,0.266534,False,False,False,False,False,False,0.666595,0.127789,0.205615,0.795635
6,-105,0.654901,0.171033,0.174066,False,False,False,False,False,False,0.701347,0.0745641,0.224089,0.513
7,-75,0.383237,0.300835,0.315927,False,False,False,False,False,False,0.472981,0.213805,0.313214,0.889093
8,-45,0.412145,0.301946,0.285909,False,False,False,False,False,False,0.536936,0.314646,0.148419,0.855287
9,-15,0.482597,0.258746,0.258657,False,False,False,False,False,False,0.709477,0.153224,0.137299,0.775513
10,15,0.389204,0.299711,0.311085,False,False,False,False,False,False,0.49045,0.21049,0.29906,0.887447
11,45,0.311534,0.328691,0.359775,False,False,False,False,False,False,0.260768,0.331686,0.407546,0.898099
12,75,0.338302,0.362876,0.298822,False,False,False,False,False,False,0.377486,0.428993,0.193521,0.886357
13,105,0.299687,0.382333,0.317981,False,False,False,False,False,False,0.209006,0.468439,0.322554,0.886425
14,135,0.110268,0.7487,0.141032,False,False,False,False,False,False,0.067086,0.630866,0.302048,0.330621
15,165,0.020125,0.925662,0.0542128,False,False,False,False,False,False,0.0502663,0.65163,0.298103,0.0602931
16,195,0.00521654,0.179186,0.815598,False,False,False,False,False,False,0.0442811,0.385399,0.57032,0.0155492
17,225,0.00244606,0.994538,0.00301586,False,False,False,False,False,False,0.0447903,0.786947,0.168262,0.0073233
18,255,0.00577304,0.494707,0.49952,False,False,False,False,False,False,0.0444717,0.477272,0.478256,0.0171334
19,285,0.00433809,0.768726,0.226935,False,False,False,False,False,False,0.0437383,0.553283,0.402979,0.0128721
20,315,0.00344193,0.0337755,0.962783,False,False,False,False,False,False,0.0436596,0.29353,0.662811,0.0102931
21,345,0.00207245,0.0032173,0.99471,False,False,True,False,False,False,0.0437002,0.184414,0.771886,0.00620541
22,375,0.00155812,0.00228572,0.996156,False,False,True,False,False,True,0.0437132,0.171784,0.784503,0.00465944
23,405,0.00298313,0.0135126,0.983504,False,False,False,False,False,False,0.0439293,0.252132,0.703939,0.00890182
24,435,0.000490233,0.000513199,0.998997,False,False,True,False,False,True,0.0438678,0.102207,0.853926,0.0014677
25,465,0.00070936,0.000771228,0.998519,False,False,True,False,False,True,0.0437635,0.116588,0.839648,0.0021191
26,495,0.000691263,0.000728186,0.998581,False,False,True,False,False,True,0.0435367,0.113418,0.843045,0.0020678
27,525,0.00168621,0.00231901,0.995995,False,False,True,False,False,True,0.0435464,0.17076,0.785693,0.00504073
28,555,0.00249326,0.00661232,0.990894,False,False,False,False,False,False,0.043627,0.220983,0.73539,0.00745596
29,585,0.00437919,0.140984,0.854637,False,False,False,False,False,False,0.0438987,0.369805,0.586297,0.013028
30,615,0.00291347,0.00775483,0.989332,False,False,False,False,False,False,0.0436887,0.22645,0.729861,0.0087315
31,645,0.00535124,0.0597198,0.934929,False,False,False,False,False,False,0.0447415,0.320162,0.635096,0.0159533
32,675,0.00463627,0.978386,0.0169775,False,False,False,False,False,False,0.0446233,0.697161,0.258216,0.0138822
33,705,0.00405136,0.970059,0.0258897,False,False,False,False,False,False,0.0442816,0.675944,0.279775,0.0121067
34,735,0.0063734,0.808585,0.185042,False,False,False,False,False,False,0.0448562,0.568181,0.386963,0.0189525
35,765,0.00786245,0.975599,0.0165384,False,False,False,False,False,False,0.047109,0.70804,0.244851,0.0235288
36,795,0.00763408,0.984426,0.00793992,False,False,False,False,False,False,0.0493816,0.798355,0.152263,0.0228876
37,825,0.0217556,0.955971,0.0222735,False,False,False,False,False,False,0.0557075,0.780665,0.163627,0.0652557
38,855,0.0335559,0.312276,0.654168,False,False,False,False,False,False,0.0517771,0.424879,0.523343,0.100417
39,885,0.0385072,0.040975,0.920518,False,False,False,False,False,False,0.056161,0.205849,0.73799,0.115495
40,915,0.100214,0.539529,0.360257,False,False,False,False,False,False,0.0615193,0.501735,0.436745,0.300313
41,945,0.204271,0.291288,0.50444,False,False,False,False,False,False,0.0813856,0.385624,0.53299,0.612311
42,975,0.227057,0.228976,0.543967,False,False,False,False,False,False,0.101872,0.214012,0.684117,0.680918
43,1005,0.205802,0.206039,0.588159,False,False,False,False,False,False,0.112519,0.154952,0.732529,0.617148
44,1035,0.280463,0.281993,0.437544,False,False,False,False,False,False,0.156225,0.217887,0.625888,0.839832
45,1065,0.275697,0.283044,0.441259,False,False,False,False,False,False,0.150001,0.269643,0.580356,0.824901
46,1095,0.284781,0.382563,0.332656,False,False,False,False,False,False,0.137633,0.472764,0.389603,0.852004
47,1125,0.329514,0.343509,0.326977,False,False,False,False,False,False,0.32327,0.361405,0.315325,0.901782
48,1155,0.335089,0.340515,0.324395,False,False,False,False,False,False,0.33974,0.354138,0.306122,0.901912
49,1185,0.318953,0.339552,0.341495,False,False,False,False,False,False,0.287281,0.353972,0.358747,0.900939
50,1215,0.358331,0.337875,0.303795,False,False,False,False,False,False,0.411372,0.366257,0.222371,0.892482
51,1245,0.342683,0.349142,0.308175,False,False,False,False,False,False,0.370484,0.385234,0.244283,0.89581
52,1275,0.417834,0.29113,0.291037,False,False,False,False,False,False,0.592968,0.204712,0.202321,0.867903
