window,t_ms,pxp_model0,pxp_model2B,pxp_model3,simes_sig_model0,simes_sig_model2B,simes_sig_model3,freq_model0,freq_model2B,freq_model3,bor
0,-285,0.532689,0.23371,0.233601,False,False,False,0.7428,0.144735,0.112465,0.700639
1,-255,0.435999,0.28204,0.281961,False,False,False,0.631661,0.186149,0.18219,0.843254
2,-225,0.590388,0.204772,0.20484,False,False,False,0.771617,0.0965272,0.131856,0.614231
3,-195,0.568685,0.215649,0.215666,False,False,False,0.774705,0.110073,0.115222,0.646837
4,-165,0.485343,0.257407,0.25725,False,False,False,0.708419,0.159386,0.132195,0.771362
5,-135,0.468819,0.264199,0.266982,False,False,False,0.647587,0.117322,0.235091,0.792128
6,-105,0.782948,0.108508,0.108544,False,False,False,0.811714,0.0744324,0.113854,0.325499
7,-75,0.368089,0.297747,0.334164,False,False,False,0.442169,0.186158,0.371673,0.885041
8,-45,0.405746,0.29877,0.295484,False,False,False,0.537582,0.252115,0.210303,0.877151
9,-15,0.504871,0.248199,0.24693,False,False,False,0.684394,0.205439,0.110167,0.740497
10,15,0.385847,0.304365,0.309788,False,False,False,0.477438,0.242512,0.28005,0.891136
11,45,0.325598,0.355797,0.318604,False,False,False,0.316002,0.394484,0.289515,0.900215
12,75,0.315113,0.391679,0.293208,False,False,False,0.334578,0.496647,0.168775,0.874887
13,105,0.305271,0.357594,0.337135,False,False,False,0.231295,0.407306,0.361399,0.893514
14,135,0.0851396,0.820816,0.0940444,False,False,False,0.0635505,0.686426,0.250023,0.255323
15,165,0.0288523,0.590893,0.380254,False,False,False,0.0514586,0.503365,0.445176,0.0863184
16,195,0.00552686,0.680529,0.313944,False,False,False,0.0443636,0.526219,0.429417,0.0164537
17,225,0.00265934,0.993807,0.00353333,False,False,False,0.0449258,0.776359,0.178715,0.00796314
18,255,0.0054389,0.25758,0.736982,False,False,False,0.044325,0.412772,0.542903,0.0161632
19,285,0.0021907,0.00291493,0.994894,False,False,True,0.0437129,0.172898,0.783389,0.00655124
20,315,0.00311754,0.0144785,0.982404,False,False,False,0.0436314,0.255189,0.70118,0.00933182
21,345,0.00289416,0.00874701,0.988359,False,False,False,0.0436946,0.232409,0.723896,0.00866464
22,375,0.00217549,0.00487979,0.992945,False,False,False,0.0436979,0.209031,0.747271,0.00650262
23,405,0.00160086,0.00193524,0.996464,False,False,True,0.0441161,0.15418,0.801704,0.00479959
24,435,0.00055129,0.000574252,0.998874,False,False,True,0.0438952,0.104552,0.851553,0.00165087
25,465,0.00108709,0.0012376,0.997675,False,False,True,0.0437732,0.136355,0.819872,0.00325229
26,495,0.00158993,0.00205172,0.996358,False,False,True,0.0435341,0.161634,0.794832,0.00476083
27,525,0.00192648,0.0033751,0.994698,False,False,True,0.0435607,0.191073,0.765366,0.00575259
28,555,0.00345496,0.0511121,0.945433,False,False,False,0.043682,0.31366,0.642658,0.0103174
29,585,0.00454474,0.264183,0.731272,False,False,False,0.0438314,0.414675,0.541494,0.0134981
30,615,0.00269357,0.00667021,0.990636,False,False,False,0.0436669,0.220392,0.735941,0.00807177
31,645,0.0059658,0.0539959,0.940038,False,False,False,0.0452088,0.314132,0.64066,0.017809
32,675,0.0056974,0.184224,0.810078,False,False,False,0.0444892,0.387151,0.568359,0.0169388
33,705,0.00554566,0.557445,0.437009,False,False,False,0.0443296,0.493254,0.462417,0.0164658
34,735,0.0053208,0.97308,0.0215989,False,False,False,0.0450852,0.686687,0.268227,0.0158916
35,765,0.00529743,0.988609,0.00609359,False,False,False,0.047081,0.777807,0.175112,0.0158775
36,795,0.00500302,0.989912,0.00508477,False,False,False,0.0488135,0.82575,0.125437,0.0149972
37,825,0.00915493,0.981635,0.00921037,False,False,False,0.0540492,0.830848,0.115102,0.0274531
38,855,0.0342664,0.387516,0.578217,False,False,False,0.0520227,0.447256,0.500721,0.102522
39,885,0.0500611,0.129144,0.820795,False,False,False,0.0551878,0.341893,0.602919,0.150023
40,915,0.107677,0.63364,0.258683,False,False,False,0.0634527,0.543499,0.393049,0.322728
41,945,0.187686,0.593858,0.218456,False,False,False,0.0768318,0.604845,0.318323,0.562776
42,975,0.224905,0.23017,0.544925,False,False,False,0.0954184,0.248772,0.655809,0.67443
43,1005,0.249913,0.250728,0.499359,False,False,False,0.131198,0.190951,0.67785,0.749094
44,1035,0.28331,0.289671,0.427019,False,False,False,0.146609,0.270095,0.583296,0.848252
45,1065,0.299355,0.338028,0.362616,False,False,False,0.200084,0.374224,0.425692,0.886236
46,1095,0.28925,0.414727,0.296023,False,False,False,0.165804,0.561267,0.27293,0.864763
47,1125,0.334845,0.318054,0.347101,False,False,False,0.341951,0.285126,0.372923,0.900594
48,1155,0.330142,0.316261,0.353596,False,False,False,0.331034,0.27917,0.389796,0.900173
49,1185,0.302409,0.379216,0.318374,False,False,False,0.224172,0.459289,0.316538,0.889801
50,1215,0.334772,0.374094,0.291134,False,False,False,0.381695,0.453899,0.164406,0.868281
51,1245,0.374323,0.317527,0.30815,False,False,False,0.443317,0.302455,0.254228,0.893968
52,1275,0.400767,0.296596,0.302636,False,False,False,0.528684,0.200715,0.270601,0.88196
