window,t_ms,pxp_model0,pxp_model2B,pxp_model3,simes_sig_model0,simes_sig_model2B,simes_sig_model3,simes_sig_matlab_model0,simes_sig_matlab_model2B,simes_sig_matlab_model3,freq_model0,freq_model2B,freq_model3,bor
0,-285,0.412895,0.287321,0.299784,False,False,False,False,False,False,0.547111,0.14988,0.303009,0.859694
1,-255,0.637113,0.18144,0.181446,False,False,False,False,False,False,0.790216,0.101667,0.108118,0.544233
2,-225,0.621328,0.189333,0.189339,False,False,False,False,False,False,0.787874,0.102829,0.109297,0.567899
3,-195,0.567145,0.21638,0.216474,False,False,False,False,False,False,0.761642,0.101587,0.136771,0.64905
4,-165,0.415639,0.290929,0.293432,False,False,False,False,False,False,0.575273,0.187234,0.237493,0.868466
5,-135,0.381033,0.323495,0.295472,False,False,False,False,False,False,0.468841,0.34936,0.181799,0.879197
6,-105,0.439286,0.280821,0.279893,False,False,False,False,False,False,0.639981,0.203748,0.156271,0.838403
7,-75,0.392025,0.317301,0.290674,False,False,False,False,False,False,0.49108,0.344592,0.164328,0.867482
8,-45,0.401682,0.300205,0.298113,False,False,False,False,False,False,0.531026,0.247238,0.221736,0.882754
9,-15,0.428743,0.285363,0.285894,False,False,False,False,False,False,0.617989,0.18092,0.20109,0.853321
10,15,0.391224,0.302967,0.305809,False,False,False,False,False,False,0.498508,0.238084,0.263408,0.890654
11,45,0.302136,0.306982,0.390883,False,False,False,False,False,False,0.235689,0.272969,0.491342,0.88786
12,75,0.392439,0.31481,0.292752,False,False,False,False,False,False,0.49122,0.331063,0.177717,0.872062
13,105,0.270959,0.458837,0.270204,False,False,False,False,False,False,0.195438,0.668365,0.136197,0.809978
14,135,0.196758,0.60614,0.197102,False,False,False,False,False,False,0.0987295,0.73865,0.162621,0.590145
15,165,0.16651,0.666102,0.167389,False,False,False,False,False,False,0.0903229,0.727433,0.182244,0.499395
16,195,0.0726345,0.441609,0.485756,False,False,False,False,False,False,0.0587266,0.463494,0.477779,0.217591
17,225,0.0592417,0.58429,0.356469,False,False,False,False,False,False,0.0574787,0.506267,0.436255,0.177375
18,255,0.0265646,0.70445,0.268985,False,False,False,False,False,False,0.0515797,0.537191,0.411229,0.0794673
19,285,0.0121201,0.950015,0.0378647,False,False,False,False,False,False,0.0485362,0.665463,0.286001,0.0362879
20,315,0.0130346,0.658022,0.328944,False,False,False,False,False,False,0.0478832,0.520444,0.431673,0.0389077
