window,t_ms,pxp_model0,pxp_model2B,pxp_model3,simes_sig_model0,simes_sig_model2B,simes_sig_model3,freq_model0,freq_model2B,freq_model3,bor
0,-285,0.436249,0.28199,0.28176,False,False,False,0.637464,0.186915,0.17562,0.843178
1,-255,0.474948,0.260872,0.26418,False,False,False,0.64387,0.116003,0.240128,0.782149
2,-225,0.546071,0.227039,0.226891,False,False,False,0.749289,0.149133,0.101578,0.680538
3,-195,0.492989,0.253418,0.253594,False,False,False,0.714696,0.127222,0.158082,0.759947
4,-165,0.414636,0.291607,0.293757,False,False,False,0.566768,0.19774,0.235492,0.868983
5,-135,0.499069,0.250566,0.250366,False,False,False,0.71724,0.161224,0.121537,0.750827
6,-105,0.501244,0.249601,0.249156,False,False,False,0.709587,0.177991,0.112423,0.747273
7,-75,0.4105,0.302219,0.287281,False,False,False,0.531585,0.308374,0.160041,0.858412
8,-45,0.43744,0.282522,0.280038,False,False,False,0.615327,0.23252,0.152154,0.838602
9,-15,0.411459,0.292063,0.296478,False,False,False,0.56154,0.181823,0.256638,0.87195
10,15,0.385487,0.311919,0.302594,False,False,False,0.479098,0.293313,0.22759,0.891029
11,45,0.319194,0.305541,0.375266,False,False,False,0.31266,0.238725,0.448615,0.893592
12,75,0.469523,0.264294,0.266183,False,False,False,0.65825,0.120416,0.221334,0.792434
13,105,0.467171,0.266546,0.266283,False,False,False,0.693019,0.170498,0.136483,0.798375
14,135,0.366409,0.338249,0.295342,False,False,False,0.437237,0.382457,0.180307,0.878494
15,165,0.292344,0.407402,0.300254,False,False,False,0.196082,0.526593,0.277325,0.869108
16,195,0.218166,0.561577,0.220257,False,False,False,0.103936,0.682901,0.213163,0.654209
17,225,0.171564,0.630281,0.198155,False,False,False,0.081274,0.614255,0.304471,0.514343
18,255,0.0497162,0.504701,0.445583,False,False,False,0.0551315,0.481056,0.463812,0.148832
19,285,0.0183606,0.946433,0.0352059,False,False,False,0.0503974,0.680361,0.269241,0.0550138
20,315,0.0140182,0.671254,0.314728,False,False,False,0.0481517,0.524372,0.427476,0.0418505
21,345,0.012518,0.766415,0.221067,False,False,False,0.0475772,0.554416,0.398006,0.0373864
22,375,0.00876276,0.981837,0.00940055,False,False,False,0.048637,0.782732,0.168631,0.0262795
23,405,0.01094,0.975199,0.013861,False,False,False,0.0489713,0.741708,0.209321,0.032794
24,435,0.0162995,0.750633,0.233067,False,False,False,0.0486412,0.549968,0.401391,0.0487129
25,465,0.00964683,0.977083,0.01327,False,False,False,0.0483103,0.733933,0.217757,0.0289143
26,495,0.00772447,0.984377,0.00789835,False,False,False,0.0504711,0.810943,0.138586,0.0231558
27,525,0.0262192,0.946589,0.0271922,False,False,False,0.0534409,0.766916,0.179643,0.0786382
28,555,0.0528761,0.893019,0.0541046,False,False,False,0.059351,0.755298,0.185351,0.158618
29,585,0.213242,0.561718,0.22504,False,False,False,0.0877076,0.633246,0.279046,0.639444
30,615,0.277897,0.288048,0.434055,False,False,False,0.137291,0.28832,0.574388,0.832188
31,645,0.2856,0.424869,0.289531,False,False,False,0.170224,0.580596,0.24918,0.853642
32,675,0.288705,0.288916,0.422379,False,False,False,0.203737,0.207993,0.58827,0.860253
33,705,0.2869,0.283049,0.430051,False,False,False,0.246637,0.168452,0.584911,0.846092
34,735,0.294379,0.331718,0.373903,False,False,False,0.179824,0.369143,0.451033,0.875637
35,765,0.265135,0.264645,0.47022,False,False,False,0.184556,0.150432,0.665011,0.792877
36,795,0.284362,0.297075,0.418563,False,False,False,0.157655,0.298358,0.543987,0.849898
37,825,0.316929,0.296839,0.386232,False,False,False,0.327053,0.193968,0.478979,0.881513
38,855,0.31139,0.313747,0.374863,False,False,False,0.270649,0.283253,0.446098,0.896558
39,885,0.300376,0.403516,0.296108,False,False,False,0.259145,0.533957,0.206898,0.879662
40,915,0.325384,0.36959,0.305026,False,False,False,0.33246,0.435304,0.232236,0.89355
41,945,0.318426,0.33188,0.349694,False,False,False,0.286626,0.334059,0.379315,0.900474
42,975,0.312768,0.320138,0.367094,False,False,False,0.272314,0.304991,0.422695,0.89565
43,1005,0.275621,0.271948,0.452431,False,False,False,0.244092,0.135608,0.620301,0.814834
44,1035,0.270801,0.271045,0.458154,False,False,False,0.180208,0.19005,0.629742,0.8092
45,1065,0.301196,0.290994,0.40781,False,False,False,0.28681,0.191305,0.521885,0.865438
46,1095,0.38095,0.309399,0.30965,False,False,False,0.457964,0.27043,0.271606,0.890993
47,1125,0.324511,0.370585,0.304905,False,False,False,0.330446,0.438722,0.230832,0.894305
48,1155,0.302045,0.301856,0.396099,False,False,False,0.251164,0.249642,0.499195,0.882231
49,1185,0.313155,0.267982,0.418863,False,False,False,0.371128,0.117701,0.511171,0.802519
50,1215,0.460746,0.268097,0.271157,False,False,False,0.632782,0.130624,0.236594,0.803511
51,1245,0.327613,0.297768,0.374619,False,False,False,0.351425,0.19989,0.448684,0.881606
52,1275,0.403955,0.299354,0.296692,False,False,False,0.530908,0.250581,0.218511,0.87867
