t_ms,published_pxp_model0,port_pxp_model0,published_pxp_model2B,port_pxp_model2B,published_pxp_model3,port_pxp_model3,published_winner,port_winner
-285,0.489285,0.497082,0.255296,0.251687,0.255419,0.251231,model0,model0
-255,0.462848,0.468822,0.268745,0.265848,0.268407,0.265331,model0,model0
-225,0.622132,0.616858,0.18892,0.19157,0.188948,0.191571,model0,model0
-195,0.631549,0.588735,0.184222,0.20563,0.184229,0.205635,model0,model0
-165,0.540776,0.467102,0.22965,0.266464,0.229574,0.266434,model0,model0
-135,0.506976,0.468074,0.246279,0.265392,0.246745,0.266534,model0,model0
-105,0.711369,0.654901,0.144173,0.171033,0.144457,0.174066,model0,model0
-75,0.39811,0.383237,0.294072,0.300835,0.307818,0.315927,model0,model0
-45,0.407838,0.412145,0.307766,0.301946,0.284397,0.285909,model0,model0
-15,0.46839,0.482597,0.265779,0.258746,0.265831,0.258657,model0,model0
15,0.383822,0.389204,0.295908,0.299711,0.32027,0.311085,model0,model0
45,0.280402,0.311534,0.278279,0.328691,0.441319,0.359775,model3,model3
75,0.306226,0.338302,0.399545,0.362876,0.29423,0.298822,model2B,model2B
105,0.300677,0.299687,0.337194,0.382333,0.362129,0.317981,model3,model2B
135,0.103342,0.110268,0.780361,0.7487,0.116297,0.141032,model2B,model2B
165,0.0218209,0.020125,0.911345,0.925662,0.0668339,0.0542128,model2B,model2B
195,0.00564313,0.00521654,0.825225,0.179186,0.169132,0.815598,model2B,model3
225,0.00464997,0.00244606,0.985442,0.994538,0.00990789,0.00301586,model2B,model2B
255,0.0061295,0.00577304,0.829729,0.494707,0.164141,0.49952,model2B,model3
285,0.0041404,0.00433809,0.109636,0.768726,0.886224,0.226935,model3,model2B
315,0.00235711,0.00344193,0.003636,0.0337755,0.994007,0.962783,model3,model3
345,0.00373737,0.00207245,0.0502073,0.0032173,0.946055,0.99471,model3,model3
375,0.00145392,0.00155812,0.00172772,0.00228572,0.996818,0.996156,model3,model3
405,0.00220021,0.00298313,0.0044354,0.0135126,0.993364,0.983504,model3,model3
435,0.000736765,0.000490233,0.000783661,0.000513199,0.99848,0.998997,model3,model3
465,0.000686608,0.00070936,0.000726526,0.000771228,0.998587,0.998519,model3,model3
495,0.00191999,0.000691263,0.00250858,0.000728186,0.995571,0.998581,model3,model3
525,0.00240053,0.00168621,0.0073746,0.00231901,0.990225,0.995995,model3,model3
555,0.00406438,0.00249326,0.150427,0.00661232,0.845508,0.990894,model3,model3
585,0.00441318,0.00437919,0.184374,0.140984,0.811212,0.854637,model3,model3
615,0.00449242,0.00291347,0.430042,0.00775483,0.565466,0.989332,model3,model3
645,0.00487237,0.00535124,0.0221961,0.0597198,0.972931,0.934929,model3,model3
675,0.00427956,0.00463627,0.984652,0.978386,0.0110685,0.0169775,model2B,model2B
705,0.00500171,0.00405136,0.680767,0.970059,0.314231,0.0258897,model2B,model2B
735,0.00725831,0.0063734,0.765041,0.808585,0.227701,0.185042,model2B,model2B
765,0.0112039,0.00786245,0.940741,0.975599,0.0480547,0.0165384,model2B,model2B
795,0.00450354,0.00763408,0.990969,0.984426,0.00452722,0.00793992,model2B,model2B
825,0.0262118,0.0217556,0.941506,0.955971,0.032282,0.0222735,model2B,model2B
855,0.0350308,0.0335559,0.354024,0.312276,0.610945,0.654168,model3,model3
885,0.0399497,0.0385072,0.0440101,0.040975,0.91604,0.920518,model3,model3
915,0.0917559,0.100214,0.21393,0.539529,0.694314,0.360257,model3,model2B
945,0.195536,0.204271,0.383032,0.291288,0.421432,0.50444,model3,model3
975,0.213733,0.227057,0.21669,0.228976,0.569577,0.543967,model3,model3
1005,0.220085,0.205802,0.220296,0.206039,0.559619,0.588159,model3,model3
1035,0.251742,0.280463,0.251776,0.281993,0.496482,0.437544,model3,model3
1065,0.294021,0.275697,0.366048,0.283044,0.339931,0.441259,model2B,model3
1095,0.288785,0.284781,0.312804,0.382563,0.39841,0.332656,model3,model2B
1125,0.32531,0.329514,0.353355,0.343509,0.321335,0.326977,model2B,model2B
1155,0.326555,0.335089,0.378381,0.340515,0.295064,0.324395,model2B,model2B
1185,0.312117,0.318953,0.36288,0.339552,0.325003,0.341495,model2B,model3
1215,0.291206,0.358331,0.418002,0.337875,0.290792,0.303795,model2B,model0
1245,0.352804,0.342683,0.344293,0.349142,0.302904,0.308175,model0,model2B
1275,0.393794,0.417834,0.297866,0.29113,0.30834,0.291037,model0,model0
