level1,level2,level3,level4,level5,level6
0.18055,-2.6012,-1.3786,-1.8783,1.1266,0.86943
0.30382,-0.20607,-2.4743,-0.10478,-0.7086,1.4868
-3.1577,-1.2058,-2.4223,-0.48497,4.286,0.86867
-0.32819,-1.1172,-1.7072,-2.0056,1.865,0.41303
-2.5713,-0.10201,-1.697,-0.34477,-1.3554,2.966
-1.9817,0.33841,0.15081,-0.76408,1.4663,-1.3925
-0.66694,-1.2952,-0.83347,-1.3988,0.019599,0.73514
-1.7306,-0.17424,-1.2055,1.227,-1.9753,2.9228
-1.1045,-0.10003,-2.5937,-0.48473,-0.95712,-0.30331
-0.6728,-1.2184,-0.32654,1.1269,-0.99161,0.8589
-1.9927,-1.756,-2.4238,-1.03,-1.1289,-0.83057
-1.0276,-0.09032,-0.15744,1.0826,-1.3463,1.7446
-1.6612,-2.3245,-1.1592,1.3882,1.8008,-0.29388
0.079235,0.7661,-1.8368,-1.6246,2.4279,0.0976
-1.2621,1.0449,-1.826,-3.0134,-3.1454,2.3507
-0.93964,-1.1396,-1.309,0.18575,0.025376,1.3022
-1.2158,-1.9883,-1.5076,-1.2753,1.9056,-1.3696
-0.49566,1.2539,-1.9434,1.4296,1.3327,-2.4611
-3.7599,-3.0227,-3.6444,-1.5527,0.26405,0.63095
-0.72773,0.16471,-2.5049,2.977,-0.71221,-0.45342
-0.55132,-2.2793,0.42828,-0.51603,-0.66778,-1.0099
-0.3386,-1.416,0.46383,-2.1883,1.397,0.60484
0.98636,-3.2225,-0.53394,-1.1525,-0.33667,-1.5222
-1.3445,-0.80403,-1.5274,-2.2085,0.6601,1.9923
-0.56209,-0.16707,-1.2941,-0.27259,1.9638,1.5109
-3.1339,-1.6299,-1.0005,1.7131,-0.24063,2.029
-0.46009,2.6312,-0.63646,-0.115,-3.3192,1.8043
-1.9949,-2.7359,-1.4548,-0.51178,0.99081,1.2097
-1.9711,-1.26,0.44154,-0.30317,1.0849,0.95444
-0.84276,0.55101,-2.9037,-1.2392,1.7877,-0.89439
-0.54277,-0.35455,0.43684,-0.1533,0.85634,1.8519
-0.63916,-1.2102,0.65513,-0.97828,0.71711,0.77511
1.5845,-1.7585,-0.71002,-1.3033,-0.20582,2.9026
-1.6884,-2.5316,-3.9235,-0.27303,-1.785,0.73924
0.077599,1.4377,-2.0712,-1.7759,0.55635,1.8848
-1.0405,-2.2155,-0.99104,-1.9792,-0.15335,0.94705
-2.2939,-1.5816,-0.47666,-0.83836,1.0014,1.5082
-1.0083,0.028377,0.019007,-0.47988,0.9141,0.045473
-0.50831,-1.6349,-2.9967,0.61937,0.97033,2.775
-1.2924,1.6907,1.6113,-0.20213,0.85876,0.40863
1.1327,-1.0223,-0.27068,1.046,-0.073679,0.29422
-1.2839,-0.50788,-1.6567,-0.43862,-2.2439,0.090634
-0.014062,-0.48734,-1.355,0.047601,1.6554,-0.12002
-0.60295,-4.243,-1.6793,-3.407,0.45718,1.0076
-0.64833,-0.25138,-1.517,-0.047401,2.7877,0.49
-3.373,-0.80553,-1.7887,1.0039,-0.12897,1.6889
-2.0043,-1.1265,-0.30548,-1.5441,-1.4432,2.3205
0.055205,-2.8182,-0.84017,-1.7958,1.7399,2.39
-3.1814,-2.466,-1.3492,-1.06,0.72044,0.90753
-0.40079,-1.6289,0.80737,-1.1776,0.26566,1.7273
0.62198,-0.53837,-1.0367,-2.1552,1.1598,1.7222
-0.99762,-1.5009,-2.3739,-0.57739,3.1167,3.5776
-1.5878,-1.0063,-1.5104,1.2172,0.34597,1.6554
-2.5394,0.54219,0.31181,0.71647,2.2784,1.9835
-1.0713,-0.97124,-1.8321,-0.041383,1.1001,1.5639
-1.5988,0.5522,2.3238,0.90146,1.0246,1.6194
0.63983,-1.9407,-0.36682,0.12198,2.0707,1.6624
-0.089766,-0.65189,-0.98157,3.1629,-3.2386,-1.6577
-2.0427,1.7884,1.4116,-0.65713,-0.90071,0.076108
-1.9198,0.62807,-1.1333,-3.1868,1.7905,0.47805
-1.8665,-1.4329,-1.622,-0.80193,1.3538,1.6458
0.39872,-2.2024,-1.1813,-0.1852,0.12442,1.4665
-1.1531,0.36886,-1.0405,1.1733,1.9117,0.26784
0.37034,-2.6023,-0.90063,-0.7441,-1.1816,0.43122
-1.84,-2.2044,1.1983,2.3289,0.33642,0.098982
-2.1382,-0.33585,-0.66599,-2.2882,0.44976,-1.5567
-1.8636,-2.4555,-2.6912,-1.8331,-0.71006,0.25956
-1.4952,-1.5769,-0.96056,-1.4354,-0.29656,0.88794
-0.50964,-0.11254,-1.6371,0.24651,0.75325,0.13101
-1.8463,-1.4311,-0.80747,-2.9878,-1.1017,1.4083
0.29975,-0.036454,-0.61642,-2.9426,-1.0781,2.0935
0.4805,-2.5286,-1.6851,0.43863,1.5752,1.7912
-2.3208,-2.337,-2.8506,-2.4066,0.16741,-0.4994
-1.1312,-1.8388,-1.666,-2.1155,0.44,0.69579
