level1,level2,level3,level4,level5,level6,level7
-0.60267,-0.51107,-0.86429,-1.3205,1.3324,1.4589,0.94071
-2.9475,-0.30083,0.65168,-1.1136,-0.90529,-0.6331,-0.29536
-1.3801,-0.28082,-0.42221,-1.7028,-0.062731,0.32896,1.6282
0.46567,-1.9911,-0.06425,-0.5691,-0.11125,-0.56188,0.36342
0.12142,-1.3246,-0.51104,0.13919,-0.56231,0.54336,0.83096
0.55769,0.59503,-0.89587,0.030398,1.506,1.2857,-0.1647
-0.051001,0.258,1.122,-1.0188,-0.10743,0.0080294,-1.4143
-0.3588,-0.28585,-0.68481,2.169,0.97412,-0.54178,1.1506
-0.035477,-2.3231,0.45138,-1.0574,0.084973,0.6343,2.4389
-0.13952,-1.241,-1.1208,0.2838,-0.65948,-0.013787,-0.22169
-1.3353,-0.45873,0.058593,-0.22798,0.35423,-0.63701,1.8371
-0.88792,-1.0923,-0.93387,0.774,0.31863,0.77712,0.44633
-0.59919,-0.0079945,-0.46236,0.074609,-0.24578,0.66438,0.8945
-0.48708,0.4894,-0.97453,-0.05692,0.66261,-0.14905,1.7056
-0.16358,-0.50633,-1.4507,-0.18479,1.2993,0.051112,-1.0723
-0.82927,-0.92827,-1.7634,1.203,-1.7546,-0.16384,2.0141
-0.16032,-2.2951,0.66019,0.21944,-1.3373,0.65812,0.83254
-0.22738,-0.016261,-1.987,-0.65559,-0.53738,0.20073,1.3763
-0.37839,-1.9619,-0.060243,-0.24094,0.86964,0.33682,0.23605
-0.6524,-0.34786,-0.35094,0.51675,-0.5747,0.65482,1.573
-2.1814,0.015597,0.2785,-0.41152,0.22628,0.1126,-0.34585
1.654,1.1285,-0.80801,-1.0952,-0.5986,0.85676,0.7021
0.8711,-0.0090769,1.3371,1.0345,0.22359,-1.641,-0.23626
0.36591,-1.9414,-0.91135,-0.24253,-0.32704,-1.2721,-0.5796
0.55789,-1.0435,-0.9242,-0.051954,-0.76413,-1.0242,1.7184
-0.97363,0.98943,-0.48395,-2.1569,2.316,0.89985,0.70134
-0.74541,-1.2266,-1.3901,-0.14099,0.048268,0.42787,0.92587
1.2442,-0.20157,-0.98157,1.1654,0.17016,1.4276,-0.15694
-0.67565,-1.2431,-1.7463,0.071427,1.0752,-0.13351,-0.98232
0.11167,0.084606,-1.6998,-0.29648,-0.86188,0.72879,0.53231
