subject,level,n,mean_audib,sd_audib,median_audib,p_heard30,accuracy
1,1,138,1.1304,1.8197,0,0.2029,0.51449
1,2,144,1.3333,1.9142,0,0.23611,0.49306
1,3,146,1.9589,2.4407,1,0.35616,0.58219
1,4,142,3.2817,2.9327,3,0.54225,0.71127
1,5,133,5.4586,2.9632,6,0.81955,0.87218
1,6,144,8.0486,1.8372,8,0.97222,0.96528
2,1,142,0.84507,1.6686,0,0.1338,0.53521
2,2,147,1.2177,1.9286,0,0.15646,0.53061
2,3,144,1.8125,2.4091,0,0.30556,0.65972
2,4,141,4.1206,2.7658,5,0.67376,0.83688
2,5,146,6.3288,2.0615,6,0.93836,0.9589
2,6,148,8.1892,1.8121,8,0.98649,0.98649
3,1,156,0.51923,0.98026,0,0.064103,0.48077
3,2,149,0.87248,1.5259,0,0.10738,0.58389
3,3,158,1.4557,1.9698,0,0.27215,0.62025
3,4,152,3.1711,2.7399,3,0.55921,0.80263
3,5,149,5.9799,2.7935,6,0.87248,0.95973
3,6,146,8.3836,1.843,9,1,0.9863
4,1,148,0.61486,1.1578,0,0.054054,0.54054
4,2,145,0.64138,1.3472,0,0.041379,0.6069
4,3,140,1.0786,1.9639,0,0.12857,0.68571
4,4,139,2.6978,3.0873,1,0.36691,0.80576
4,5,139,5.9065,3.1065,7,0.79137,0.94245
4,6,143,7.8741,1.9424,8,0.98601,1
5,1,149,0.91275,1.4838,0,0.11409,0.44966
5,2,143,1.1538,1.8739,0,0.16783,0.55245
5,3,139,2.0216,2.4181,1,0.32374,0.63309
5,4,150,4.6733,2.6432,5,0.75333,0.82667
5,5,147,6.7143,1.6676,7,0.97279,0.98639
5,6,150,7.8467,1.2137,8,1,1
6,1,148,0.47297,1.2695,0,0.054054,0.41216
6,2,156,1.1923,2.0419,0,0.17308,0.57051
6,3,145,2.2207,2.9872,0,0.31724,0.66897
6,4,151,4.1921,3.3896,5,0.61589,0.84106
6,5,150,7.3133,2.4195,8,0.92,0.97333
6,6,149,8.9128,1.3251,9,1,0.98658
7,1,151,0.39735,0.80066,0,0.013245,0.53642
7,2,143,0.47552,1.2093,0,0.027972,0.51748
7,3,147,0.81633,1.6512,0,0.081633,0.65986
7,4,149,2.3557,3.2384,1,0.26846,0.69128
7,5,152,4.4605,3.6227,5,0.56579,0.90132
7,6,148,7.5405,2.8699,9,0.90541,0.97297
8,1,140,1.2929,1.6204,1,0.18571,0.47143
8,2,144,1.9375,2.0762,1,0.33333,0.56944
8,3,147,2.415,2.4796,2,0.38095,0.61224
8,4,144,4.2569,2.8817,4,0.68056,0.82639
8,5,149,7.0604,2.0574,7,0.95302,0.97315
8,6,148,8.3851,1.6393,9,0.99324,1
9,1,156,1.4679,1.9819,1,0.25,0.48077
9,2,157,1.7134,2.5065,0,0.25478,0.6051
9,3,156,2.6218,3.2515,1,0.37179,0.66667
9,4,157,4.3822,3.9557,4,0.56051,0.73248
9,5,153,8.3529,2.6419,10,0.93464,0.97386
9,6,150,9.4467,1.6242,10,0.97333,0.98667
10,1,152,0.59868,1.0751,0,0.072368,0.55263
10,2,158,0.96835,1.5202,0,0.15823,0.61392
10,3,157,1.6688,2.0982,1,0.25478,0.65605
10,4,156,3.3846,2.9413,3,0.55128,0.79487
10,5,155,5.8645,2.423,6,0.89032,0.94839
10,6,152,7.8158,1.8643,8,0.97368,0.99342
11,1,127,1.0236,1.231,1,0.070866,0.47244
11,2,129,1.2016,1.6026,1,0.11628,0.55039
11,3,137,1.6131,2.066,1,0.19708,0.64234
11,4,132,2.8409,2.8307,1,0.37121,0.70455
11,5,127,5.8819,2.9429,6,0.80315,0.91339
11,6,139,8.4388,2.0751,9,0.98561,0.96403
12,1,151,0.86093,1.6332,0,0.10596,0.50331
12,2,157,1.2484,1.8662,0,0.18471,0.50955
12,3,159,2.1447,2.8056,1,0.2956,0.63522
12,4,152,3.9276,3.3733,4,0.54605,0.71711
12,5,149,7.0134,2.568,8,0.91275,0.95973
12,6,151,8.7616,1.6561,9,0.98675,0.97351
13,1,145,0.42759,1.012,0,0.041379,0.38621
13,2,152,1.0724,2.1809,0,0.13158,0.48026
13,3,149,1.7047,2.9236,0,0.20134,0.60403
13,4,154,4.2013,3.7528,4,0.55844,0.7987
13,5,152,7.4079,2.9462,9,0.88816,0.95395
13,6,151,9.1325,1.0874,9,0.99338,0.99338
14,1,154,0.2013,0.88103,0,0.032468,0.49351
14,2,155,1.0839,2.2359,0,0.16774,0.65161
14,3,156,2.8846,3.1004,1,0.44872,0.76282
14,4,156,5.1859,3.0875,6,0.75,0.87179
14,5,156,7.7564,1.4068,8,0.98718,1
14,6,157,8.8599,1.0709,9,1,1
15,1,153,0.29412,1.1521,0,0.052288,0.4902
15,2,158,0.86076,1.9919,0,0.14557,0.5443
15,3,156,1.7821,2.8743,0,0.27564,0.55128
15,4,156,3.5897,3.4113,4,0.53205,0.79487
15,5,158,7.0886,2.4712,8,0.92405,0.93038
15,6,157,8.535,1.8381,9,0.97452,0.99363
16,1,158,0.025316,0.15758,0,0,0.50633
16,2,158,0.13291,0.39268,0,0,0.58861
16,3,159,0.23899,0.98379,0,0.018868,0.56604
16,4,160,1.2625,2.1963,0,0.15,0.7375
16,5,156,3.9936,3.2834,3,0.54487,0.95513
16,6,159,7.5975,2.7949,9,0.91824,0.99371
17,1,155,0.50323,1.136,0,0.10323,0.51613
17,2,158,1.0127,1.8477,0,0.17722,0.61392
17,3,156,1.8205,2.2789,0,0.32692,0.69231
17,4,155,3.7548,2.9174,4,0.62581,0.81935
17,5,155,6.5806,2.0604,7,0.94194,0.95484
17,6,156,8.3718,1.2913,8,0.99359,1
18,1,160,0.7375,1.2713,0,0.09375,0.45625
18,2,159,1.2579,1.92,0,0.19497,0.62893
18,3,160,2.2812,2.5233,1,0.40625,0.6625
18,4,157,4.5478,2.852,5,0.70701,0.78344
18,5,160,6.8,2.317,7,0.93125,0.925
18,6,159,8.5031,1.5946,9,1,0.96226
19,1,156,0.23077,0.73481,0,0.025641,0.51923
19,2,149,0.34228,1.0119,0,0.026846,0.59732
19,3,156,0.88462,1.5656,0,0.12179,0.57051
19,4,153,2.1503,2.389,1,0.37255,0.78431
19,5,152,4.9145,2.961,5,0.75658,0.94079
19,6,151,8.0927,2.1582,9,1,1
20,1,158,0.63291,1.018,0,0.06962,0.52532
20,2,158,0.98101,1.3706,0,0.13291,0.5443
20,3,157,1.4968,1.7782,1,0.2293,0.63694
20,4,154,2.9221,2.1283,3,0.51299,0.83766
20,5,156,5.6346,2.8873,6,0.84615,0.96154
20,6,152,7.7697,2.3989,8,0.97368,0.99342
