subject,level,n,mean_audib,sd_audib,median_audib,p_heard30,accuracy
1,1,149,1.1208,1.3351,0,0.24832,2.4966
1,2,151,1.1788,1.347,1,0.22517,2.4768
1,3,145,1.2759,1.4166,1,0.26897,2.4828
1,4,147,1.0748,1.2879,0,0.20408,2.483
1,5,148,1.1689,1.337,0.5,0.23649,2.4865
1,6,153,1.0654,1.3212,0,0.20915,2.5033
2,1,144,1.1875,1.3114,1,0.19444,2.5139
2,2,144,1.2222,1.3865,0.5,0.20139,2.4583
2,3,144,1.1111,1.3438,0,0.19444,2.5417
2,4,148,1.1351,1.2435,1,0.16892,2.473
2,5,152,1.0921,1.2782,0,0.15789,2.5066
2,6,151,1.1523,1.3454,1,0.17881,2.5033
3,1,149,1.3826,1.5535,1,0.34228,2.5168
3,2,149,1.3893,1.567,1,0.33557,2.4765
3,3,148,1.3108,1.5112,0.5,0.31081,2.5
3,4,147,1.1565,1.3834,1,0.26531,2.4898
3,5,151,0.98013,1.3189,0,0.17219,2.5762
3,6,153,0.95425,1.2688,1,0.14379,2.5163
4,1,149,1.1342,1.3639,0,0.16107,2.5235
4,2,148,1.1959,1.4126,0,0.2027,2.4797
4,3,144,1.2431,1.4688,0,0.22917,2.5556
4,4,154,1.0779,1.2236,0,0.14935,2.4935
4,5,149,1.0805,1.3075,0,0.16107,2.5369
4,6,147,1.1224,1.3236,0,0.17687,2.4966
5,1,148,1.0405,1.1599,1,0.10135,2.4797
5,2,148,1.223,1.4229,0.5,0.18919,2.5405
5,3,131,1.1603,1.3633,0,0.16031,2.5496
5,4,142,1.0563,1.2133,0.5,0.1338,2.5282
5,5,143,1.0769,1.2786,0,0.13287,2.4965
5,6,135,1.1333,1.2802,1,0.14815,2.4667
6,1,157,1.242,1.3886,1,0.25478,2.4904
6,2,158,1.2025,1.3486,0.5,0.25949,2.5
6,3,157,1.1656,1.358,0,0.23567,2.5159
6,4,153,1.1961,1.3672,0,0.24183,2.4837
6,5,156,1.2756,1.4572,0.5,0.28846,2.5128
6,6,153,1.098,1.3117,0,0.22876,2.4967
7,1,149,1.255,1.4102,1,0.26846,2.4698
7,2,152,1.2039,1.3634,1,0.23684,2.4868
7,3,155,1.2,1.3836,0,0.25161,2.5097
7,4,151,1.0331,1.2297,0,0.18543,2.5033
7,5,150,1.1533,1.4082,0.5,0.22,2.4733
7,6,152,1.2303,1.4164,1,0.28947,2.5
8,1,142,1.3592,1.4796,0.5,0.35915,2.5423
8,2,149,1.2416,1.3981,0,0.33557,2.5235
8,3,137,1.3212,1.4799,0,0.37226,2.5547
8,4,145,1.331,1.5003,1,0.33793,2.4828
8,5,142,1.3099,1.44,1,0.32394,2.5141
8,6,145,1.1724,1.4011,0,0.28276,2.5448
9,1,150,1.2533,1.4479,0,0.29333,2.52
9,2,132,1.2879,1.4906,0,0.2803,2.4318
9,3,143,1.3776,1.4908,1,0.31469,2.5105
9,4,135,1.1185,1.4302,0,0.25926,2.5926
9,5,141,1.3617,1.5412,0,0.29078,2.5532
9,6,137,1.2336,1.3894,1,0.24818,2.4526
