window,t_ms,n_subjects,bor,freq_model0,xp_model0,pxp_model0,nwin_model0,meanllh_model0,freq_model2B,xp_model2B,pxp_model2B,nwin_model2B,meanllh_model2B,freq_model3,xp_model3,pxp_model3,nwin_model3,meanllh_model3,d_llh_3_minus_2B_mean,d_llh_3_minus_2B_sem,d_llh_2B_minus_0_mean,d_llh_2B_minus_0_sem,simes_sig_model0,simes_thr_model0,simes_sig_model2B,simes_thr_model2B,simes_sig_model3,simes_thr_model3
0,-285,20,0.753449,0.706133,0.997489,0.497082,11,-115.346,0.178618,0.002179,0.251687,5,-115.506,0.115249,0.000332,0.251231,4,-115.698,-0.192635,0.133288,-0.159815,0.0805394,False,,False,,False,0.00528974
1,-255,20,0.79528,0.67466,0.995157,0.468822,14,-115.573,0.184778,0.003684,0.265848,3,-115.735,0.140561,0.001159,0.265331,3,-115.818,-0.08325,0.100835,-0.161255,0.107991,False,,False,,False,0.00528974
2,-225,20,0.574608,0.78811,0.999836,0.616858,14,-114.402,0.103959,8.1e-05,0.19157,3,-114.735,0.107931,8.3e-05,0.191571,3,-114.713,0.02252,0.0822952,-0.33301,0.0735645,False,,False,,False,0.00528974
3,-195,20,0.61678,0.780824,0.999797,0.588735,16,-115.428,0.108929,9.5e-05,0.20563,2,-115.742,0.110248,0.000108,0.205635,2,-115.72,0.02259,0.0837869,-0.314365,0.0829427,False,,False,,False,0.00528974
4,-165,20,0.798208,0.679472,0.996236,0.467102,11,-117.697,0.162238,0.001955,0.266464,5,-117.901,0.15829,0.001809,0.266434,4,-117.909,-0.008175,0.100052,-0.204395,0.112028,False,,False,,False,0.00528974
5,-135,20,0.795635,0.666595,0.99265,0.468074,10,-127.527,0.127789,0.000882,0.265392,6,-127.909,0.205615,0.006468,0.266534,4,-127.687,0.22167,0.22433,-0.38196,0.213045,False,,False,,False,0.00528974
6,-105,20,0.513,0.701347,0.993636,0.654901,14,-132.709,0.0745641,6.8e-05,0.171033,0,-133.31,0.224089,0.006296,0.174066,6,-132.885,0.425195,0.153599,-0.60177,0.104206,False,,False,,False,0.00528974
7,-75,20,0.889093,0.472981,0.783295,0.383237,11,-132.442,0.213805,0.040312,0.300835,2,-132.492,0.313214,0.176393,0.315927,7,-132.518,-0.0259,0.13207,-0.050655,0.101608,False,,False,,False,0.00528974
8,-45,20,0.855287,0.536936,0.877939,0.412145,10,-138.805,0.314646,0.116443,0.301946,8,-138.87,0.148419,0.005618,0.285909,2,-139.031,-0.16055,0.135051,-0.064835,0.113703,False,,False,,False,0.00528974
9,-15,20,0.775513,0.709477,0.998243,0.482597,12,-149.374,0.153224,0.001076,0.258746,2,-149.553,0.137299,0.000681,0.258657,6,-149.641,-0.0887,0.10374,-0.17915,0.0691884,False,,False,,False,0.00528974
10,15,20,0.887447,0.49045,0.82973,0.389204,10,-155.627,0.21049,0.034609,0.299711,3,-155.703,0.29906,0.135661,0.311085,7,-155.688,0.01505,0.100546,-0.0768,0.0916067,False,,False,,False,0.00528974
11,45,20,0.898099,0.260768,0.119406,0.311534,6,-159.662,0.331686,0.287775,0.328691,10,-159.624,0.407546,0.592819,0.359775,4,-159.607,0.01735,0.1184,0.0377,0.100201,False,,False,,False,0.00528974
12,75,20,0.886357,0.377486,0.377053,0.338302,8,-163.672,0.428993,0.593294,0.362876,9,-163.661,0.193521,0.029653,0.298822,3,-163.783,-0.12195,0.113317,0.01095,0.0927088,False,,False,,False,0.00528974
13,105,20,0.886425,0.209006,0.037081,0.299687,7,-172.895,0.468439,0.764762,0.382333,7,-172.741,0.322554,0.198157,0.317981,6,-172.781,-0.0399,0.0963035,0.1536,0.135614,False,,False,,False,0.00528974
14,135,20,0.330621,0.067086,9.2e-05,0.110268,1,-202.535,0.630866,0.953858,0.7487,14,-199.762,0.302048,0.04605,0.141032,5,-199.86,-0.0982,0.153267,2.77355,1.23711,False,,False,,False,0.00528974
15,165,20,0.0602931,0.0502663,2.9e-05,0.020125,1,-239.272,0.65163,0.963667,0.925662,12,-232.998,0.298103,0.036304,0.0542128,7,-233.148,-0.1498,0.172693,6.2742,1.97652,False,,False,,False,0.00528974
16,195,20,0.0155492,0.0442811,3.4e-05,0.00521654,0,-260.905,0.385399,0.176751,0.179186,8,-251.843,0.57032,0.823215,0.815598,12,-251.774,0.0688,0.149702,9.06165,1.86206,False,,False,,False,0.00528974
17,225,20,0.0073233,0.0447903,5e-06,0.00244606,0,-265.529,0.786947,0.999416,0.994538,16,-255.513,0.168262,0.000579,0.00301586,4,-255.777,-0.2644,0.136385,10.0158,1.48122,False,,False,,False,0.00528974
18,255,20,0.0171334,0.0444717,6.3e-05,0.00577304,0,-268.772,0.477272,0.49752,0.494707,9,-258.513,0.478256,0.502417,0.49952,11,-258.513,-0.0001,0.0856939,10.2588,1.42785,False,,False,,False,0.00528974
19,285,20,0.0128721,0.0437383,4.8e-05,0.00433809,0,-280.354,0.553283,0.774404,0.768726,11,-268.003,0.402979,0.225548,0.226935,9,-268.051,-0.04815,0.138516,12.3512,1.80654,False,,False,,False,0.00528974
20,315,20,0.0102931,0.0436596,1.1e-05,0.00344193,0,-293.161,0.29353,0.03066,0.0337755,7,-279.1,0.662811,0.969329,0.962783,13,-278.981,0.11875,0.13458,14.0611,1.98078,False,,False,,False,0.00528974
21,345,20,0.00620541,0.0437002,4e-06,0.00207245,0,-298.624,0.184414,0.001156,0.0032173,7,-284.157,0.771886,0.99884,0.99471,13,-283.919,0.23805,0.141803,14.4661,1.99986,False,,False,,True,0.00528974
22,375,20,0.00465944,0.0437132,5e-06,0.00155812,0,-305.425,0.171784,0.000736,0.00228572,8,-289.932,0.784503,0.999259,0.996156,12,-289.618,0.3141,0.170226,15.4927,2.1608,False,,False,,True,0.00528974
23,405,20,0.00890182,0.0439293,1.6e-05,0.00298313,0,-315.113,0.252132,0.01064,0.0135126,12,-298.003,0.703939,0.989344,0.983504,8,-297.746,0.257,0.204135,17.1103,2.35744,False,,False,,False,0.00528974
24,435,20,0.0014677,0.0438678,1e-06,0.000490233,0,-319.918,0.102207,2.4e-05,0.000513199,6,-302.239,0.853926,0.999975,0.998997,14,-301.713,0.52655,0.17663,17.679,2.34246,False,,False,,True,0.00528974
25,465,20,0.0021191,0.0437635,3e-06,0.00070936,0,-314.331,0.116588,6.5e-05,0.000771228,6,-298.446,0.839648,0.999932,0.998519,14,-297.956,0.4904,0.196628,15.8847,1.85013,False,,False,,True,0.00528974
26,495,20,0.0020678,0.0435367,2e-06,0.000691263,0,-302.365,0.113418,3.9e-05,0.000728186,8,-289.101,0.843045,0.999959,0.998581,12,-288.671,0.4293,0.160305,13.2647,1.59004,False,,False,,True,0.00528974
27,525,20,0.00504073,0.0435464,6e-06,0.00168621,0,-296.501,0.17076,0.000642,0.00231901,7,-284.441,0.785693,0.999352,0.995995,13,-284.128,0.313,0.180213,12.0598,1.45305,False,,False,,True,0.00528974
28,555,20,0.00745596,0.043627,8e-06,0.00249326,0,-295.025,0.220983,0.004158,0.00661232,6,-283.776,0.73539,0.995834,0.990894,14,-283.552,0.2242,0.168006,11.2495,1.36898,False,,False,,False,0.00528974
29,585,20,0.013028,0.0438987,3.7e-05,0.00437919,0,-288.101,0.369805,0.138445,0.140984,8,-278.272,0.586297,0.861518,0.854637,12,-278.194,0.07715,0.152175,9.8294,1.30731,False,,False,,False,0.00528974
30,615,20,0.0087315,0.0436887,3e-06,0.00291347,0,-278.821,0.22645,0.004887,0.00775483,9,-269.736,0.729861,0.99511,0.989332,11,-269.588,0.1481,0.109737,9.0843,1.17477,False,,False,,False,0.00528974
31,645,20,0.0159533,0.0447415,3.4e-05,0.00535124,0,-277.678,0.320162,0.055284,0.0597198,9,-268.686,0.635096,0.944682,0.934929,11,-268.56,0.12625,0.156979,8.9921,1.33453,False,,False,,False,0.00528974
32,675,20,0.0138822,0.0446233,9e-06,0.00463627,0,-276.252,0.697161,0.987467,0.978386,12,-267.801,0.258216,0.012524,0.0169775,8,-267.91,-0.10895,0.0964595,8.45105,1.09325,False,,False,,False,0.00528974
33,705,20,0.0121067,0.0442816,1.6e-05,0.00405136,0,-263.475,0.675944,0.977862,0.970059,12,-256.242,0.279775,0.022122,0.0258897,8,-256.411,-0.16935,0.16496,7.23325,0.914498,False,,False,,False,0.00528974
34,735,20,0.0189525,0.0448562,5.7e-05,0.0063734,0,-250.602,0.568181,0.817766,0.808585,12,-244.783,0.386963,0.182177,0.185042,8,-244.826,-0.04225,0.135339,5.81895,0.845557,False,,False,,False,0.00528974
35,765,20,0.0235288,0.047109,2e-05,0.00786245,0,-244.777,0.70804,0.991075,0.975599,14,-239.845,0.244851,0.008905,0.0165384,6,-240.024,-0.1788,0.150804,4.9328,0.828601,False,,False,,False,0.00528974
36,795,20,0.0228876,0.0493816,5e-06,0.00763408,1,-236.492,0.798355,0.999677,0.984426,12,-232.694,0.152263,0.000318,0.00793992,7,-233.015,-0.32095,0.157801,3.79815,0.655631,False,,False,,False,0.00528974
37,825,20,0.0652557,0.0557075,4e-06,0.0217556,2,-229.283,0.780665,0.999438,0.955971,15,-226.221,0.163627,0.000558,0.0222735,3,-226.466,-0.2456,0.126872,3.06245,0.643585,False,,False,,False,0.00528974
38,855,20,0.100417,0.0517771,9.3e-05,0.0335559,1,-227.258,0.424879,0.309925,0.312276,8,-224.735,0.523343,0.689982,0.654168,11,-224.703,0.03255,0.151187,2.52335,0.53501,False,,False,,False,0.00528974
39,885,20,0.115495,0.056161,1e-05,0.0385072,2,-217.206,0.205849,0.0028,0.040975,5,-215.227,0.73799,0.99719,0.920518,13,-215.053,0.1737,0.117073,1.97875,0.462979,False,,False,,False,0.00528974
40,915,20,0.300313,0.0615193,0.000157,0.100214,1,-204.575,0.501735,0.62803,0.539529,9,-203.291,0.436745,0.371813,0.360257,10,-203.312,-0.02045,0.141804,1.2836,0.311848,False,,False,,False,0.00528974
41,945,20,0.612311,0.0813856,0.000433,0.204271,4,-199.276,0.385624,0.224883,0.291288,7,-198.606,0.53299,0.774684,0.50444,9,-198.337,0.2692,0.346145,0.6707,0.242297,False,,False,,False,0.00528974
42,975,20,0.680918,0.101872,0.000264,0.227057,4,-197.019,0.214012,0.006278,0.228976,7,-196.589,0.684117,0.993458,0.543967,9,-196.301,0.2882,0.216663,0.42925,0.300531,False,,False,,False,0.00528974
43,1005,20,0.617148,0.112519,0.000224,0.205802,5,-190.301,0.154952,0.000844,0.206039,5,-190.071,0.732529,0.998932,0.588159,10,-189.541,0.53016,0.349998,0.22912,0.290259,False,,False,,False,0.00528974
44,1035,20,0.839832,0.156225,0.003238,0.280463,7,-182.742,0.217887,0.012795,0.281993,4,-182.66,0.625888,0.983967,0.437544,9,-182.51,0.15032,0.122245,0.082245,0.139216,False,,False,,False,0.00528974
45,1065,20,0.824901,0.150001,0.004167,0.275697,9,-181.93,0.269643,0.046131,0.283044,2,-181.698,0.580356,0.949702,0.441259,9,-181.585,0.11335,0.153495,0.23175,0.122392,False,,False,,False,0.00528974
46,1095,20,0.852004,0.137633,0.005267,0.284781,4,-182.429,0.472764,0.665975,0.382563,7,-182.13,0.389603,0.328758,0.332656,9,-182.16,-0.02915,0.104477,0.29895,0.176839,False,,False,,False,0.00528974
