window,t_ms,n_subjects,bor,freq_model0,xp_model0,pxp_model0,nwin_model0,meanllh_model0,freq_model2B,xp_model2B,pxp_model2B,nwin_model2B,meanllh_model2B,freq_model3,xp_model3,pxp_model3,nwin_model3,meanllh_model3,d_llh_3_minus_2B_mean,d_llh_3_minus_2B_sem,d_llh_2B_minus_0_mean,d_llh_2B_minus_0_sem,simes_sig_model0,simes_sig_matlab_model0,simes_thr_model0,simes_sig_model2B,simes_sig_matlab_model2B,simes_thr_model2B,simes_sig_model3,simes_sig_matlab_model3,simes_thr_model3
0,-285,20,0.700639,0.7428,0.999269,0.532689,11,-115.355,0.144735,0.000547,0.23371,6,-115.577,0.112465,0.000184,0.233601,3,-115.672,-0.094525,0.0928325,-0.221825,0.0901465,False,False,,False,False,,False,False,0.00530158
1,-255,20,0.843254,0.631661,0.988317,0.435999,14,-115.581,0.186149,0.006094,0.28204,4,-115.73,0.18219,0.005589,0.281961,2,-115.732,-0.00168,0.0873734,-0.14916,0.104407,False,False,,False,False,,False,False,0.00530158
2,-225,20,0.614231,0.771617,0.999678,0.590388,14,-114.406,0.0965272,7.3e-05,0.204772,2,-114.793,0.131856,0.000249,0.20484,4,-114.644,0.149055,0.0994812,-0.3865,0.0850098,False,False,,False,False,,False,False,0.00530158
3,-195,20,0.646837,0.774705,0.999744,0.568685,16,-115.438,0.110073,0.000103,0.215649,2,-115.761,0.115222,0.000153,0.215666,2,-115.705,0.056705,0.105102,-0.323505,0.0935287,False,False,,False,False,,False,False,0.00530158
4,-165,20,0.771362,0.708419,0.998183,0.485343,13,-117.71,0.159386,0.001251,0.257407,4,-117.923,0.132195,0.000566,0.25725,3,-117.953,-0.029975,0.108136,-0.2125,0.108474,False,False,,False,False,,False,False,0.00530158
5,-135,20,0.792128,0.647587,0.985111,0.468819,10,-127.542,0.117322,0.000751,0.264199,4,-127.971,0.235091,0.014138,0.266982,6,-127.647,0.324145,0.226503,-0.42925,0.225253,False,False,,False,False,,False,False,0.00530158
6,-105,20,0.325499,0.811714,0.999922,0.782948,16,-132.72,0.0744324,1.2e-05,0.108508,0,-133.343,0.113854,6.6e-05,0.108544,4,-133.03,0.312465,0.117804,-0.62245,0.110967,False,False,,False,False,,False,False,0.00530158
7,-75,20,0.885041,0.442169,0.63566,0.368089,9,-132.45,0.186158,0.023779,0.297747,3,-132.521,0.371673,0.340561,0.334164,8,-132.476,0.0441,0.123011,-0.070655,0.104887,False,False,,False,False,,False,False,0.00530158
8,-45,20,0.877151,0.537582,0.922778,0.405746,10,-138.819,0.252115,0.051988,0.29877,7,-138.897,0.210303,0.025234,0.295484,3,-138.956,-0.058645,0.112325,-0.077905,0.100861,False,False,,False,False,,False,False,0.00530158
9,-15,20,0.740497,0.684394,0.994357,0.504871,14,-149.39,0.205439,0.005268,0.248199,3,-149.541,0.110167,0.000375,0.24693,3,-149.751,-0.20935,0.12603,-0.1517,0.108136,False,False,,False,False,,False,False,0.00530158
10,15,20,0.891136,0.477438,0.815713,0.385847,12,-155.637,0.242512,0.067236,0.304365,5,-155.701,0.28005,0.117051,0.309788,3,-155.713,-0.01175,0.11385,-0.0642,0.100923,False,False,,False,False,,False,False,0.00530158
11,45,20,0.900215,0.316002,0.255818,0.325598,8,-159.669,0.394484,0.558457,0.355797,8,-159.648,0.289515,0.185725,0.318604,4,-159.681,-0.03385,0.11909,0.02135,0.113824,False,False,,False,False,,False,False,0.00530158
12,75,20,0.874887,0.334578,0.1877,0.315113,6,-163.68,0.496647,0.79968,0.391679,10,-163.639,0.168775,0.01262,0.293208,4,-163.792,-0.15265,0.099094,0.04045,0.0914877,False,False,,False,False,,False,False,0.00530158
13,105,20,0.893514,0.231295,0.069799,0.305271,7,-172.902,0.407306,0.561163,0.357594,4,-172.78,0.361399,0.369038,0.337135,9,-172.803,-0.0231,0.120806,0.1218,0.146803,False,False,,False,False,,False,False,0.00530158
14,135,20,0.255323,0.0635505,4.3e-05,0.0851396,3,-202.553,0.686426,0.987956,0.820816,10,-199.769,0.250023,0.012001,0.0940444,7,-199.928,-0.15905,0.158655,2.7838,1.22941,False,False,,False,False,,False,False,0.00530158
15,165,20,0.0863184,0.0514586,8.7e-05,0.0288523,2,-239.291,0.503365,0.615226,0.590893,9,-233.116,0.445176,0.384687,0.380254,9,-233.129,-0.01355,0.13821,6.17555,1.98689,False,False,,False,False,,False,False,0.00530158
