window,t_ms,n_subjects,bor,freq_model0,xp_model0,pxp_model0,nwin_model0,meanllh_model0,freq_model2B,xp_model2B,pxp_model2B,nwin_model2B,meanllh_model2B,freq_model3,xp_model3,pxp_model3,nwin_model3,meanllh_model3,d_llh_3_minus_2B_mean,d_llh_3_minus_2B_sem,d_llh_2B_minus_0_mean,d_llh_2B_minus_0_sem,simes_sig_model0,simes_sig_matlab_model0,simes_thr_model0,simes_sig_model2B,simes_sig_matlab_model2B,simes_thr_model2B,simes_sig_model3,simes_sig_matlab_model3,simes_thr_model3
0,-285,20,0.859694,0.547111,0.900389,0.412895,8,-127.937,0.14988,0.005391,0.287321,6,-128.177,0.303009,0.09422,0.299784,6,-128.021,0.15598,0.213815,-0.23979,0.100067,False,False,,False,False,,False,False,
1,-255,20,0.544233,0.790216,0.999858,0.637113,14,-129.435,0.101667,6.4e-05,0.18144,2,-129.802,0.108118,7.8e-05,0.181446,4,-129.79,0.012165,0.123103,-0.36706,0.096883,False,False,,False,False,,False,False,
2,-225,20,0.567899,0.787874,0.999833,0.621328,17,-127.929,0.102829,7.7e-05,0.189333,0,-128.243,0.109297,9e-05,0.189339,3,-128.277,-0.033615,0.0932457,-0.31423,0.053966,False,False,,False,False,,False,False,
3,-195,20,0.64905,0.761642,0.999559,0.567145,13,-130.148,0.101587,8.7e-05,0.21638,1,-130.496,0.136771,0.000354,0.216474,6,-130.396,0.099815,0.10181,-0.34846,0.0824365,False,False,,False,False,,False,False,
4,-165,20,0.868466,0.575273,0.959065,0.415639,10,-132.449,0.187234,0.010953,0.290929,5,-132.591,0.237493,0.029982,0.293432,5,-132.551,0.03956,0.100521,-0.141385,0.100968,False,False,,False,False,,False,False,
5,-135,20,0.879197,0.468841,0.728188,0.381033,10,-131.572,0.34936,0.251895,0.323495,4,-131.62,0.181799,0.019917,0.295472,6,-131.728,-0.10775,0.152614,-0.04835,0.136583,False,False,,False,False,,False,False,
6,-105,20,0.838403,0.639981,0.988992,0.439286,10,-132.851,0.203748,0.008377,0.280821,6,-132.988,0.156271,0.002631,0.279893,4,-133.05,-0.06145,0.108641,-0.1368,0.094768,False,False,,False,False,,False,False,
7,-75,20,0.867482,0.49108,0.776229,0.392025,10,-138.972,0.344592,0.212353,0.317301,6,-138.984,0.164328,0.011418,0.290674,4,-139.122,-0.13825,0.0909066,-0.01215,0.125754,False,False,,False,False,,False,False,
8,-45,20,0.882754,0.531026,0.916281,0.401682,9,-143.193,0.247238,0.05078,0.300205,5,-143.282,0.221736,0.032939,0.298113,6,-143.312,-0.03015,0.121518,-0.08895,0.10077,False,False,,False,False,,False,False,
9,-15,20,0.853321,0.617989,0.983803,0.428743,11,-151.855,0.18092,0.00629,0.285363,6,-152.059,0.20109,0.009907,0.285894,3,-151.975,0.08375,0.131459,-0.20405,0.13138,False,False,,False,False,,False,False,
10,15,20,0.890654,0.498508,0.862765,0.391224,7,-161.482,0.238084,0.055624,0.302967,7,-161.569,0.263408,0.081611,0.305809,6,-161.56,0.0083,0.105036,-0.0867,0.0846677,False,False,,False,False,,False,False,
11,45,20,0.88786,0.235689,0.055132,0.302136,7,-162.653,0.272969,0.098344,0.306982,7,-162.649,0.491342,0.846524,0.390883,6,-162.542,0.10715,0.145178,0.0039,0.144429,False,False,,False,False,,False,False,
12,75,20,0.872062,0.49122,0.795319,0.392439,12,-168.376,0.331063,0.188547,0.31481,4,-168.381,0.177717,0.016134,0.292752,4,-168.482,-0.1011,0.11621,-0.0049,0.173148,False,False,,False,False,,False,False,
13,105,20,0.809978,0.195438,0.005085,0.270959,11,-179.755,0.668365,0.993802,0.458837,6,-179.518,0.136197,0.001113,0.270204,3,-179.744,-0.2262,0.085083,0.23715,0.160185,False,False,,False,False,,False,False,
14,135,20,0.590145,0.0987295,0.000105,0.196758,6,-207.194,0.73865,0.998951,0.60614,8,-204.682,0.162621,0.000944,0.197102,6,-204.926,-0.2442,0.129652,2.51205,1.49612,False,False,,False,False,,False,False,
15,165,20,0.499395,0.0903229,8.9e-05,0.16651,6,-221.776,0.727433,0.998066,0.666102,8,-218.068,0.182244,0.001845,0.167389,6,-218.32,-0.2527,0.167699,3.70785,2.21829,False,False,,False,False,,False,False,
16,195,20,0.217591,0.0587266,0.000133,0.0726345,3,-227.127,0.463494,0.471721,0.441609,11,-222.695,0.477779,0.528146,0.485756,6,-222.688,0.0071,0.15929,4.4317,2.06715,False,False,,False,False,,False,False,
17,225,20,0.177375,0.0574787,0.000142,0.0592417,3,-239.388,0.506267,0.638401,0.58429,13,-234.258,0.436255,0.361457,0.356469,4,-234.26,-0.00245,0.145867,5.13045,1.49368,False,False,,False,False,,False,False,
18,255,20,0.0794673,0.0515797,8.2e-05,0.0265646,2,-256.871,0.537191,0.736488,0.70445,11,-248.642,0.411229,0.26343,0.268985,7,-248.683,-0.041,0.13846,8.2293,2.26288,False,False,,False,False,,False,False,
19,285,20,0.0362879,0.0485362,2.5e-05,0.0121201,1,-276.075,0.665463,0.973236,0.950015,10,-263.887,0.286001,0.026739,0.0378647,9,-264.028,-0.14075,0.144303,12.1872,2.72376,False,False,,False,False,,False,False,
20,315,20,0.0389077,0.0478832,6.8e-05,0.0130346,2,-289.649,0.520444,0.671166,0.658022,7,-276.172,0.431673,0.328766,0.328944,11,-276.212,-0.03995,0.142223,13.4772,2.47386,False,False,,False,False,,False,False,
21,345,20,0.0254964,0.0469467,1.7e-05,0.00851538,1,-290.445,0.69456,0.987311,0.970637,11,-278.382,0.258494,0.012672,0.0208477,8,-278.581,-0.1995,0.17877,12.0629,2.05165,False,False,,False,False,,False,False,
22,375,20,0.031502,0.0467073,6e-05,0.0105588,0,-280.154,0.559364,0.797082,0.782473,12,-270.439,0.393928,0.202858,0.206968,8,-270.472,-0.0327,0.107277,9.71515,1.69521,False,False,,False,False,,False,False,
23,405,20,0.0161388,0.0460048,6e-06,0.00538551,0,-268.283,0.741007,0.996775,0.986068,14,-260.485,0.212988,0.003219,0.00854666,6,-260.653,-0.16845,0.116981,7.79775,1.30874,False,False,,False,False,,False,False,
24,435,20,0.0340733,0.0472633,6.1e-05,0.0114167,1,-262.481,0.559057,0.796411,0.780632,13,-256.073,0.393679,0.203528,0.207951,6,-256.101,-0.02755,0.140477,6.40775,0.981738,False,False,,False,False,,False,False,
25,465,20,0.00686708,0.0459809,3e-06,0.00229201,1,-260.031,0.827547,0.999915,0.995338,15,-254.421,0.126472,8.2e-05,0.00237046,4,-254.718,-0.29665,0.106587,5.6094,0.839976,False,False,,False,False,,False,False,
26,495,20,0.0128809,0.0470072,6e-06,0.00429954,0,-253.442,0.802478,0.999688,0.991105,13,-248.97,0.150515,0.000306,0.00459568,7,-249.249,-0.2785,0.13032,4.47145,0.663163,False,False,,False,False,,False,False,
