window,t_ms,n_subjects,bor,freq_model0,xp_model0,pxp_model0,nwin_model0,meanllh_model0,freq_model2B,xp_model2B,pxp_model2B,nwin_model2B,meanllh_model2B,freq_model3,xp_model3,pxp_model3,nwin_model3,meanllh_model3,d_llh_3_minus_2B_mean,d_llh_3_minus_2B_sem,d_llh_2B_minus_0_mean,d_llh_2B_minus_0_sem,simes_sig_model0,simes_thr_model0,simes_sig_model2B,simes_thr_model2B,simes_sig_model3,simes_thr_model3
0,-285,20,0.843178,0.637464,0.989592,0.436249,11,-115.234,0.186915,0.005937,0.28199,5,-115.367,0.17562,0.004471,0.28176,4,-115.42,-0.05384,0.094024,-0.132985,0.0754973,False,,False,,False,
1,-255,20,0.782149,0.64387,0.983388,0.474948,14,-117.994,0.116003,0.000712,0.260872,1,-118.231,0.240128,0.0159,0.26418,5,-118.13,0.10101,0.246824,-0.236355,0.0777108,False,,False,,False,
2,-225,20,0.680538,0.749289,0.999257,0.546071,16,-115.786,0.149133,0.000603,0.227039,4,-116.008,0.101578,0.00014,0.226891,0,-116.132,-0.12472,0.116966,-0.22135,0.0957674,False,,False,,False,
3,-195,20,0.759947,0.714696,0.998416,0.492989,10,-115.259,0.127222,0.000425,0.253418,5,-115.545,0.158082,0.001159,0.253594,5,-115.462,0.08353,0.116176,-0.28624,0.106371,False,,False,,False,
4,-165,20,0.868983,0.566768,0.953882,0.414636,10,-117.007,0.19774,0.014853,0.291607,4,-117.184,0.235492,0.031265,0.293757,6,-117.107,0.07755,0.138355,-0.17774,0.139383,False,,False,,False,
5,-135,20,0.750827,0.71724,0.998474,0.499069,13,-121.451,0.161224,0.001164,0.250566,3,-121.666,0.121537,0.000362,0.250366,4,-121.744,-0.07786,0.129759,-0.21473,0.101674,False,,False,,False,
6,-105,20,0.747273,0.709587,0.997729,0.501244,12,-121.211,0.177991,0.002016,0.249601,7,-121.354,0.112423,0.000255,0.249156,1,-121.535,-0.180815,0.0894343,-0.14337,0.0654593,False,,False,,False,
7,-75,20,0.858412,0.531585,0.878341,0.4105,11,-124.429,0.308374,0.113582,0.302219,5,-124.457,0.160041,0.008077,0.287281,4,-124.607,-0.149325,0.0905973,-0.02863,0.118649,False,,False,,False,
8,-45,20,0.838602,0.615327,0.978366,0.43744,12,-129.932,0.23252,0.018513,0.282522,5,-130.046,0.152154,0.003121,0.280038,3,-130.137,-0.09081,0.102261,-0.11331,0.108737,False,,False,,False,
9,-15,20,0.87195,0.56154,0.943453,0.411459,11,-137.033,0.181823,0.011034,0.292063,5,-137.237,0.256638,0.045513,0.296478,4,-137.106,0.130455,0.142741,-0.203405,0.12967,False,,False,,False,
10,15,20,0.891029,0.479098,0.811937,0.385487,9,-144.783,0.293313,0.136822,0.311919,5,-144.849,0.22759,0.051241,0.302594,6,-144.85,-0.001925,0.126747,-0.06565,0.144414,False,,False,,False,
11,45,20,0.893592,0.31266,0.200452,0.319194,9,-147.729,0.238725,0.072144,0.305541,6,-147.743,0.448615,0.727404,0.375266,5,-147.67,0.0735,0.114311,-0.0139,0.105986,False,,False,,False,
12,75,20,0.792434,0.65825,0.989458,0.469523,12,-150.843,0.120416,0.000721,0.264294,4,-151.108,0.221334,0.009821,0.266183,4,-150.997,0.1109,0.117314,-0.26515,0.0904852,False,,False,,False,
13,105,20,0.798375,0.693019,0.997127,0.467171,12,-155.011,0.170498,0.00209,0.266546,5,-155.168,0.136483,0.000783,0.266283,3,-155.261,-0.09265,0.0996035,-0.15685,0.0672231,False,,False,,False,
14,135,20,0.878494,0.437237,0.605543,0.366409,10,-168.881,0.382457,0.37379,0.338249,7,-168.496,0.180307,0.020667,0.295342,3,-168.599,-0.1036,0.135528,0.38585,0.520212,False,,False,,False,
15,165,20,0.869108,0.196082,0.02018,0.292344,8,-189.783,0.526593,0.899208,0.407402,8,-188.267,0.277325,0.080612,0.300254,4,-188.328,-0.0612,0.10124,1.5163,1.28361,False,,False,,False,
16,195,20,0.654209,0.103936,0.000278,0.218166,3,-196.758,0.682901,0.993397,0.561577,10,-194.985,0.213163,0.006325,0.220257,7,-195.212,-0.2261,0.1729,1.7724,1.23268,False,,False,,False,
17,225,20,0.514343,0.081274,0.000239,0.171564,6,-199.391,0.614255,0.944769,0.630281,12,-197.242,0.304471,0.054992,0.198155,2,-197.307,-0.0646,0.113489,2.149,0.813515,False,,False,,False,
18,255,20,0.148832,0.0551315,0.000124,0.0497162,3,-216.614,0.481056,0.534666,0.504701,8,-212.663,0.463812,0.46521,0.445583,9,-212.673,-0.01,0.132421,3.95125,1.07372,False,,False,,False,
19,285,20,0.0550138,0.0503974,2.4e-05,0.0183606,1,-237.822,0.680361,0.982126,0.946433,12,-230.612,0.269241,0.01785,0.0352059,7,-230.738,-0.12675,0.124014,7.2106,1.61263,False,,False,,False,
20,315,20,0.0418505,0.0481517,7.1e-05,0.0140182,2,-251.071,0.524372,0.686014,0.671254,8,-242.038,0.427476,0.313915,0.314728,10,-242.101,-0.06345,0.165659,9.03265,1.68046,False,,False,,False,
21,345,20,0.0373864,0.0475772,5.8e-05,0.012518,1,-254.314,0.554416,0.783235,0.766415,10,-245.875,0.398006,0.216707,0.221067,9,-245.972,-0.0963,0.203029,8.439,1.43404,False,,False,,False,
22,375,20,0.0262795,0.048637,3e-06,0.00876276,1,-248.944,0.782732,0.999339,0.981837,14,-241.675,0.168631,0.000658,0.00940055,5,-241.88,-0.20465,0.102519,7.2683,1.23902,False,,False,,False,
23,405,20,0.032794,0.0489713,9e-06,0.01094,1,-241.302,0.741708,0.996962,0.975199,10,-235.219,0.209321,0.003029,0.013861,9,-235.387,-0.16875,0.113996,6.0837,1.01777,False,,False,,False,
24,435,20,0.0487129,0.0486412,6.5e-05,0.0162995,1,-236.105,0.549968,0.772002,0.750633,10,-231.29,0.401391,0.227933,0.233067,9,-231.32,-0.0297,0.109682,4.8149,0.80704,False,,False,,False,
