window,t_ms,pxp_model2B,pxp_model3,xp_model3,freq_model3,bor
0,-285,0.662998,0.337002,0.00279658,0.219402,0.67217
1,-255,0.607542,0.392458,0.0448454,0.32456,0.763724
2,-225,0.448207,0.551793,0.740268,0.567264,0.784438
3,-195,0.45105,0.54895,0.727427,0.563191,0.784764
4,-165,0.514516,0.485484,0.431846,0.482046,0.787007
5,-135,0.380721,0.619279,0.969522,0.693209,0.745956
6,-105,0.186059,0.813941,0.999959,0.884176,0.372068
7,-75,0.534614,0.465386,0.33859,0.456487,0.78555
8,-45,0.641528,0.358472,0.00785178,0.253363,0.712427
9,-15,0.614904,0.385096,0.0316763,0.308504,0.754649
10,15,0.474384,0.525616,0.61999,0.531936,0.78652
11,45,0.479033,0.520967,0.598287,0.526028,0.786678
12,75,0.628262,0.371738,0.0140299,0.274775,0.736071
13,105,0.569424,0.430576,0.182996,0.405755,0.781
14,135,0.61094,0.38906,0.0524048,0.332147,0.752142
15,165,0.624011,0.375989,0.0332327,0.310652,0.734319
16,195,0.427626,0.572374,0.824546,0.597229,0.776998
17,225,0.713902,0.286098,0.000590586,0.17579,0.57169
18,255,0.499563,0.500437,0.502055,0.500539,0.78724
19,285,0.559898,0.440102,0.226371,0.421643,0.781099
20,315,0.380338,0.619662,0.969427,0.693072,0.74509
21,345,0.318269,0.681731,0.998876,0.807095,0.635718
22,375,0.282406,0.717594,0.999315,0.820357,0.564214
23,405,0.351754,0.648246,0.989534,0.736273,0.69717
24,435,0.137507,0.862493,0.999974,0.893134,0.274977
25,465,0.184458,0.815542,0.999944,0.878035,0.368845
26,495,0.189466,0.810534,0.999953,0.881423,0.378873
27,525,0.298769,0.701231,0.999344,0.82149,0.597009
28,555,0.341909,0.658091,0.995947,0.76893,0.681233
29,585,0.41803,0.58197,0.861267,0.613056,0.773103
30,615,0.355904,0.644096,0.995177,0.763256,0.709
31,645,0.390718,0.609282,0.945363,0.665776,0.754622
32,675,0.627453,0.372547,0.0124926,0.270338,0.738562
33,705,0.627583,0.372417,0.0220272,0.292852,0.733076
34,735,0.570598,0.429402,0.18135,0.405111,0.778446
35,765,0.645293,0.354707,0.00887826,0.257739,0.704162
36,795,0.72908,0.27092,0.000307457,0.159611,0.541558
37,825,0.702055,0.297945,0.00052983,0.173021,0.595461
38,855,0.457354,0.542646,0.697745,0.554113,0.784336
39,885,0.343743,0.656257,0.997223,0.780816,0.685741
40,915,0.519395,0.480605,0.409083,0.475959,0.786678
41,945,0.442018,0.557982,0.765201,0.575477,0.781364
42,975,0.34129,0.65871,0.995712,0.767108,0.679834
43,1005,0.284967,0.715033,0.99949,0.827925,0.569494
44,1035,0.361052,0.638948,0.993966,0.755758,0.71871
45,1065,0.401394,0.598606,0.921471,0.646815,0.766042
46,1095,0.551954,0.448046,0.259639,0.432706,0.783849
47,1125,0.495579,0.504421,0.520776,0.505449,0.787206
48,1155,0.492073,0.507927,0.537243,0.509778,0.787164
49,1185,0.464426,0.535574,0.665311,0.544629,0.784805
50,1215,0.609162,0.390838,0.0461299,0.325916,0.759485
51,1245,0.616378,0.383622,0.0394862,0.318548,0.747287
52,1275,0.448033,0.551967,0.740348,0.56729,0.783786
