window,t_ms,pxp_model2B,pxp_model3,xp_model3,freq_model3,bor
0,-285,0.420348,0.579652,0.852711,0.609146,0.774172
1,-255,0.496081,0.503919,0.518418,0.50483,0.78722
2,-225,0.559741,0.440259,0.224674,0.421056,0.783015
3,-195,0.378714,0.621286,0.979688,0.710501,0.747156
4,-165,0.436928,0.563072,0.78974,0.584033,0.782315
5,-135,0.603242,0.396758,0.0696406,0.346718,0.760104
6,-105,0.593507,0.406493,0.0916008,0.361778,0.77104
7,-75,0.647361,0.352639,0.00317329,0.223315,0.703397
8,-45,0.545492,0.454508,0.289067,0.441906,0.784329
9,-15,0.411401,0.588599,0.890306,0.627682,0.773002
10,15,0.478422,0.521578,0.601164,0.526806,0.7867
11,45,0.396748,0.603252,0.932631,0.655034,0.761339
12,75,0.614385,0.385615,0.0336757,0.311249,0.754709
13,105,0.71045,0.28955,0.000202534,0.149826,0.57893
14,135,0.695304,0.304696,0.000578366,0.175254,0.608939
15,165,0.672336,0.327664,0.00145201,0.200056,0.654325
16,195,0.488579,0.511421,0.553623,0.5141,0.787015
17,225,0.52431,0.47569,0.386243,0.46977,0.786304
18,255,0.54638,0.45362,0.285384,0.44078,0.783895
19,285,0.620875,0.379125,0.0267804,0.301138,0.74457
20,315,0.536433,0.463567,0.330383,0.454134,0.785208
21,345,0.636827,0.363173,0.0119293,0.268597,0.719657
22,375,0.566682,0.433318,0.19542,0.410513,0.781069
23,405,0.654557,0.345443,0.00319184,0.223497,0.6889
24,435,0.56687,0.43313,0.197022,0.411113,0.779292
25,465,0.754653,0.245347,9.30851e-05,0.132667,0.490598
26,495,0.721802,0.278198,0.000290723,0.158275,0.556137
27,525,0.660463,0.339537,0.00208198,0.210503,0.677731
28,555,0.814884,0.185116,3.84502e-05,0.114682,0.370183
29,585,0.531941,0.468059,0.351052,0.460019,0.785559
30,615,0.627893,0.372107,0.0115899,0.267514,0.738144
31,645,0.744639,0.255361,0.000117236,0.137621,0.510607
32,675,0.447173,0.552827,0.742898,0.568111,0.782511
33,705,0.347493,0.652507,0.997785,0.787662,0.69363
34,735,0.415651,0.584349,0.873795,0.619082,0.774344
35,765,0.238075,0.761925,0.999904,0.866713,0.476049
36,795,0.414147,0.585853,0.875668,0.620017,0.771465
37,825,0.377223,0.622777,0.970882,0.69522,0.739261
38,855,0.470945,0.529055,0.636008,0.536361,0.786373
39,885,0.316441,0.683559,0.998797,0.805231,0.631997
40,915,0.54889,0.45111,0.273229,0.437014,0.784406
41,945,0.511409,0.488591,0.446415,0.48591,0.787094
42,975,0.324997,0.675003,0.998902,0.807748,0.649223
43,1005,0.619237,0.380763,0.0280258,0.303109,0.747366
44,1035,0.465272,0.534728,0.661715,0.5436,0.785249
45,1065,0.386423,0.613577,0.968988,0.69244,0.757827
46,1095,0.692882,0.307118,0.000430447,0.167811,0.613903
47,1125,0.619558,0.380442,0.0404083,0.319626,0.73986
48,1155,0.403247,0.596753,0.917026,0.643783,0.767993
49,1185,0.429763,0.570237,0.818987,0.595022,0.779813
50,1215,0.608065,0.391935,0.0484974,0.32834,0.760656
51,1245,0.56507,0.43493,0.204705,0.413952,0.779645
52,1275,0.28707,0.71293,0.999629,0.835816,0.573823
