neural,behaviour,window,t,p,p_fdr,cohen_d,mean_r
published,published,50-100,0.1204,0.90543,0.90543,0.026922,0.014738
published,published,100-150,-0.90008,0.37935,0.5058,-0.20126,-0.12473
published,published,150-200,0.71373,0.48407,0.55322,0.1596,0.077685
published,published,200-250,3.0624,0.00641,0.010256,0.68477,0.28354
published,published,250-300,4.1494,0.00054471,0.0011513,0.92783,0.36236
published,published,300-400,4.3916,0.00031364,0.0011513,0.982,0.40601
published,published,400-500,5.4884,2.7025e-05,0.0002162,1.2272,0.43531
published,published,500-600,4.1252,0.00057565,0.0011513,0.92242,0.4449
published,port,50-100,0.064394,0.94933,0.94933,0.014399,0.0079815
published,port,100-150,-0.93527,0.36139,0.48185,-0.20913,-0.13097
published,port,150-200,0.77692,0.44677,0.5106,0.17372,0.083342
published,port,200-250,2.97,0.0078669,0.012587,0.66411,0.28248
published,port,250-300,3.981,0.00080018,0.0017013,0.89018,0.35414
published,port,300-400,3.9542,0.00085065,0.0017013,0.88419,0.38732
published,port,400-500,5.6591,1.8646e-05,0.00014917,1.2654,0.43901
published,port,500-600,4.1471,0.00054758,0.0017013,0.92732,0.43974
port,published,50-100,-0.48103,0.63599,0.72684,-0.10756,-0.052133
port,published,100-150,-0.92905,0.36452,0.48602,-0.20774,-0.12231
port,published,150-200,-0.10648,0.91632,0.91632,-0.02381,-0.013825
port,published,200-250,1.0693,0.29832,0.47732,0.23911,0.10158
port,published,250-300,3.0509,0.0065759,0.013152,0.6822,0.26482
port,published,300-400,3.7463,0.0013673,0.0049746,0.83771,0.32556
port,published,400-500,4.0324,0.00071148,0.0049746,0.90168,0.36487
port,published,500-600,3.61,0.0018655,0.0049746,0.80722,0.37269
port,port,50-100,-0.52681,0.60443,0.69077,-0.1178,-0.055881
port,port,100-150,-0.91067,0.37388,0.4985,-0.20363,-0.12129
port,port,150-200,-0.11028,0.91334,0.91334,-0.02466,-0.014055
port,port,200-250,1.0764,0.29524,0.47239,0.24068,0.10384
port,port,250-300,2.9147,0.0088865,0.017773,0.65175,0.26035
port,port,300-400,3.3638,0.0032604,0.0086944,0.75218,0.30799
port,port,400-500,4.0951,0.00061654,0.0049323,0.9157,0.36498
port,port,500-600,3.6048,0.0018879,0.0075515,0.80605,0.36945
