session,subject,n_blocks,blocks_in_multiple_test_folds
active,1,20,11
active,2,20,10
active,3,20,17
active,4,21,16
active,5,20,9
active,6,20,9
active,7,20,9
active,8,20,9
active,9,20,13
active,10,20,12
active,11,21,17
active,12,20,9
active,13,20,9
active,14,20,10
active,15,20,11
active,16,20,7
active,17,20,9
active,18,20,8
active,19,20,13
active,20,20,15
passive,1,20,11
passive,2,21,13
passive,3,20,10
passive,4,20,16
passive,5,20,13
passive,6,20,11
passive,7,20,10
passive,8,20,11
passive,9,20,14
passive,10,20,10
passive,11,20,14
passive,12,20,15
passive,13,21,15
passive,14,20,12
passive,15,20,9
passive,16,20,10
passive,17,20,12
passive,18,20,9
passive,19,20,10
passive,20,20,16
