subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,active,0,-285,model0,0,-492.938,-120.649,1,75,681,166,0.49904,-0.00991841,,,,,
1,active,0,-285,model0,1,-492.362,-120.875,1,77,679,168,0.499639,0.0341113,,,,,
1,active,0,-285,model0,2,-512.973,-99.8771,1,64,698,149,0.504571,0.00469323,,,,,
1,active,0,-285,model0,3,-470.56,-142.427,1,90,669,178,0.488921,0.0207702,,,,,
1,active,0,-285,model0,4,-479.486,-133.228,1,79,661,186,0.499838,0.0232799,,,,,
1,active,0,-285,model2B,0,-489.345,-121.027,0,1200,681,166,16.1927,0.0192124,3.59419,0.968756,0.507253,0.0323394,
1,active,0,-285,model2B,1,-489.31,-120.551,1,1136,679,168,11.396,0.352592,1.13143,0.875574,0.468281,0.0866919,
1,active,0,-285,model2B,2,-511.186,-98.5084,0,1200,698,149,-12.645,0.0347123,1.20525,1.34162,0.497511,0.0291027,
1,active,0,-285,model2B,3,-468.216,-141.906,1,743,669,178,-5.91318,0.288824,0.705352,0.794122,0.47121,0.0541737,
1,active,0,-285,model2B,4,-476.544,-133.152,0,1200,661,186,-1127.11,0.00135837,36.6233,2.24038,0.451001,0.0393205,
1,active,0,-285,model3,0,-490.144,-120.979,0,1400,681,166,6.0111,1.19072,-0.0383304,0.804378,-3.42784,1.68879,0.484692
1,active,0,-285,model3,1,-488.635,-122.175,1,1351,679,168,3.4012,-0.981249,0.0414818,-0.208003,0.645234,0.565457,0.494844
1,active,0,-285,model3,2,-512.11,-98.6192,0,1400,698,149,0.564967,-0.143159,-0.0243953,-1.62495,1.72215,5.28792,0.501617
1,active,0,-285,model3,3,-468.871,-142.104,0,1400,669,178,-0.782899,1.24403,-0.00845886,0.0629235,-0.359247,-0.600966,0.486031
1,active,0,-285,model3,4,-476.462,-132.962,1,1139,661,186,2.19889,-0.471258,-0.014294,-0.304334,0.746741,0.716292,0.488665
1,active,1,-255,model0,0,-486.818,-115.728,1,105,681,166,0.49457,0.0236152,,,,,
1,active,1,-255,model0,1,-491.573,-111.157,1,78,679,168,0.49911,0.0330942,,,,,
1,active,1,-255,model0,2,-511.525,-91.8857,1,71,698,149,0.503543,0.00908754,,,,,
1,active,1,-255,model0,3,-449.742,-154.179,1,93,669,178,0.473932,0.0325489,,,,,
1,active,1,-255,model0,4,-468.334,-134.314,1,281,661,186,0.491413,0.0347087,,,,,
1,active,1,-255,model2B,0,-484.968,-115.255,0,1200,681,166,-29.9523,0.0680216,1.3771,1.65551,0.454705,0.0438331,
1,active,1,-255,model2B,1,-489.736,-111.029,0,1200,679,168,-452.82,0.00357742,4.96531,6.45743,0.293213,0.0378164,
1,active,1,-255,model2B,2,-510.246,-90.9546,0,1200,698,149,-52.7537,0.0492149,2.73881,1.46851,0.489605,0.0282232,
1,active,1,-255,model2B,3,-446.635,-155.372,0,1200,669,178,-3.62182,2.39202,28.9495,17.2085,-0.0924777,0.0337591,
1,active,1,-255,model2B,4,-465.161,-134.983,1,1031,661,186,1.89243,2.25133,0.0594247,1.21576,0.447836,0.0584823,
1,active,1,-255,model3,0,-485.343,-115.761,0,1400,681,166,-0.463195,-0.460087,0.0864556,0.344429,-0.847156,0.481796,0.471803
1,active,1,-255,model3,1,-490.352,-111.336,0,1400,679,168,-40.1063,-0.0560825,0.0746179,-0.321729,-0.208101,0.51096,0.475235
1,active,1,-255,model3,2,-511.01,-91.367,0,1400,698,149,-16.7599,0.625304,0.0115249,-1.09798,1.54509,0.0468884,0.502992
1,active,1,-255,model3,3,-449.263,-154.373,0,1400,669,178,-21.9664,0.12575,0.0148246,-0.383365,0.529214,0.0540154,0.473708
1,active,1,-255,model3,4,-467.91,-134.3,0,1400,661,186,-35.3164,0.101844,0.0352687,-0.521096,0.696341,0.0355097,0.490417
1,active,2,-225,model0,0,-531.515,-121.753,1,81,681,166,0.528141,0.0358804,,,,,
1,active,2,-225,model0,1,-532.29,-121.103,1,161,679,168,0.529907,0.041346,,,,,
1,active,2,-225,model0,2,-537.429,-117.187,1,65,698,149,0.522538,0.00450877,,,,,
1,active,2,-225,model0,3,-489.413,-165.336,1,90,669,178,0.502912,0.0455572,,,,,
1,active,2,-225,model0,4,-519.218,-134.409,1,96,661,186,0.530768,0.0479891,,,,,
1,active,2,-225,model2B,0,-531.235,-121.467,1,691,681,166,-55.9476,0.00570812,4.23575,0.796845,0.499345,0.0506232,
1,active,2,-225,model2B,1,-531.675,-121.194,0,1200,679,168,-39.6101,0.0710708,2.29504,1.03609,0.486761,0.0591777,
1,active,2,-225,model2B,2,-536.58,-117.206,0,1200,698,149,7.84899,0.287441,0.342734,0.17532,0.521546,0.0451517,
1,active,2,-225,model2B,3,-487.423,-167.463,0,1200,669,178,15.7207,0.0754343,1.46288,-0.198225,0.511123,0.101416,
1,active,2,-225,model2B,4,-518.592,-134.255,0,1200,661,186,-28.5967,0.0136168,4.04506,0.146074,0.523257,0.0808603,
1,active,2,-225,model3,0,-528.936,-122.219,0,1400,681,166,-0.753677,-0.573225,0.0949096,-1.17374,2.49998,-0.326231,0.496055
