subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,active,0,-285,model0,0,-492.994,-120.658,1,161,681,166,0.499093,-0.00903322,,,,,
1,active,0,-285,model0,1,-492.424,-120.879,1,79,679,168,0.499697,0.0349764,,,,,
1,active,0,-285,model0,2,-513.004,-99.9106,1,69,698,149,0.504623,0.00563229,,,,,
1,active,0,-285,model0,3,-470.631,-142.421,1,93,669,178,0.488976,0.0216212,,,,,
1,active,0,-285,model0,4,-479.533,-133.247,1,74,661,186,0.499885,0.0241106,,,,,
1,active,0,-285,model2B,0,-489.407,-121.015,0,1200,681,166,15.478,0.0161031,4.25765,0.963123,0.505928,0.0334257,
1,active,0,-285,model2B,1,-489.366,-120.575,0,1200,679,168,9.96726,0.380751,0.806318,0.863264,0.467958,0.0883169,
1,active,0,-285,model2B,2,-511.224,-98.5452,0,1200,698,149,-16.9583,0.0250637,1.64649,1.34383,0.496467,0.0298337,
1,active,0,-285,model2B,3,-468.173,-141.9,0,1200,669,178,0.817011,0.54066,0.144342,0.787541,0.468688,0.0534628,
1,active,0,-285,model2B,4,-476.646,-133.157,0,1200,661,186,-656.332,0.00233176,19.69,2.42264,0.445947,0.038381,
1,active,0,-285,model3,0,-489.234,-121.114,1,1354,681,166,0.589608,-0.32181,-0.0454968,-1.16958,1.87866,0.384306,0.484067
1,active,0,-285,model3,1,-488.823,-121.543,1,866,679,168,0.955803,-0.257386,0.0123538,-0.646812,0.998586,0.721227,0.490214
1,active,0,-285,model3,2,-512.251,-98.357,0,1400,698,149,-1.657,1.96127,-0.000766233,-14.1477,14.1691,2.03247,0.503147
1,active,0,-285,model3,3,-469.142,-142.231,0,1400,669,178,0.201396,0.193212,-0.00340615,-0.214298,0.316989,0.628937,0.484577
1,active,0,-285,model3,4,-477.095,-133.889,0,1400,661,186,5.75173,0.783826,-0.0192439,0.334113,2.59334,16.7439,0.486156
1,active,1,-255,model0,0,-486.849,-115.732,1,126,681,166,0.494563,0.0245478,,,,,
1,active,1,-255,model0,1,-491.608,-111.159,1,81,679,168,0.499129,0.0340021,,,,,
1,active,1,-255,model0,2,-511.533,-91.9112,1,72,698,149,0.503567,0.00999963,,,,,
1,active,1,-255,model0,3,-449.789,-154.162,1,98,669,178,0.473994,0.0333705,,,,,
1,active,1,-255,model0,4,-468.36,-134.322,1,303,661,186,0.491476,0.0355048,,,,,
1,active,1,-255,model2B,0,-485.043,-115.367,0,1200,681,166,-1704.32,0.000896692,44.9459,2.3528,0.437074,0.0389737,
1,active,1,-255,model2B,1,-489.756,-110.96,0,1200,679,168,945.074,0.00109658,20.1204,3.60106,0.376118,0.0446711,
1,active,1,-255,model2B,2,-509.658,-91.2828,0,1200,698,149,-7.27207,1.22361,27.887,19.0393,0.317196,0.0106542,
1,active,1,-255,model2B,3,-447.639,-154.387,0,1200,669,178,-16.6521,0.135296,1.42871,0.927691,0.437925,0.0648211,
1,active,1,-255,model2B,4,-465.732,-134.766,0,1200,661,186,-71.358,0.0308612,5.0941,1.18497,0.447702,0.0678427,
1,active,1,-255,model3,0,-485.598,-115.358,0,1400,681,166,2.00943,-0.640318,0.0133472,-0.959974,1.97358,0.174366,0.489162
1,active,1,-255,model3,1,-491.082,-110.902,0,1400,679,168,6.52175,0.0513891,0.0549329,-0.235639,0.680907,0.183478,0.498322
1,active,1,-255,model3,2,-511.328,-91.7593,0,1400,698,149,-63.8506,0.052035,0.0122291,-0.838041,1.02923,0.0230373,0.50328
1,active,1,-255,model3,3,-448.658,-154.357,0,1400,669,178,-29.0631,1.59422,0.0202047,-2.41515,3.34441,0.0315132,0.47312
1,active,1,-255,model3,4,-466.895,-134.747,0,1400,661,186,-28.462,1.81195,0.0342367,-2.84362,3.59593,0.0442133,0.492494
1,active,2,-225,model0,0,-531.537,-121.758,1,84,681,166,0.528153,0.0368035,,,,,
1,active,2,-225,model0,1,-532.296,-121.127,1,88,679,168,0.529945,0.042336,,,,,
1,active,2,-225,model0,2,-537.433,-117.212,1,83,698,149,0.522587,0.00537633,,,,,
1,active,2,-225,model0,3,-489.456,-165.315,1,90,669,178,0.50294,0.0463246,,,,,
1,active,2,-225,model0,4,-519.254,-134.399,1,98,661,186,0.530798,0.0488194,,,,,
1,active,2,-225,model2B,0,-531.259,-121.474,1,594,681,166,-9.40251,0.0148749,1.58449,0.801723,0.498469,0.0514331,
1,active,2,-225,model2B,1,-531.684,-121.216,1,1138,679,168,-39.3483,0.0707207,2.22927,1.03874,0.485687,0.0600472,
1,active,2,-225,model2B,2,-536.547,-117.204,0,1200,698,149,2.87868,0.679685,0.101498,0.304883,0.51964,0.0428894,
1,active,2,-225,model2B,3,-487.508,-167.548,0,1200,669,178,-77.632,0.00907741,10.9813,-0.197527,0.510778,0.101167,
1,active,2,-225,model2B,4,-518.63,-134.25,0,1200,661,186,-152.709,0.00574553,11.0957,0.149853,0.52293,0.0817898,
1,active,2,-225,model3,0,-529.895,-122.58,0,1400,681,166,-1.99296,-0.348244,0.105313,0.488983,-0.969128,0.598309,0.500041
1,active,2,-225,model3,1,-531.952,-120.508,0,1400,679,168,-11.9083,2.32486,0.0401494,-0.735339,1.13351,0.0526595,0.52968
1,active,2,-225,model3,2,-536.222,-117.168,0,1400,698,149,-13.167,0.147846,0.0178009,-1.6582,2.42078,0.0486029,0.520378
1,active,2,-225,model3,3,-488.146,-166.077,0,1400,669,178,-36.7417,0.450878,0.0180189,-1.40905,1.83854,0.0340693,0.501856
1,active,2,-225,model3,4,-518.86,-134.293,0,1400,661,186,-48.605,0.103768,0.0380738,-0.964933,1.26992,0.0268773,0.530481
1,active,3,-195,model0,0,-500.666,-119.339,1,78,681,166,0.504741,0.0225462,,,,,
1,active,3,-195,model0,1,-494.738,-125.477,1,94,679,168,0.501425,0.0404014,,,,,
1,active,3,-195,model0,2,-507.561,-113.901,1,62,698,149,0.500656,-0.00176823,,,,,
1,active,3,-195,model0,3,-476.757,-143.866,1,85,669,178,0.493481,0.0423424,,,,,
1,active,3,-195,model0,4,-497.623,-122.845,1,82,661,186,0.513718,0.037848,,,,,
