subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,passive,0,-285,model0,0,-439.987,-140.325,1,78,722,171,0.445069,0.0080866,,,,,
1,passive,0,-285,model0,1,-464.094,-115.009,1,81,726,167,0.458564,-0.00542203,,,,,
1,passive,0,-285,model0,2,-457.221,-121.773,1,87,707,186,0.461995,0.0106083,,,,,
1,passive,0,-285,model0,3,-479.56,-100.508,1,88,707,186,0.476771,-0.0112443,,,,,
1,passive,0,-285,model0,4,-471.885,-107.456,1,96,710,183,0.470319,0.0138152,,,,,
1,passive,0,-285,model2B,0,-435.937,-142.862,1,985,722,171,0.895708,1.34805,-0.151676,-0.463218,0.445402,-0.0320118,
1,passive,0,-285,model2B,1,-463.089,-113.434,0,1200,726,167,1.56131,2.62217,-0.0473344,-0.662924,0.453404,-0.0233962,
1,passive,0,-285,model2B,2,-457.024,-121.791,0,1200,707,186,160.312,-0.00920606,0.40322,-6.12028,0.532397,0.0100949,
1,passive,0,-285,model2B,3,-479.209,-100.142,0,1200,707,186,7.50729,-0.593335,0.131446,0.673784,0.482046,-0.0232019,
1,passive,0,-285,model2B,4,-471.861,-107.393,0,1200,710,183,5.19106,-0.210591,0.0127158,1.68854,0.448744,0.0112007,
1,passive,0,-285,model3,0,-434.381,-143.817,0,1400,722,171,0.411231,-0.474216,0.0638884,2.1703,-2.57617,2.41525,0.418068
1,passive,0,-285,model3,1,-461.722,-115.853,0,1400,726,167,11.179,0.606252,0.00391185,-1.21632,11.1602,2.50134,0.446865
1,passive,0,-285,model3,2,-455.035,-121.761,0,1400,707,186,98.4147,0.0208876,0.0636098,-0.475059,-0.529362,0.24829,0.43328
1,passive,0,-285,model3,3,-477.008,-100.715,1,1147,707,186,-0.847261,1.28963,0.0202629,3.09423,-3.13843,1.78732,0.475049
1,passive,0,-285,model3,4,-469.895,-107.052,1,1217,710,183,-1.66447,0.510821,0.0400013,2.89504,-2.91887,1.21881,0.46885
1,passive,1,-255,model0,0,-416.129,-194.739,1,89,722,171,0.430578,0.013731,,,,,
1,passive,1,-255,model0,1,-488.215,-113.36,1,81,726,167,0.474007,0.00101312,,,,,
1,passive,1,-255,model0,2,-496.462,-105.812,1,53,707,186,0.488285,0.00250875,,,,,
1,passive,1,-255,model0,3,-486.098,-115.68,1,73,707,186,0.481277,-0.00147547,,,,,
1,passive,1,-255,model0,4,-510.473,-92.8977,1,49,710,183,0.49664,-0.000145897,,,,,
1,passive,1,-255,model2B,0,-415.88,-195.638,0,1200,722,171,-586.878,-0.00741211,-0.315759,169.323,-2.14962,0.0153096,
1,passive,1,-255,model2B,1,-487.205,-112.733,0,1200,726,167,-1.11038,4.01134,-5.50739,-0.300165,0.473889,-0.0095561,
1,passive,1,-255,model2B,2,-493.281,-107.163,1,818,707,186,-3.99509,-0.235188,0.804138,-0.0840513,0.486292,-0.0619397,
1,passive,1,-255,model2B,3,-483.944,-115.514,0,1200,707,186,-1.85079,-0.529222,0.411525,0.170828,0.476799,-0.0389585,
1,passive,1,-255,model2B,4,-510.132,-92.8884,0,1200,710,183,18.8815,-0.104463,0.0988882,1.56422,0.491988,-0.000806035,
1,passive,1,-255,model3,0,-415.009,-194.067,1,1345,722,171,1.78948,0.00322992,0.0697085,0.134479,-0.371399,0.11772,0.425366
1,passive,1,-255,model3,1,-486.704,-113.403,0,1400,726,167,-42.4084,-0.0600759,0.0332015,-0.56024,-1.67156,-0.0865452,0.453767
1,passive,1,-255,model3,2,-493.513,-106.955,0,1400,707,186,-1.36356,0.173937,0.0832192,3.78206,-7.48911,0.0115089,0.482589
1,passive,1,-255,model3,3,-484.779,-115.433,1,1298,707,186,25.2989,0.150604,0.0200793,-0.790707,0.112289,-0.00637829,0.464633
1,passive,1,-255,model3,4,-507.334,-93.5853,0,1400,710,183,-2.42688,0.535316,0.0596354,-0.0921012,0.727696,-0.420274,0.492322
1,passive,2,-225,model0,0,-429.266,-191.688,1,90,722,171,0.438453,0.017133,,,,,
1,passive,2,-225,model0,1,-499.519,-113.378,1,90,726,167,0.481492,0.0159481,,,,,
1,passive,2,-225,model0,2,-494.342,-118.704,1,80,707,186,0.486912,0.0161032,,,,,
1,passive,2,-225,model0,3,-508.284,-105.534,1,66,707,186,0.496546,0.00435153,,,,,
1,passive,2,-225,model0,4,-511.909,-102.292,1,94,710,183,0.497607,-0.00318152,,,,,
1,passive,2,-225,model2B,0,-429.099,-191.368,0,1200,722,171,-162.597,-0.0091564,0.93581,1.73469,0.409091,0.0137542,
1,passive,2,-225,model2B,1,-497.416,-115.796,0,1200,726,167,-31.2548,-0.0064356,0.311651,30.4393,-0.0211388,0.0152547,
1,passive,2,-225,model2B,2,-494.186,-118.413,0,1200,707,186,-7.29501,-0.00850981,0.0509451,38.312,-0.103057,0.0151272,
1,passive,2,-225,model2B,3,-507.688,-105.658,0,1200,707,186,-38.8695,-0.0195933,0.156277,12.7924,0.483207,-0.000571403,
1,passive,2,-225,model2B,4,-511.554,-102.201,0,1200,710,183,53.0677,-0.0241943,0.576623,1.64271,0.505444,-0.0103822,
1,passive,2,-225,model3,0,-428.907,-191.215,0,1400,722,171,-11.1487,0.196942,0.0442378,0.000703206,0.43883,-0.261723,0.438912
1,passive,2,-225,model3,1,-495.641,-113.971,0,1400,726,167,-8.59818,-0.252231,0.0504979,-0.263937,-0.858008,0.0343959,0.450463
1,passive,2,-225,model3,2,-490.685,-119.792,0,1400,707,186,30.2406,0.113524,0.0478248,-0.0353566,-0.864015,-0.101194,0.457083
1,passive,2,-225,model3,3,-507.74,-105.333,0,1400,707,186,-6.15594,0.504307,0.037914,-0.0270217,1.68329,-0.4762,0.496511
1,passive,2,-225,model3,4,-510.986,-101.768,1,1110,710,183,14.374,0.319324,0.014347,-0.0517536,-1.55055,0.0248119,0.484632
1,passive,3,-195,model0,0,-402.891,-162.869,1,76,722,171,0.422794,0.0108423,,,,,
1,passive,3,-195,model0,1,-465.533,-95.7569,1,96,726,167,0.459441,0.0209889,,,,,
1,passive,3,-195,model0,2,-457.898,-103.92,1,97,707,186,0.462386,0.029623,,,,,
1,passive,3,-195,model0,3,-474.544,-88.1747,1,97,707,186,0.473463,0.011445,,,,,
1,passive,3,-195,model0,4,-437.586,-123.861,1,77,710,183,0.448176,0.00533634,,,,,
1,passive,3,-195,model2B,0,-401.486,-165.249,0,1200,722,171,95.7127,-0.0147463,2.28558,1.51189,0.404681,-0.00213744,
1,passive,3,-195,model2B,1,-465.41,-95.831,0,1200,726,167,-12.647,-0.0213022,0.0546548,12.2247,0.203491,0.02023,
1,passive,3,-195,model2B,2,-457.834,-103.929,0,1200,707,186,-14.0966,-0.00440368,0.0951535,24.1716,-0.251704,0.0292855,
1,passive,3,-195,model2B,3,-474.536,-88.1383,0,1200,707,186,-45.4312,-0.0004708,0.0455554,161.874,-1.42293,0.0117017,
1,passive,3,-195,model2B,4,-437.433,-124.446,0,1200,710,183,5.94936,-0.00321214,-0.484999,9.48367,0.398068,0.00625007,
1,passive,3,-195,model3,0,-402.699,-162.918,0,1400,722,171,-190.372,0.0722887,0.0303579,-0.0392673,0.180239,-0.00554538,0.422993
1,passive,3,-195,model3,1,-464.262,-96.3067,0,1400,726,167,-127.49,-0.0211998,0.0524387,-0.578949,-0.38691,-0.0337921,0.438801
1,passive,3,-195,model3,2,-456.809,-104.077,1,1267,707,186,-503.343,-0.0066262,0.0512064,-0.715761,-0.77975,-0.16685,0.444684
1,passive,3,-195,model3,3,-474.437,-87.9778,0,1400,707,186,-8.4867,-0.325603,0.0221232,-0.52072,0.0677806,0.11428,0.468087
1,passive,3,-195,model3,4,-437.484,-124.247,0,1400,710,183,-7.87796,-0.158341,-0.00907633,0.0895178,0.0176971,0.274075,0.447261
1,passive,4,-165,model0,0,-433.138,-156.653,1,80,722,171,0.440909,-0.00406943,,,,,
1,passive,4,-165,model0,1,-488.538,-98.2368,1,74,726,167,0.474213,0.00611891,,,,,
1,passive,4,-165,model0,2,-462.478,-124.272,1,92,707,186,0.465408,0.016049,,,,,
1,passive,4,-165,model0,3,-482.614,-104.654,1,86,707,186,0.478897,0.0146182,,,,,
1,passive,4,-165,model0,4,-475.846,-110.962,1,81,710,183,0.472971,-0.000781051,,,,,
