subject,window,t_ms,model0,model2B,model3
1,0,-285,-123.411,-123.029,-123.368
1,1,-255,-121.453,-121.519,-121.427
1,2,-225,-131.957,-132.317,-132.232
1,3,-195,-125.076,-125.843,-125.2
1,4,-165,-118.443,-118.909,-118.701
1,5,-135,-120.566,-120.69,-121.474
1,6,-105,-125.952,-127.572,-126.679
1,7,-75,-124.85,-124.848,-124.846
1,8,-45,-136.256,-135.87,-137.24
1,9,-15,-145.42,-146.075,-146.022
1,10,15,-143.551,-144.445,-144.417
1,11,45,-165.16,-164.987,-165.545
1,12,75,-179.628,-179.296,-178.993
1,13,105,-167.977,-167.681,-167.997
1,14,135,-180.033,-180.019,-180.246
1,15,165,-209.279,-209.111,-208.858
1,16,195,-209.69,-209.195,-208.166
1,17,225,-191.654,-191.294,-191.658
1,18,255,-192.945,-192.424,-192.451
1,19,285,-220.453,-217.004,-217.398
1,20,315,-237.559,-233.21,-234.068
1,21,345,-244.708,-240.152,-240.626
1,22,375,-272.128,-265.012,-265.142
1,23,405,-297.76,-283.823,-284.028
1,24,435,-308.58,-294.102,-294.435
1,25,465,-289.714,-278.581,-278.213
1,26,495,-265.332,-257.387,-256.608
1,27,525,-265.438,-256.976,-257.225
1,28,555,-281.006,-272.558,-271.549
1,29,585,-274.981,-268.737,-268.048
1,30,615,-261.599,-258.041,-257.911
1,31,645,-269.928,-265.437,-265.713
1,32,675,-281.72,-274.862,-275.147
1,33,705,-262.204,-256.393,-256.716
1,34,735,-226.537,-225.101,-225.337
1,35,765,-214.038,-213.968,-214.026
1,36,795,-214.289,-213.634,-213.56
1,37,825,-225.567,-223.971,-224.772
1,38,855,-206.929,-206.116,-205.607
1,39,885,-178.112,-178.473,-178.289
1,40,915,-173.223,-173.593,-173.209
1,41,945,-199.69,-199.183,-199.548
1,42,975,-199.151,-199.123,-199.168
1,43,1005,-190.818,-190.849,-190.79
1,44,1035,-175.54,-175.668,-175.697
1,45,1065,-172.977,-173.164,-173.523
1,46,1095,-173.139,-172.848,-173.261
1,47,1125,-173.545,-173.473,-173.945
1,48,1155,-162.913,-163.06,-162.716
1,49,1185,-157.664,-157.915,-157.657
1,50,1215,-160.338,-160.274,-160.78
1,51,1245,-167.471,-167.43,-168.793
1,52,1275,-176.963,-176.631,-176.899
2,0,-285,-140.854,-140.678,-141.223
2,1,-255,-151.101,-151.344,-152.234
2,2,-225,-166.878,-167.267,-167.688
2,3,-195,-152.798,-153.439,-153.013
2,4,-165,-142.803,-143.346,-143.149
2,5,-135,-144.861,-144.673,-144.804
2,6,-105,-166.578,-166.984,-166.541
2,7,-75,-178.318,-178.61,-179.993
2,8,-45,-193.478,-194.014,-194.308
2,9,-15,-205.316,-204.583,-204.579
2,10,15,-220.288,-219.985,-218.858
2,11,45,-229.307,-228.767,-228.768
2,12,75,-220.982,-220.255,-220.545
2,13,105,-224.992,-223.925,-224.298
2,14,135,-249.063,-248.561,-249.096
2,15,165,-279.127,-274.8,-274.947
2,16,195,-321.067,-309.843,-309.594
2,17,225,-331.391,-317.156,-316.503
2,18,255,-297.942,-288.053,-287.326
2,19,285,-275.905,-271.571,-271.099
2,20,315,-296.853,-289.791,-289.775
2,21,345,-318.321,-306.252,-306.233
2,22,375,-318.229,-304.801,-304.939
2,23,405,-306.562,-294.212,-294.612
2,24,435,-302.857,-292.712,-292.258
2,25,465,-307.174,-299.429,-299.093
2,26,495,-299.375,-293.239,-292.619
2,27,525,-292.117,-284.76,-285.212
2,28,555,-303.584,-293.726,-294.107
2,29,585,-312.159,-300.835,-300.587
2,30,615,-317.869,-306.174,-306.172
2,31,645,-321.324,-309.427,-309.332
2,32,675,-318.35,-308.383,-308.123
2,33,705,-299.31,-292.909,-293.065
2,34,735,-279.555,-276.388,-276.921
2,35,765,-271.796,-269.223,-269.606
2,36,795,-273.469,-271.104,-270.767
2,37,825,-280.733,-278.462,-278.545
2,38,855,-276.787,-275.254,-275.305
2,39,885,-273.1,-272.471,-272.353
2,40,915,-281.706,-280.684,-280.681
2,41,945,-280.697,-280.308,-279.544
2,42,975,-272.84,-272.298,-271.77
2,43,1005,-262.199,-260.857,-261.072
2,44,1035,-253.103,-252.658,-252.395
2,45,1065,-233.04,-233.25,-234.153
2,46,1095,-239.76,-239.993,-240.933
2,47,1125,-236.072,-236.287,-236.468
2,48,1155,-232.276,-231.401,-231.913
2,49,1185,-226.856,-226.659,-227.202
2,50,1215,-216.591,-216.879,-217.272
2,51,1245,-220.354,-220.458,-221.231
2,52,1275,-232.845,-231.962,-232.02
3,0,-285,-138.436,-138.923,-138.812
3,1,-255,-118.923,-118.938,-119.13
3,2,-225,-130.175,-131.032,-130.638
3,3,-195,-164.456,-165.035,-164.813
3,4,-165,-157.661,-158.129,-158.108
3,5,-135,-135.564,-135.907,-136.131
3,6,-105,-146.463,-147.16,-146.684
3,7,-75,-150.654,-150.925,-150.745
3,8,-45,-161.793,-161.974,-162.033
3,9,-15,-175.508,-175.377,-175.816
3,10,15,-177.5,-177.558,-177.813
3,11,45,-183.541,-183.814,-183.551
3,12,75,-186.113,-186.016,-186.255
3,13,105,-204.809,-204.451,-204.659
3,14,135,-224.459,-224.569,-224.1
3,15,165,-248.293,-246.167,-246.545
3,16,195,-280.963,-273.425,-273.675
3,17,225,-299.078,-286.812,-287.829
3,18,255,-287.613,-277.154,-277.394
3,19,285,-288.495,-278.883,-279.305
3,20,315,-310.143,-298.886,-298.537
3,21,345,-315.774,-304.716,-303.683
3,22,375,-301.361,-292.331,-292.336
