subject,window,t_ms,model0,model2B,model3
1,0,-285,-123.423,-123.038,-123.427
1,1,-255,-121.457,-121.353,-121.425
1,2,-225,-131.962,-132.339,-132.125
1,3,-195,-125.086,-125.721,-125.655
1,4,-165,-118.449,-119.212,-118.681
1,5,-135,-120.574,-121.27,-121.082
1,6,-105,-125.979,-127.316,-126.863
1,7,-75,-124.885,-124.917,-124.707
1,8,-45,-136.278,-136.039,-137.085
1,9,-15,-145.425,-146.524,-145.832
1,10,15,-143.56,-144.418,-144.457
1,11,45,-165.161,-164.679,-165.551
1,12,75,-179.626,-179.126,-179.299
1,13,105,-167.98,-167.584,-167.791
1,14,135,-180.032,-180.05,-181.121
1,15,165,-209.281,-209.168,-208.787
1,16,195,-209.709,-209.254,-208.06
1,17,225,-191.678,-191.435,-192.043
1,18,255,-192.966,-192.433,-192.179
1,19,285,-220.47,-217.774,-217.416
1,20,315,-237.576,-232.989,-233.994
1,21,345,-244.717,-240.229,-240.812
1,22,375,-272.133,-264.716,-265.142
1,23,405,-297.785,-283.878,-284.044
1,24,435,-308.622,-294.097,-294.47
1,25,465,-289.738,-278.522,-278.234
1,26,495,-265.346,-256.9,-256.623
1,27,525,-265.444,-257.125,-257.184
1,28,555,-281.021,-272.666,-271.549
1,29,585,-274.99,-268.847,-268.058
1,30,615,-261.611,-258.017,-257.966
1,31,645,-269.94,-265.373,-265.695
1,32,675,-281.727,-274.802,-275.13
1,33,705,-262.215,-256.449,-256.532
1,34,735,-226.541,-225.397,-225.342
1,35,765,-214.032,-213.863,-213.971
1,36,795,-214.293,-213.735,-213.893
1,37,825,-225.586,-223.991,-224.705
1,38,855,-206.948,-206.163,-205.697
1,39,885,-178.115,-178.403,-177.983
1,40,915,-173.228,-173.527,-173.894
1,41,945,-199.717,-199.335,-199.502
1,42,975,-199.17,-198.832,-199.132
1,43,1005,-190.814,-190.909,-190.976
1,44,1035,-175.529,-175.647,-175.792
1,45,1065,-172.975,-173.438,-173.291
1,46,1095,-173.152,-172.796,-173.265
1,47,1125,-173.55,-173.336,-173.892
1,48,1155,-162.911,-163.145,-162.746
1,49,1185,-157.653,-157.791,-157.544
1,50,1215,-160.343,-160.376,-160.932
1,51,1245,-167.479,-167.429,-168.196
1,52,1275,-176.956,-176.778,-176.874
2,0,-285,-140.882,-140.712,-140.993
2,1,-255,-151.114,-151.222,-151.99
2,2,-225,-166.897,-167.748,-167.744
2,3,-195,-152.812,-153.442,-152.97
2,4,-165,-142.834,-143.389,-142.902
2,5,-135,-144.87,-144.606,-145.148
2,6,-105,-166.584,-167.115,-166.453
2,7,-75,-178.336,-178.85,-179.577
