subject,window,t_ms,model0,model2B,model3
1,0,-285,-117.014,-117.124,-117.84
1,1,-255,-124.498,-124.787,-124.689
1,2,-225,-126.319,-126.687,-126.416
1,3,-195,-114.916,-115.519,-115.105
1,4,-165,-118.955,-119.328,-119.186
1,5,-135,-123.393,-122.825,-123.458
1,6,-105,-141.637,-141.559,-141.712
1,7,-75,-161.027,-161.119,-160.169
1,8,-45,-165.804,-165.76,-165.866
1,9,-15,-162.777,-162.317,-162.689
1,10,15,-153.42,-153.274,-153.403
1,11,45,-147.845,-147.47,-147.555
1,12,75,-159.966,-159.73,-160.241
1,13,105,-176.856,-177.108,-177.047
1,14,135,-175.181,-175.12,-175.506
1,15,165,-165.992,-165.909,-166.194
1,16,195,-172.899,-173.485,-173.141
1,17,225,-193.34,-194.821,-193.491
1,18,255,-196.064,-196.617,-196.203
1,19,285,-185.332,-184.943,-185.756
1,20,315,-173.507,-174.037,-173.708
1,21,345,-201.403,-201.587,-202.036
1,22,375,-219.674,-219.341,-219.446
1,23,405,-214.829,-213.941,-213.947
1,24,435,-228.278,-227.26,-227.577
1,25,465,-236.612,-235.424,-235.042
1,26,495,-230.917,-229.569,-229.621
1,27,525,-223.803,-223.495,-224.454
1,28,555,-216.983,-217.08,-216.888
1,29,585,-203.695,-203.751,-203.669
1,30,615,-195.649,-196.241,-195.696
1,31,645,-212.485,-212.572,-212.825
1,32,675,-212.284,-212.809,-212.377
1,33,705,-196.849,-196.735,-196.976
1,34,735,-195.978,-195.815,-196.225
1,35,765,-208.978,-208.788,-209.471
1,36,795,-214.26,-214.278,-214.331
1,37,825,-211.202,-211.446,-211.14
1,38,855,-194.912,-194.829,-195.097
1,39,885,-205.072,-205.249,-205.221
1,40,915,-200.992,-201.433,-201.402
1,41,945,-173.686,-173.654,-173.882
1,42,975,-165.621,-166.209,-163.244
1,43,1005,-181.311,-181.543,-181.404
1,44,1035,-188.991,-189.215,-189.057
1,45,1065,-181.313,-181.692,-181.713
1,46,1095,-189.385,-189.838,-189.837
1,47,1125,-188.094,-187.944,-188.554
1,48,1155,-185.573,-185.474,-185.273
1,49,1185,-182.087,-182.392,-181.47
1,50,1215,-179.373,-179.274,-179.029
1,51,1245,-160.709,-160.1,-160.367
1,52,1275,-172.589,-172.904,-172.905
2,0,-285,-135.562,-135.942,-136.168
2,1,-255,-140.015,-140.066,-140.627
2,2,-225,-142.892,-142.957,-143.748
