variant,subject,t_ms,model,fold,base_train,base_test,base_converged,base_nfev,base_negative_scale_evals,ext_train,ext_test,ext_converged,ext_nfev,ext_negative_scale_evals,n_test
active,1,255,model2B,0,-753.8869,-205.53253,0,1200,0,-753.88474,-205.50094,1,6518,0,166
active,1,255,model2B,1,-768.27444,-189.94141,0,1200,0,-767.04393,-189.57669,1,2469,0,168
active,1,255,model2B,2,-790.13114,-166.67533,0,1200,0,-790.09391,-166.60198,1,777,0,149
active,1,255,model2B,3,-764.23777,-193.54806,0,1200,0,-762.79387,-194.31865,1,1085,0,178
active,1,255,model2B,4,-750.37861,-206.42454,0,1200,0,-749.94952,-206.63022,0,14000,0,186
active,1,255,model3,0,-753.06697,-205.26769,0,1400,0,-750.01354,-207.24244,1,8934,0,166
active,1,255,model3,1,-765.80291,-188.70341,0,1400,0,-765.77818,-188.85068,1,8893,0,168
active,1,255,model3,2,-790.21627,-166.65269,1,756,0,-789.23349,-165.54932,1,3811,0,149
active,1,255,model3,3,-762.01941,-195.16671,0,1400,0,-762.01719,-195.13436,1,2661,0,178
active,1,255,model3,4,-749.7578,-206.46677,1,1303,0,-748.25359,-206.2711,1,7841,0,186
active,1,285,model2B,0,-867.16897,-216.9635,0,1200,0,-861.44646,-218.54775,1,1948,0,166
active,1,285,model2B,1,-867.85028,-210.36886,0,1200,0,-867.71101,-210.14264,1,398,0,168
active,1,285,model2B,2,-888.18064,-190.22773,0,1200,0,-888.03708,-190.34698,1,433,0,149
active,1,285,model2B,3,-847.19484,-232.69272,0,1200,0,-845.42722,-234.41284,1,422,0,178
active,1,285,model2B,4,-843.33292,-234.76627,0,1200,0,-843.32458,-234.79341,1,617,0,186
active,1,285,model3,0,-862.21327,-217.48584,0,1400,0,-862.21327,-217.48583,1,2773,0,166
active,1,285,model3,1,-867.04059,-210.56814,1,1193,0,-867.03974,-210.56315,1,1357,0,168
active,1,285,model3,2,-887.4384,-190.56087,1,835,0,-887.41115,-190.56173,1,12867,0,149
active,1,285,model3,3,-845.15019,-233.64711,1,945,0,-845.14918,-233.64804,0,14000,0,178
active,1,285,model3,4,-842.91809,-234.72952,1,841,0,-842.9178,-234.72747,1,5722,0,186
active,1,315,model2B,0,-936.27469,-223.05493,0,1200,0,-933.31779,-224.08163,0,14000,0,166
active,1,315,model2B,1,-940.75369,-215.90454,1,896,0,-940.75369,-215.90461,1,182,0,168
active,1,315,model2B,2,-938.91269,-218.37505,1,1167,0,-938.91269,-218.37489,1,167,0,149
active,1,315,model2B,3,-906.39723,-251.97954,1,1108,0,-906.39723,-251.97915,1,182,0,178
active,1,315,model2B,4,-900.29861,-256.73441,0,1200,0,-900.29861,-256.73437,1,191,0,186
active,1,315,model3,0,-933.97974,-225.1332,0,1400,0,-933.97973,-225.1328,1,1711,0,166
active,1,315,model3,1,-940.88738,-216.23166,0,1400,0,-940.60703,-215.58412,0,14000,0,168
active,1,315,model3,2,-938.3159,-218.90855,0,1400,0,-938.1587,-218.82651,0,14000,0,149
active,1,315,model3,3,-906.13843,-252.29484,0,1400,0,-905.91792,-251.95698,0,14000,0,178
active,1,315,model3,4,-900.31849,-257.77153,1,873,0,-900.31156,-257.8385,1,8505,0,186
active,1,435,model2B,0,-1166.4821,-299.04728,0,1200,0,-1166.4029,-299.02141,1,13892,0,166
active,1,435,model2B,1,-1194.2193,-271.07279,0,1200,0,-1194.2192,-271.07387,1,180,0,168
active,1,435,model2B,2,-1201.6659,-262.98365,0,1200,0,-1201.5839,-262.92611,0,14000,0,149
active,1,435,model2B,3,-1144.6472,-319.96547,0,1200,0,-1144.5998,-319.93524,1,13465,0,178
