variant,t_ms,max_abs_base_minus_committed,base_pxp0,base_pxp2B,base_pxp3,base_delta_3_minus_2B,base_delta_sem,base_model3_wins,ext_pxp0,ext_pxp2B,ext_pxp3,ext_delta_3_minus_2B,ext_delta_sem,ext_model3_wins,conv_base_model2B,conv_ext_model2B,neg_scale_evals_base_model2B,neg_scale_evals_ext_model2B,evals_base_model2B,conv_base_model3,conv_ext_model3,neg_scale_evals_base_model3,neg_scale_evals_ext_model3,evals_base_model3
active,255,0.00049506,0.0057541,0.49534,0.49891,-9.4603e-05,0.085708,11,0.0052945,0.9342,0.060505,-0.057652,0.070384,10,0.45833,0.91167,0,0,642905,0.47,0.70333,0,0,663475
active,285,0.00046914,0.0043394,0.76985,0.22581,-0.048267,0.13852,9,0.0044847,0.39612,0.5994,0.013298,0.10686,11,0.45833,0.91167,0,0,642905,0.47,0.70333,0,0,663475
active,315,0.00046343,0.0034485,0.033711,0.96284,0.11893,0.13456,13,0.0028542,0.0066184,0.99053,0.13687,0.09366,13,0.45833,0.91167,0,0,642905,0.47,0.70333,0,0,663475
active,435,0.00048071,0.00048886,0.0005055,0.99901,0.52665,0.17662,14,0.00051869,0.00052202,0.99896,0.51042,0.17088,13,0.45833,0.91167,0,0,642905,0.47,0.70333,0,0,663475
active,465,0.00048652,0.00070922,0.00077575,0.99852,0.49048,0.19661,14,0.00094079,0.0010405,0.99802,0.43585,0.18582,15,0.45833,0.91167,0,0,642905,0.47,0.70333,0,0,663475
active,495,0.00048046,0.00068882,0.00070545,0.99861,0.42939,0.1603,12,0.0015373,0.0018458,0.99662,0.29394,0.15167,10,0.45833,0.91167,0,0,642905,0.47,0.70333,0,0,663475
active_lbfgs,255,0.00048077,0.005444,0.25919,0.73536,0.021115,0.069899,11,0.0052156,0.11615,0.87864,0.040632,0.066699,13,0.45833,0.91333,0,0,646155,0.49,0.70333,0,0,661757
active_lbfgs,285,0.00048966,0.0021837,0.0029321,0.99488,0.19611,0.10122,12,0.004487,0.47931,0.5162,0.00071811,0.12952,11,0.45833,0.91333,0,0,646155,0.49,0.70333,0,0,661757
active_lbfgs,315,0.00048594,0.003128,0.014517,0.98235,0.12348,0.11094,13,0.0032751,0.015494,0.98123,0.10889,0.094685,12,0.45833,0.91333,0,0,646155,0.49,0.70333,0,0,661757
active_lbfgs,435,0.00049822,0.00054964,0.00057959,0.99887,0.49447,0.16969,15,0.00044102,0.00046432,0.99909,0.52663,0.16691,14,0.45833,0.91333,0,0,646155,0.49,0.70333,0,0,661757
active_lbfgs,465,0.00047991,0.0010836,0.0012364,0.99768,0.41754,0.19292,13,0.00071014,0.00077999,0.99851,0.47725,0.18525,16,0.45833,0.91333,0,0,646155,0.49,0.70333,0,0,661757
active_lbfgs,495,0.00048156,0.0015955,0.0019836,0.99642,0.30633,0.16694,11,0.0017664,0.0023301,0.9959,0.27894,0.15758,9,0.45833,0.91333,0,0,646155,0.49,0.70333,0,0,661757
passive,255,0.00049808,0.026561,0.70539,0.26805,-0.041064,0.13848,9,0.013827,0.97008,0.016089,-0.19475,0.1362,6,0.25333,0.825,0,6,682873,0.28167,0.70167,0,0,776168
passive,285,0.00049813,0.01212,0.94954,0.038339,-0.14087,0.14433,10,0.016321,0.91631,0.067368,-0.11494,0.14318,11,0.25333,0.825,0,6,682873,0.28167,0.70167,0,0,776168
passive,315,0.00049631,0.013035,0.66096,0.32601,-0.040096,0.14219,12,0.010976,0.88032,0.10871,-0.090178,0.14427,10,0.25333,0.825,0,6,682873,0.28167,0.70167,0,0,776168
passive,435,0.00049785,0.011408,0.78062,0.20797,-0.027518,0.14049,6,0.011025,0.52922,0.45976,0.029722,0.14936,9,0.25333,0.825,0,6,682873,0.28167,0.70167,0,0,776168
passive,465,0.0004923,0.0022933,0.99531,0.0023959,-0.2966,0.1066,5,0.0035496,0.9927,0.0037541,-0.20911,0.073451,5,0.25333,0.825,0,6,682873,0.28167,0.70167,0,0,776168
passive,495,0.00049948,0.0042912,0.99113,0.0045741,-0.27859,0.1303,7,0.0052236,0.98847,0.0063096,-0.24383,0.1454,7,0.25333,0.825,0,6,682873,0.28167,0.70167,0,0,776168
