t_ms,r_sd_mean,r_sd_sem,t_sd,p_sd,p_sd_fdr,r_mean_mean,r_mean_sem,t_mean,p_mean,p_mean_fdr
-500,-0.1185,0.1389,-0.8531,0.7979,0.9881,0.04118,0.1055,0.3904,0.3503,0.3752
-498,-0.1127,0.1374,-0.8205,0.7889,0.9881,0.04126,0.1047,0.3939,0.349,0.3745
-496,-0.1057,0.1354,-0.7805,0.7776,0.9881,0.04212,0.1038,0.4058,0.3447,0.3702
-494,-0.09696,0.1328,-0.7299,0.7628,0.9881,0.04404,0.1027,0.4288,0.3364,0.3619
-492,-0.08534,0.1295,-0.659,0.7411,0.9881,0.04719,0.1015,0.4652,0.3236,0.3487
-490,-0.06841,0.1252,-0.5462,0.7044,0.9881,0.05154,0.1001,0.515,0.3062,0.3303
-488,-0.04772,0.1201,-0.3972,0.6522,0.9881,0.05686,0.09854,0.577,0.2853,0.3085
-486,-0.0279,0.1139,-0.2449,0.5954,0.9881,0.06297,0.09675,0.6508,0.2615,0.2835
-484,-0.01337,0.109,-0.1226,0.5482,0.9881,0.06985,0.0949,0.736,0.2354,0.2567
-482,-0.007379,0.1055,-0.06991,0.5275,0.9881,0.0769,0.09384,0.8195,0.2113,0.2317
-480,-0.01002,0.102,-0.09823,0.5386,0.9881,0.08203,0.09421,0.8708,0.1974,0.2174
-478,-0.02075,0.09893,-0.2097,0.5819,0.9881,0.08331,0.09538,0.8735,0.1967,0.2168
-476,-0.03618,0.09848,-0.3673,0.6413,0.9881,0.0812,0.09661,0.8405,0.2055,0.226
-474,-0.05184,0.1005,-0.5157,0.694,0.9881,0.07776,0.09794,0.794,0.2185,0.2392
-472,-0.06599,0.1029,-0.6413,0.7355,0.9881,0.07494,0.09964,0.7521,0.2306,0.2517
-470,-0.07937,0.1042,-0.7621,0.7723,0.9881,0.07373,0.1017,0.7248,0.2387,0.2597
-468,-0.09374,0.1045,-0.8972,0.8096,0.9881,0.07431,0.1041,0.7142,0.2419,0.2627
-466,-0.1087,0.1047,-1.038,0.8439,0.9881,0.0765,0.1065,0.7186,0.2406,0.2615
-464,-0.1178,0.1041,-1.132,0.8641,0.9881,0.08002,0.1088,0.7353,0.2356,0.2567
-462,-0.1178,0.1016,-1.159,0.8696,0.9881,0.0846,0.111,0.7619,0.2277,0.2488
