trial,block,snr_level,vowel,questtype,respside,response,cv_fold,role
0,1,5,1,1,1,3,0,gen_cond
1,1,6,2,4,2,0,0,train_cond
2,1,2,1,4,2,0,0,gen_cond
3,1,4,1,4,2,0,0,gen_cond
4,1,5,1,4,2,0,0,gen_cond
5,1,5,2,3,1,1,0,gen_cond
6,1,5,1,3,1,1,0,gen_cond
7,1,3,1,2,2,0,0,gen_cond
8,1,1,1,1,2,4,0,train_cond
9,1,6,2,1,2,2,0,train_cond
10,1,2,2,2,2,0,0,gen_cond
11,1,3,1,3,1,1,0,gen_cond
12,1,5,2,2,2,0,0,gen_cond
13,1,4,2,4,2,0,0,gen_cond
14,1,4,1,1,2,2,0,gen_cond
15,1,2,1,1,2,4,0,gen_cond
16,1,2,2,1,1,3,0,gen_cond
17,1,6,1,4,2,0,0,train_cond
18,1,4,1,3,2,2,0,gen_cond
19,1,5,2,4,2,0,0,gen_cond
20,1,2,2,3,2,2,0,gen_cond
21,1,4,1,2,2,0,0,gen_cond
22,1,2,1,2,2,0,0,gen_cond
23,1,1,2,3,1,1,0,train_cond
24,1,4,2,3,1,1,0,gen_cond
25,1,3,1,4,2,0,0,gen_cond
26,1,3,2,1,2,2,0,gen_cond
27,1,1,1,3,2,2,0,train_cond
28,1,6,2,2,2,0,0,train_cond
29,1,6,1,3,1,1,0,train_cond
30,1,2,2,4,2,0,0,gen_cond
31,1,3,1,1,1,3,0,gen_cond
32,1,5,2,1,2,4,0,gen_cond
33,1,1,2,1,1,3,0,train_cond
34,1,3,2,3,2,2,0,gen_cond
35,1,1,2,2,2,0,0,train_cond
36,2,5,1,4,2,0,0,gen_cond
37,2,4,1,4,2,0,0,gen_cond
38,2,4,2,4,2,0,0,gen_cond
39,2,4,1,3,2,2,0,gen_cond
40,2,1,1,2,2,0,0,train_cond
41,2,5,2,1,1,3,0,gen_cond
42,2,3,2,4,2,0,0,gen_cond
43,2,6,2,1,1,3,0,train_cond
44,2,6,2,2,2,0,0,train_cond
45,2,3,1,3,2,2,0,gen_cond
46,2,3,2,3,2,2,0,gen_cond
47,2,4,1,2,2,0,0,gen_cond
48,2,6,2,4,2,0,0,train_cond
49,2,2,2,1,2,4,0,gen_cond
50,2,6,1,4,2,0,0,train_cond
51,2,2,1,2,2,0,0,gen_cond
52,2,2,2,2,2,0,0,gen_cond
53,2,5,2,3,2,2,0,gen_cond
54,2,2,2,4,2,0,0,gen_cond
55,2,2,1,3,2,2,0,gen_cond
56,2,1,2,4,2,0,0,train_cond
57,2,6,2,3,1,1,0,train_cond
58,2,2,1,1,1,1,0,gen_cond
59,2,1,1,1,2,2,0,train_cond
60,2,1,2,3,2,2,0,train_cond
61,2,1,2,2,2,0,0,train_cond
62,2,1,1,3,2,2,0,train_cond
63,2,4,2,1,2,2,0,gen_cond
64,2,6,1,3,1,3,0,train_cond
65,2,3,1,1,1,1,0,gen_cond
66,2,1,1,4,2,0,0,train_cond
67,2,3,2,1,2,4,0,gen_cond
68,2,3,1,2,2,0,0,gen_cond
69,2,4,2,2,2,0,0,gen_cond
70,2,4,1,1,2,2,0,gen_cond
71,2,1,2,1,1,3,0,train_cond
72,2,6,1,1,1,3,0,train_cond
73,2,2,1,4,2,0,0,gen_cond
74,2,3,2,2,2,0,0,gen_cond
75,2,6,1,2,2,0,0,train_cond
76,2,5,2,2,2,0,0,gen_cond
77,2,2,2,3,1,1,0,gen_cond
78,2,4,2,3,1,1,0,gen_cond
79,2,5,1,1,1,1,0,gen_cond
80,2,3,1,4,2,0,0,gen_cond
81,3,5,1,3,1,1,0,gen_cond
82,3,5,2,2,2,0,0,gen_cond
83,3,5,1,1,1,3,0,gen_cond
84,3,4,1,1,1,1,0,gen_cond
85,3,4,1,2,2,0,0,gen_cond
86,3,3,2,1,2,2,1,gen_cond
87,3,1,1,4,2,0,0,train_cond
88,3,6,1,4,2,0,0,train_cond
89,3,6,2,2,2,0,0,train_cond
90,3,5,1,2,2,0,1,gen_cond
91,3,6,2,3,1,1,1,train_cond
92,3,5,2,3,1,1,1,gen_cond
93,3,3,2,2,2,0,1,gen_cond
94,3,2,1,3,1,1,1,gen_cond
95,3,5,2,4,2,0,1,gen_cond
96,3,3,1,4,2,0,1,gen_cond
97,3,1,2,2,2,0,0,train_cond
98,3,3,1,3,2,2,1,gen_cond
99,3,4,1,4,2,0,1,gen_cond
100,3,6,1,3,1,1,1,train_cond
101,3,2,1,4,2,0,1,gen_cond
102,3,4,2,3,2,2,1,gen_cond
103,3,1,1,3,2,2,1,train_cond
104,3,1,1,2,2,0,1,train_cond
105,3,3,1,2,2,0,1,gen_cond
