trial,block,snr_level,vowel,questtype,respside,response,cv_fold,role
0,1,4,2,4,2,0,0,gen_cond
1,1,6,1,1,1,3,0,train_cond
2,1,3,2,2,2,0,0,gen_cond
3,1,2,2,2,2,0,0,gen_cond
4,1,4,2,3,2,2,0,gen_cond
5,1,5,1,2,2,0,0,gen_cond
6,1,6,1,4,2,0,0,train_cond
7,1,5,1,3,2,2,0,gen_cond
8,1,7,1,2,2,0,-1,excluded
9,1,5,2,4,2,0,0,gen_cond
10,1,7,1,1,2,2,-1,excluded
11,1,5,2,3,2,2,0,gen_cond
12,1,4,2,1,1,3,0,gen_cond
13,1,7,1,4,2,0,-1,excluded
14,1,5,1,1,1,3,0,gen_cond
15,1,3,2,4,2,0,0,gen_cond
16,1,6,2,4,2,0,0,train_cond
17,1,6,1,3,1,1,0,train_cond
18,1,1,1,4,2,0,0,train_cond
19,1,2,1,4,2,0,0,gen_cond
20,1,4,1,4,2,0,0,gen_cond
21,1,3,2,3,2,2,0,gen_cond
22,1,3,1,3,2,2,0,gen_cond
23,1,2,1,2,2,0,0,gen_cond
24,1,1,1,1,2,2,0,train_cond
25,1,1,2,2,2,0,0,train_cond
26,1,1,1,3,2,2,0,train_cond
27,1,4,2,2,2,0,0,gen_cond
28,1,1,2,4,2,0,0,train_cond
29,1,4,1,1,2,4,0,gen_cond
30,1,2,1,1,2,4,0,gen_cond
31,1,3,1,4,2,0,0,gen_cond
32,1,2,1,3,1,3,0,gen_cond
33,1,2,2,4,2,0,0,gen_cond
34,1,7,2,2,2,0,-1,excluded
35,1,3,1,2,2,0,0,gen_cond
36,1,1,1,2,2,0,0,train_cond
37,1,2,2,3,1,3,0,gen_cond
38,1,7,1,3,1,1,-1,excluded
39,1,3,2,1,1,3,0,gen_cond
40,1,6,1,2,2,0,0,train_cond
41,1,5,2,2,2,0,0,gen_cond
42,1,4,1,3,2,2,0,gen_cond
43,1,6,2,3,2,2,0,train_cond
44,1,3,1,1,2,4,0,gen_cond
45,1,5,2,1,2,4,0,gen_cond
46,1,1,2,1,1,1,0,train_cond
47,1,1,2,3,1,3,0,train_cond
48,1,7,2,1,2,2,-1,excluded
49,1,5,1,4,2,0,0,gen_cond
50,2,4,1,4,2,0,0,gen_cond
51,2,5,2,3,1,3,0,gen_cond
52,2,7,1,1,2,4,-1,excluded
53,2,6,1,2,2,0,0,train_cond
54,2,6,1,1,1,1,0,train_cond
55,2,6,2,1,1,1,0,train_cond
56,2,5,1,2,2,0,0,gen_cond
57,2,4,1,3,2,2,0,gen_cond
58,2,4,2,2,2,0,0,gen_cond
59,2,6,1,4,2,0,0,train_cond
60,2,5,2,1,2,2,0,gen_cond
61,2,6,2,3,2,2,0,train_cond
62,2,5,1,3,2,2,0,gen_cond
63,2,5,2,4,2,0,0,gen_cond
64,2,4,2,4,2,0,0,gen_cond
65,2,3,2,3,2,2,0,gen_cond
66,2,1,1,4,2,0,0,train_cond
67,2,1,2,2,2,0,0,train_cond
68,2,1,2,3,1,1,0,train_cond
69,2,2,1,4,2,0,0,gen_cond
70,2,7,2,1,1,1,-1,excluded
71,2,5,1,4,2,0,0,gen_cond
72,2,7,1,4,2,0,-1,excluded
73,2,3,2,4,2,0,0,gen_cond
74,2,7,1,3,2,2,-1,excluded
75,2,1,1,2,2,0,0,train_cond
76,2,1,2,1,2,4,0,train_cond
77,2,1,1,3,2,2,0,train_cond
78,2,3,1,3,2,2,0,gen_cond
79,2,4,2,1,1,3,0,gen_cond
80,2,6,2,2,2,0,0,train_cond
81,2,7,1,2,2,0,-1,excluded
82,2,3,2,1,1,3,0,gen_cond
83,2,2,2,1,2,2,0,gen_cond
84,2,4,2,3,1,3,0,gen_cond
85,2,2,2,2,2,0,0,gen_cond
86,2,2,1,1,2,2,0,gen_cond
87,2,1,1,1,1,3,0,train_cond
88,2,3,1,1,1,1,0,gen_cond
89,2,2,1,3,2,2,0,gen_cond
90,2,2,2,4,2,0,0,gen_cond
91,2,7,2,3,1,1,-1,excluded
92,2,5,2,2,2,0,0,gen_cond
93,2,3,1,4,2,0,0,gen_cond
94,2,4,1,1,2,2,0,gen_cond
95,2,1,2,4,2,0,1,train_cond
96,2,2,2,3,2,2,0,gen_cond
97,2,6,1,3,1,1,0,train_cond
98,2,2,1,2,2,0,0,gen_cond
99,2,3,1,2,2,0,0,gen_cond
100,2,6,2,4,2,0,0,train_cond
101,2,7,2,2,2,0,-1,excluded
102,2,7,2,4,2,0,-1,excluded
103,2,3,2,2,2,0,0,gen_cond
104,2,4,1,2,2,0,1,gen_cond
105,2,5,1,1,1,1,1,gen_cond
106,3,1,1,3,2,2,1,train_cond
107,3,2,1,2,2,0,1,gen_cond
108,3,4,2,2,2,0,1,gen_cond
109,3,5,1,4,2,0,1,gen_cond
110,3,7,2,2,2,0,-1,excluded
111,3,5,2,3,2,2,1,gen_cond
112,3,3,2,3,2,2,1,gen_cond
113,3,4,2,1,2,4,1,gen_cond
114,3,4,2,3,2,2,1,gen_cond
115,3,7,1,2,2,0,-1,excluded
116,3,5,1,3,1,1,1,gen_cond
117,3,6,1,3,1,1,0,train_cond
118,3,7,2,4,2,0,-1,excluded
119,3,6,2,3,2,2,1,train_cond
120,3,4,1,4,2,0,1,gen_cond
121,3,5,2,1,2,2,1,gen_cond
122,3,7,1,3,2,2,-1,excluded
123,3,1,2,4,2,0,1,train_cond
124,3,2,1,4,2,0,1,gen_cond
125,3,6,1,1,2,4,1,train_cond
126,3,1,2,2,2,0,1,train_cond
127,3,7,1,4,2,0,-1,excluded
128,3,5,1,2,2,0,1,gen_cond
129,3,7,2,3,2,2,-1,excluded
130,3,1,1,2,2,0,1,train_cond
131,3,1,2,3,2,2,1,train_cond
132,3,3,1,2,2,0,1,gen_cond
133,3,2,1,1,1,3,1,gen_cond
134,3,3,2,1,2,2,1,gen_cond
135,3,3,2,2,2,0,1,gen_cond
136,3,7,1,1,1,3,-1,excluded
137,3,3,1,3,2,2,1,gen_cond
138,3,3,2,4,2,0,1,gen_cond
139,3,6,2,4,2,0,1,train_cond
140,3,1,1,1,1,3,1,train_cond
141,3,4,1,2,2,0,1,gen_cond
142,3,4,1,3,2,2,1,gen_cond
143,3,2,1,3,2,2,1,gen_cond
