trial,block,snr_level,vowel,eval,respside,audibility,cv_fold,role
0,1,6,1,1,2,8,0,train_cond
1,1,2,1,0,1,0,0,gen_cond
2,1,4,2,1,1,2,0,gen_cond
3,1,3,2,1,1,2,0,gen_cond
4,1,2,1,0,1,5,0,gen_cond
5,1,1,2,1,1,3,0,train_cond
6,1,3,1,0,1,1,0,gen_cond
7,1,5,1,1,2,4,0,gen_cond
8,1,4,2,1,1,4,0,gen_cond
9,1,1,1,0,1,3,0,train_cond
10,1,6,2,1,1,8,0,train_cond
11,1,6,2,1,1,9,0,train_cond
12,1,6,1,1,2,10,0,train_cond
13,1,6,2,1,1,8,0,train_cond
14,1,4,1,1,2,7,0,gen_cond
15,1,5,2,1,1,7,0,gen_cond
16,1,1,1,0,1,5,0,train_cond
17,1,5,2,1,1,3,0,gen_cond
18,1,3,2,0,2,1,0,gen_cond
19,1,1,1,0,1,1,0,train_cond
20,1,2,2,1,1,2,0,gen_cond
21,1,3,1,0,1,0,0,gen_cond
22,1,4,1,1,2,4,0,gen_cond
23,1,3,1,0,1,0,0,gen_cond
24,1,4,1,1,2,4,0,gen_cond
25,1,3,2,1,1,1,0,gen_cond
26,1,6,1,1,2,7,0,train_cond
27,1,4,2,1,1,6,0,gen_cond
28,1,3,2,1,1,3,0,gen_cond
29,1,5,2,1,1,5,0,gen_cond
30,1,4,2,1,1,5,0,gen_cond
31,1,2,2,1,1,3,0,gen_cond
32,1,4,1,0,1,2,0,gen_cond
33,1,1,2,0,2,0,0,train_cond
34,1,1,2,1,1,1,0,train_cond
35,1,1,1,0,1,1,0,train_cond
36,1,2,1,0,1,1,0,gen_cond
37,2,5,2,1,1,5,0,gen_cond
38,2,6,2,1,1,4,0,train_cond
39,2,2,1,0,1,1,0,gen_cond
40,2,3,1,0,1,1,0,gen_cond
41,2,3,1,1,2,7,0,gen_cond
42,2,4,2,1,1,6,0,gen_cond
43,2,1,1,0,1,2,0,train_cond
44,2,6,1,1,2,8,0,train_cond
45,2,3,2,0,2,0,0,gen_cond
46,2,1,1,0,1,1,0,train_cond
47,2,5,1,1,2,7,0,gen_cond
48,2,2,2,1,1,2,0,gen_cond
49,2,4,2,1,1,5,0,gen_cond
50,2,4,1,1,2,3,0,gen_cond
51,2,2,2,1,1,2,0,gen_cond
52,2,3,1,1,2,6,0,gen_cond
53,2,6,1,1,2,8,0,train_cond
54,2,3,1,1,2,7,0,gen_cond
55,2,6,1,1,2,8,0,train_cond
56,2,4,1,0,1,2,0,gen_cond
57,2,2,2,1,1,0,0,gen_cond
58,2,4,2,1,1,5,0,gen_cond
59,2,1,1,0,1,0,0,train_cond
60,2,1,2,0,2,0,0,train_cond
61,2,3,2,1,1,4,0,gen_cond
62,2,4,1,0,1,4,0,gen_cond
63,2,1,2,0,2,1,0,train_cond
64,2,2,2,0,2,1,0,gen_cond
65,2,6,2,1,1,6,0,train_cond
66,3,5,2,1,2,7,0,gen_cond
67,3,6,1,1,1,9,0,train_cond
68,3,5,1,1,1,6,0,gen_cond
69,3,5,2,1,2,8,0,gen_cond
70,3,3,2,1,2,5,0,gen_cond
71,3,3,1,0,2,6,0,gen_cond
72,3,5,1,1,1,8,0,gen_cond
73,3,6,2,1,2,10,0,train_cond
74,3,4,2,1,2,1,0,gen_cond
75,3,4,1,1,1,5,0,gen_cond
76,3,5,1,1,1,5,0,gen_cond
77,3,5,2,1,2,8,0,gen_cond
78,3,2,2,1,2,2,0,gen_cond
79,3,2,2,1,2,5,0,gen_cond
80,3,6,2,1,2,8,0,train_cond
81,3,4,1,1,1,7,0,gen_cond
82,3,1,2,1,2,1,0,train_cond
83,3,3,1,0,2,6,0,gen_cond
84,3,1,1,1,1,1,0,train_cond
85,3,3,2,0,1,1,0,gen_cond
86,3,4,1,1,1,8,1,gen_cond
87,3,1,1,0,2,5,0,train_cond
88,3,2,2,0,1,0,1,gen_cond
89,3,2,2,1,2,0,1,gen_cond
90,3,2,1,1,1,0,1,gen_cond
91,3,4,1,0,2,4,1,gen_cond
92,3,6,2,1,2,7,0,train_cond
93,3,1,2,0,1,0,1,train_cond
94,3,6,1,1,1,9,1,train_cond
95,3,2,1,0,2,0,1,gen_cond
96,3,5,1,1,1,8,1,gen_cond
97,3,3,1,0,2,0,1,gen_cond
98,3,4,2,1,2,7,1,gen_cond
99,3,2,1,0,2,1,1,gen_cond
100,3,1,1,1,1,0,1,train_cond
101,3,5,2,1,2,7,1,gen_cond
102,3,4,2,1,2,6,1,gen_cond
103,3,6,1,1,1,9,1,train_cond
104,3,6,2,1,2,8,1,train_cond
105,4,4,2,1,2,3,1,gen_cond
106,4,6,2,1,2,6,1,train_cond
107,4,6,2,1,2,6,1,train_cond
108,4,2,2,1,2,5,1,gen_cond
109,4,3,2,0,1,0,1,gen_cond
110,4,4,1,1,1,6,1,gen_cond
111,4,4,1,1,1,5,1,gen_cond
112,4,6,1,1,1,9,1,train_cond
113,4,3,1,0,2,0,1,gen_cond
114,4,3,2,1,2,5,1,gen_cond
115,4,1,2,0,1,1,1,train_cond
116,4,3,1,0,2,0,1,gen_cond
117,4,6,2,1,2,8,1,train_cond
118,4,5,1,1,1,6,1,gen_cond
119,4,1,2,0,1,0,1,train_cond
120,4,5,1,1,1,6,1,gen_cond
121,4,2,1,0,2,4,1,gen_cond
122,4,5,2,1,2,7,1,gen_cond
123,4,4,2,1,2,5,1,gen_cond
124,4,1,1,1,1,1,1,train_cond
125,4,5,1,1,1,8,1,gen_cond
126,4,6,1,1,1,9,1,train_cond
127,4,1,2,1,2,0,1,train_cond
128,4,2,1,1,1,1,1,gen_cond
129,4,4,2,1,2,6,1,gen_cond
130,4,2,1,1,1,1,1,gen_cond
131,4,5,2,1,2,6,1,gen_cond
132,4,5,2,1,2,5,1,gen_cond
133,4,3,1,1,1,1,1,gen_cond
134,4,3,2,1,2,1,1,gen_cond
135,4,6,2,1,2,6,1,train_cond
136,4,2,1,0,2,2,1,gen_cond
137,4,6,1,1,1,8,1,train_cond
138,4,2,2,0,1,0,1,gen_cond
139,4,1,1,0,2,1,1,train_cond
140,4,6,1,1,1,6,1,train_cond
141,4,1,2,1,2,1,1,train_cond
142,4,5,2,1,2,5,1,gen_cond
143,4,4,1,1,1,5,1,gen_cond
144,4,1,1,0,2,0,1,train_cond
145,4,2,2,0,1,0,1,gen_cond
146,4,2,2,1,2,0,1,gen_cond
147,5,5,1,1,2,8,1,gen_cond
148,5,3,2,1,1,6,1,gen_cond
149,5,5,2,1,1,5,1,gen_cond
150,5,3,1,1,2,5,1,gen_cond
151,5,3,2,1,1,5,1,gen_cond
152,5,6,2,1,1,8,1,train_cond
153,5,1,2,0,2,0,1,train_cond
154,5,3,2,1,1,0,1,gen_cond
155,5,5,1,1,2,7,1,gen_cond
156,5,6,1,1,2,8,1,train_cond
157,5,3,1,0,1,2,1,gen_cond
158,5,6,2,1,1,8,1,train_cond
159,5,4,1,1,2,6,1,gen_cond
160,5,4,1,1,2,7,1,gen_cond
161,5,5,1,1,2,5,1,gen_cond
162,5,6,2,1,1,8,1,train_cond
163,5,5,1,1,2,6,1,gen_cond
164,5,2,2,1,1,2,1,gen_cond
165,5,4,2,1,1,7,1,gen_cond
166,5,3,1,1,2,7,1,gen_cond
167,5,2,1,0,1,0,1,gen_cond
168,5,4,1,1,2,8,1,gen_cond
169,5,6,1,1,2,9,2,train_cond
170,5,6,1,1,2,9,2,train_cond
171,5,1,1,0,1,0,1,train_cond
172,5,1,2,0,2,0,1,train_cond
173,5,6,2,1,1,7,2,train_cond
174,5,5,2,1,1,6,1,gen_cond
175,5,1,1,0,1,3,1,train_cond
176,5,4,2,0,2,0,1,gen_cond
177,5,2,2,1,1,0,2,gen_cond
178,5,3,2,1,1,6,2,gen_cond
179,5,1,1,1,2,1,1,train_cond
180,5,1,2,1,1,1,1,train_cond
181,5,2,2,1,1,4,2,gen_cond
182,5,2,1,1,2,1,2,gen_cond
183,5,2,2,1,1,4,2,gen_cond
184,5,4,1,1,2,1,2,gen_cond
185,5,5,2,1,1,6,2,gen_cond
186,5,2,1,1,2,5,2,gen_cond
187,5,4,2,1,1,5,2,gen_cond
188,5,2,1,0,1,0,2,gen_cond
189,5,5,2,1,1,6,2,gen_cond
190,5,1,1,1,2,1,2,train_cond
191,5,3,1,0,1,5,2,gen_cond
192,5,1,2,1,1,1,2,train_cond
193,6,5,2,1,2,6,2,gen_cond
194,6,1,2,0,1,0,2,train_cond
195,6,4,2,1,2,6,2,gen_cond
196,6,3,2,1,2,5,2,gen_cond
197,6,5,2,1,2,8,2,gen_cond
198,6,3,1,1,1,1,2,gen_cond
199,6,1,1,0,2,0,2,train_cond
200,6,5,2,1,2,7,2,gen_cond
201,6,5,1,1,1,10,2,gen_cond
202,6,1,2,0,1,0,2,train_cond
203,6,5,2,1,2,6,2,gen_cond
