cell             entries | graded<null-1 | twostate<null-1 | graded<null-0.1 | twostate<null-0.1 | mean Delta all | mean Delta w/o catastrophes
G1 weak   d0   1020  | 0.104 | 0.000 | 0.229 | 0.029 | +0.8562 | +0.0491
G1 weak   d1   1020  | 0.090 | 0.000 | 0.239 | 0.024 | +0.9726 | +0.0495
G1 strong d0   1020  | 0.082 | 0.000 | 0.170 | 0.018 | +1.1067 | +0.0343
G1 strong d1   1020  | 0.058 | 0.000 | 0.144 | 0.021 | +1.1239 | +0.0304
G2 weak   d0   1020  | 0.112 | 0.002 | 0.240 | 0.032 | +1.1394 | +0.0442
G2 weak   d1   1020  | 0.094 | 0.000 | 0.221 | 0.027 | +0.9294 | +0.0475
G2 strong d0   1020  | 0.041 | 0.001 | 0.111 | 0.026 | +0.3465 | +0.0187
G2 strong d1   1020  | 0.033 | 0.000 | 0.126 | 0.017 | +0.2735 | +0.0378
G3 weak   d0   1020  | 0.110 | 0.000 | 0.286 | 0.043 | +1.1585 | +0.0483
G3 weak   d1   1020  | 0.098 | 0.000 | 0.229 | 0.043 | +1.1698 | +0.0413
G3 strong d0   1020  | 0.079 | 0.000 | 0.195 | 0.044 | +1.0050 | +0.0380
G3 strong d1   1020  | 0.074 | 0.000 | 0.169 | 0.046 | +1.0709 | +0.0321
X1 weak   d0   1020  | 0.107 | 0.001 | 0.243 | 0.057 | +1.1904 | +0.0451
X1 weak   d1   1020  | 0.089 | 0.000 | 0.234 | 0.027 | +0.7429 | +0.0473
X1 strong d0   1020  | 0.050 | 0.000 | 0.158 | 0.026 | +0.3590 | +0.0408
X1 strong d1   1020  | 0.110 | 0.000 | 0.204 | 0.043 | +0.9511 | +0.0369
X2 weak   d0   1020  | 0.115 | 0.000 | 0.268 | 0.052 | +1.6085 | +0.0437
X2 weak   d1   1020  | 0.121 | 0.001 | 0.271 | 0.053 | +1.2570 | +0.0437
X2 strong d0   1020  | 0.140 | 0.001 | 0.305 | 0.049 | +2.5316 | +0.0588
X2 strong d1   1020  | 0.154 | 0.002 | 0.337 | 0.062 | +2.0088 | +0.0709
all cells: 20400 recording-window entries; graded more than 1 nat/trial below null in 1898 (9.304%), two-state in 8 (0.039%)
