window row keys: ['bor', 'cohort', 'eligible', 'exp_r', 'n', 'position', 'pxp', 'window']
G1 weak d0 r0      inconclusive/mixed  pxp med n/g/t [0.738, 0.037, 0.167] max [1.0, 0.168, 0.299] argmax [10, 0, 0] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +0.65797 [+0.21452, +1.20444]
G1 weak d0 r1      inconclusive/mixed  pxp med n/g/t [0.747, 0.039, 0.188] max [1.0, 0.289, 0.791] argmax [9, 0, 1] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +0.91718 [+0.08372, +1.78909]
G1 weak d0 r2      inconclusive/mixed  pxp med n/g/t [0.904, 0.005, 0.09] max [1.0, 0.16, 0.765] argmax [7, 0, 3] run095 {'null': 3, 'graded': 0, 'twostate': 0} Delta mean +0.99335 [+0.29027, +2.63464]
G1 weak d1 r0      inconclusive/mixed  pxp med n/g/t [0.662, 0.071, 0.24] max [1.0, 0.267, 0.695] argmax [7, 0, 3] run095 {'null': 2, 'graded': 0, 'twostate': 0} Delta mean +1.19956 [+0.15642, +6.54896]
G1 weak d1 r1      inconclusive/mixed  pxp med n/g/t [0.443, 0.023, 0.441] max [1.0, 0.252, 0.956] argmax [5, 0, 5] run095 {'null': 2, 'graded': 0, 'twostate': 1} Delta mean +0.81318 [+0.10093, +1.74652]
G1 weak d1 r2      inconclusive/mixed  pxp med n/g/t [0.762, 0.005, 0.162] max [1.0, 0.315, 0.991] argmax [7, 0, 3] run095 {'null': 2, 'graded': 0, 'twostate': 2} Delta mean +0.90519 [+0.04170, +2.69443]
G1 strong d0 r0    two-state           pxp med n/g/t [0.107, 0.094, 0.796] max [0.326, 0.395, 0.999] argmax [0, 1, 9] run095 {'null': 0, 'graded': 0, 'twostate': 3} Delta mean +1.49946 [+0.04089, +5.43092]
G1 strong d0 r1    inconclusive/mixed  pxp med n/g/t [0.119, 0.134, 0.749] max [0.349, 0.298, 0.996] argmax [0, 0, 10] run095 {'null': 0, 'graded': 0, 'twostate': 1} Delta mean +0.67583 [+0.09508, +1.29973]
G1 strong d0 r2    inconclusive/mixed  pxp med n/g/t [0.216, 0.239, 0.545] max [0.345, 0.379, 0.966] argmax [1, 1, 8] run095 {'null': 0, 'graded': 0, 'twostate': 1} Delta mean +1.14480 [+0.10934, +3.13905]
G1 strong d1 r0    inconclusive/mixed  pxp med n/g/t [0.199, 0.283, 0.6] max [0.374, 0.333, 0.918] argmax [2, 0, 8] run095 {'null': 0, 'graded': 0, 'twostate': 0} Delta mean +1.84175 [+0.04647, +12.61598]
G1 strong d1 r1    inconclusive/mixed  pxp med n/g/t [0.245, 0.275, 0.488] max [0.313, 0.394, 0.975] argmax [0, 2, 8] run095 {'null': 0, 'graded': 0, 'twostate': 1} Delta mean +1.18359 [+0.42970, +2.84877]
