generator,grid,rep,seed,size,member,n_starts_pipeline,n_starts_strong,n_train_concepts,n_test_concepts,pipeline_loglik,strong_loglik,gap,miss,pipeline_converged,pipeline_n_converged,strong_n_converged,starts_at_best,pipeline_heldout,strong_heldout,n_heldout_trials,seconds_pipeline,seconds_strong,pipeline_source,strong_source,strong_batch,challenge_is_skew,n_archived,pipeline_theta,strong_theta
M2B,{},0,500000,inner,M2B,4,84,38,14,-7131.186161551101,-7131.186161550595,5.056790541857481e-10,0,1,4,84,84,-2625.9688574686616,-2625.9688422603767,2352,0.4,2.1,cold,extra,extra,,,"[3.033834, 1.478746, 2.043181, 0.145343, 0.747789, 1.023221]","[3.033834, 1.478745, 2.043181, 0.145343, 0.74779, 1.023221]"
M2B,{},0,500000,inner,M2H,4,84,38,14,-7130.59059659523,-7130.590596591364,3.865352482534945e-09,0,1,4,84,84,-2626.5216104306332,-2626.521599546931,2352,31.6,592.3,cold,challenge,challenge,,,"[3.033842, 1.488544, 2.041216, 0.145356, 0.747217, 1.022492, -2.573567]","[3.033841, 1.488547, 2.041213, 0.145356, 0.747217, 1.02249, -2.573568]"
M2B,{},0,500000,inner,M2K,4,84,38,14,-7130.873315002236,-7130.873314917908,8.43283487483859e-08,0,1,4,84,81,-2626.051669580512,-2626.0517291551128,2352,1.0,10.2,cold,extra,extra,,,"[3.039944, 1.477646, 1.996404, 0.148041, 0.83491, 0.732258, 0.460964, -0.057994]","[3.039947, 1.477628, 1.996462, 0.14803, 0.834905, 0.732295, 0.460947, -0.058039]"
M2B,{},0,500000,inner,M2S,4,84,38,14,-7131.18616257664,-7131.186161870558,7.06081664247904e-07,0,1,4,84,84,-2625.969007720118,-2625.9687476064655,2352,29.4,505.0,cold,extra,extra,,,"[3.033837, 1.478765, 2.043166, 0.145344, 0.747791, 1.023215, -10.449675]","[3.033831, 1.478736, 2.043184, 0.145343, 0.747789, 1.023221, -11.095699]"
M2B,{},0,500000,inner,M3,4,84,38,14,-7307.1685932626415,-7307.16840671039,0.0001865522517618956,0,1,4,84,84,-2689.7707474714603,-2689.7692887685243,2352,1.2,18.2,cold,extra,extra,,,"[1.999762, 50822.9124, -0.961255, -2.424793, 3.490876, 0.903174, 0.76008]","[1.999786, 57060.965467, -0.961268, -2.42443, 3.490369, 0.903276, 0.760077]"
M2B,{},0,500000,inner,M3H,4,84,38,14,-7360.837561257949,-7360.837560905632,3.523173290886916e-07,0,1,4,84,84,-2710.769915843787,-2710.7702510236513,2352,87.9,1635.7,cold,extra,extra,,,"[-0.892895, -18.953426, 0.646732, 2.510131, 1.063552, 2.578855, -0.300165, -23.84434]","[-0.892893, -20.68503, 0.646732, 2.510046, 1.063552, 2.578854, -0.300166, -23.899775]"
M2B,{},0,500000,inner,M3L,4,84,38,14,-7360.837561800843,-7360.837560857508,9.433351806364954e-07,0,1,4,84,84,-2710.7712309528883,-2710.770533016622,2352,1.1,12.7,cold,challenge,challenge,,,"[-0.892888, -18.334391, 0.646726, 2.509878, 1.063612, 2.578866, -0.300168, -4.952255]","[-0.89289, -21.550631, 0.64673, 2.510046, 1.063562, 2.578864, -0.300167, -4.977807]"
M2B,{},0,500000,inner,M3V,4,84,38,14,-7229.760737285731,-7229.760737285731,0.0,0,1,4,84,84,-2655.168761982,-2655.168761982,2352,0.7,9.1,cold,cold,cold:pipeline,,,"[-0.903833, -18.889301, 0.657135, 2.898914, 0.914623, 2.506028, -0.597324, -0.254113]","[-0.903833, -18.889301, 0.657135, 2.898914, 0.914623, 2.506028, -0.597324, -0.254113]"
M2B,{},0,500000,outer,M2B,8,88,52,12,-9756.71424806094,-9756.714248060876,6.366462912410498e-11,0,1,8,88,88,-2267.41053286074,-2267.4105261363443,2016,0.8,2.1,cold,extra,extra,,,"[3.010944, 1.487437, 2.044097, 0.147294, 0.748142, 1.016342]","[3.010944, 1.487437, 2.044097, 0.147294, 0.748142, 1.016342]"
M2B,{},0,500000,outer,M2H,8,88,52,12,-9756.519300486018,-9756.519300486018,0.0,0,1,8,88,86,-2267.3780293623645,-2267.3780293623645,2016,105.0,1038.7,cold,cold,cold:pipeline,,,"[3.011094, 1.492306, 2.043122, 0.147248, 0.747865, 1.016019, -2.952772]","[3.011094, 1.492306, 2.043122, 0.147248, 0.747865, 1.016019, -2.952772]"
