generator,grid,rep,size,member,recipe,n_cold,n_starts,ref_loglik,prefix_loglik,gap,miss,heldout,ref_heldout,heldout_change,n_heldout_trials,seconds_strong,seconds_pipeline,n_archived
M2B,{},2,outer,M2B,cold only,8,8,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+8 @0.25,8,16,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+16 @0.25,8,24,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+32 @0.25,8,40,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+64 @0.25,8,72,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+8 @0.50,8,16,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+8 mixed,8,16,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+8 @0.25 (seed B),8,16,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+16 @0.50,8,24,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+16 mixed,8,24,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2B,+16 @0.25 (seed B),8,24,-9762.025429,-9762.025429,0.0,0,-2278.723241046842,-2278.723241046842,0.0,2016,2.5,0.8,88
M2B,{},2,outer,M2H,cold only,8,8,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+8 @0.25,8,16,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+16 @0.25,8,24,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+32 @0.25,8,40,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+64 @0.25,8,72,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+8 @0.50,8,16,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+8 mixed,8,16,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+8 @0.25 (seed B),8,16,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+16 @0.50,8,24,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+16 mixed,8,24,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2H,+16 @0.25 (seed B),8,24,-9760.381113,-9760.381113,0.0,0,-2278.7431345026685,-2278.7431345026685,0.0,2016,1010.6,117.8,88
M2B,{},2,outer,M2S,cold only,8,8,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+8 @0.25,8,16,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+16 @0.25,8,24,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+32 @0.25,8,40,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+64 @0.25,8,72,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+8 @0.50,8,16,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+8 mixed,8,16,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+8 @0.25 (seed B),8,16,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+16 @0.50,8,24,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+16 mixed,8,24,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2S,+16 @0.25 (seed B),8,24,-9762.025188,-9762.025188,0.0,0,-2278.720418738015,-2278.720418738015,0.0,2016,646.4,68.3,88
M2B,{},2,outer,M2K,cold only,8,8,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+8 @0.25,8,16,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+16 @0.25,8,24,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+32 @0.25,8,40,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+64 @0.25,8,72,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+8 @0.50,8,16,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+8 mixed,8,16,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+8 @0.25 (seed B),8,16,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+16 @0.50,8,24,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+16 mixed,8,24,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M2K,+16 @0.25 (seed B),8,24,-9758.011185,-9758.011185,0.0,0,-2281.0701657911363,-2281.0701657911363,0.0,2016,14.7,1.7,88
M2B,{},2,outer,M3,cold only,8,8,-9979.982265,-9979.982482,0.00021699999888369348,0,-2327.191053276073,-2327.193921611471,-1.4227854156915205e-06,2016,25.6,3.4,88
M2B,{},2,outer,M3,+8 @0.25,8,16,-9979.982265,-9979.982429,0.00016399999913119245,0,-2327.1921931298516,-2327.193921611471,-8.573817556875188e-07,2016,25.6,3.4,88
M2B,{},2,outer,M3,+16 @0.25,8,24,-9979.982265,-9979.982429,0.00016399999913119245,0,-2327.1921931298516,-2327.193921611471,-8.573817556875188e-07,2016,25.6,3.4,88
M2B,{},2,outer,M3,+32 @0.25,8,40,-9979.982265,-9979.982334,6.899999971210491e-05,0,-2327.191347597746,-2327.193921611471,-1.2767925224601468e-06,2016,25.6,3.4,88
M2B,{},2,outer,M3,+64 @0.25,8,72,-9979.982265,-9979.982265,0.0,0,-2327.193921611471,-2327.193921611471,0.0,2016,25.6,3.4,88
M2B,{},2,outer,M3,+8 @0.50,8,16,-9979.982265,-9979.982437,0.0001720000000204891,0,-2327.190567375596,-2327.193921611471,-1.6638074777390665e-06,2016,25.6,3.4,88
M2B,{},2,outer,M3,+8 mixed,8,16,-9979.982265,-9979.982429,0.00016399999913119245,0,-2327.1921931298516,-2327.193921611471,-8.573817556875188e-07,2016,25.6,3.4,88
M2B,{},2,outer,M3,+8 @0.25 (seed B),8,16,-9979.982265,-9979.982482,0.00021699999888369348,0,-2327.191053276073,-2327.193921611471,-1.4227854156915205e-06,2016,25.6,3.4,88
M2B,{},2,outer,M3,+16 @0.50,8,24,-9979.982265,-9979.982437,0.0001720000000204891,0,-2327.190567375596,-2327.193921611471,-1.6638074777390665e-06,2016,25.6,3.4,88
M2B,{},2,outer,M3,+16 mixed,8,24,-9979.982265,-9979.982429,0.00016399999913119245,0,-2327.1921931298516,-2327.193921611471,-8.573817556875188e-07,2016,25.6,3.4,88
M2B,{},2,outer,M3,+16 @0.25 (seed B),8,24,-9979.982265,-9979.982334,6.899999971210491e-05,0,-2327.191347597746,-2327.193921611471,-1.2767925224601468e-06,2016,25.6,3.4,88
M2B,{},2,outer,M3H,cold only,8,8,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+8 @0.25,8,16,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+16 @0.25,8,24,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+32 @0.25,8,40,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+64 @0.25,8,72,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+8 @0.50,8,16,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+8 mixed,8,16,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+8 @0.25 (seed B),8,16,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+16 @0.50,8,24,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+16 mixed,8,24,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3H,+16 @0.25 (seed B),8,24,-10054.700832,-10054.700832,0.0,0,-2341.861064550246,-2341.861064550246,0.0,2016,3394.3,316.5,88
M2B,{},2,outer,M3V,cold only,8,8,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+8 @0.25,8,16,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+16 @0.25,8,24,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+32 @0.25,8,40,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+64 @0.25,8,72,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+8 @0.50,8,16,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+8 mixed,8,16,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+8 @0.25 (seed B),8,16,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+16 @0.50,8,24,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+16 mixed,8,24,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3V,+16 @0.25 (seed B),8,24,-9887.60115,-9887.60115,0.0,0,-2299.068662623259,-2299.068662623259,0.0,2016,12.4,1.5,88
M2B,{},2,outer,M3L,cold only,8,8,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+8 @0.25,8,16,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+16 @0.25,8,24,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+32 @0.25,8,40,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+64 @0.25,8,72,-10039.820166,-10039.820691,0.0005250000012892997,0,-2339.8277181034787,-2339.829385818859,-8.272397719919253e-07,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+8 @0.50,8,16,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+8 mixed,8,16,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+8 @0.25 (seed B),8,16,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+16 @0.50,8,24,-10039.820166,-10039.820166,0.0,0,-2339.829385818859,-2339.829385818859,0.0,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+16 mixed,8,24,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,outer,M3L,+16 @0.25 (seed B),8,24,-10039.820166,-10055.491443,15.671277000001282,1,-2341.8710386712487,-2339.829385818859,0.0010127246291615519,2016,18.5,2.0,88
M2B,{},2,inner,M2B,cold only,4,4,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+8 @0.25,4,12,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+16 @0.25,4,20,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+32 @0.25,4,36,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+64 @0.25,4,68,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+8 @0.50,4,12,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+8 mixed,4,12,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+8 @0.25 (seed B),4,12,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+16 @0.50,4,20,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+16 mixed,4,20,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2B,+16 @0.25 (seed B),4,20,-7128.235709,-7128.235709,0.0,0,-2634.569019089276,-2634.569019089276,0.0,2352,2.3,0.4,84
M2B,{},2,inner,M2H,cold only,4,4,-7127.19249,-7127.19249,0.0,0,-2633.9416062660835,-2633.9416062660835,0.0,2352,649.8,30.4,84
M2B,{},2,inner,M2H,+8 @0.25,4,12,-7127.19249,-7127.19249,0.0,0,-2633.9416062660835,-2633.9416062660835,0.0,2352,649.8,30.4,84
