generator,grid,n,selection_graded,selection_inconclusive,selection_mixture,ensemble_graded,ensemble_inconclusive,ensemble_mixture,historical_graded,historical_inconclusive,historical_mixture
M2B,{},1000,1000,0,0,1000,0,0,1000,0,0
M2H,"{""tau"": 0.0}",1000,1000,0,0,1000,0,0,1000,0,0
M2H,"{""tau"": 0.5}",1000,1000,0,0,1000,0,0,1000,0,0
M2H,"{""tau"": 1.0}",1000,1000,0,0,1000,0,0,975,25,0
M2H,"{""tau"": 2.0}",1000,1000,0,0,1000,0,0,0,349,651
M2K,"{""alpha"": 0.0}",1000,1000,0,0,1000,0,0,1000,0,0
M2K,"{""alpha"": 1.0}",1000,1000,0,0,1000,0,0,1000,0,0
M2K,"{""alpha"": 3.0}",1000,1000,0,0,1000,0,0,1000,0,0
M2S,"{""omega"": 0.0}",1000,1000,0,0,1000,0,0,1000,0,0
M2S,"{""omega"": 0.5}",1000,1000,0,0,1000,0,0,966,34,0
M2S,"{""omega"": 1.0}",1000,1000,0,0,1000,0,0,846,153,1
M2S,"{""omega"": 2.0}",1000,1000,0,0,1000,0,0,77,586,337
