setting,generator,grid,n,n_concepts,sd_rep,median_se_claimed,mean_se_claimed,median_se_concept,ratio_median,ratio_mean
base (M2B),M2B,{},1000,64,0.0015302656391565253,0.0014692263870586,0.001470538162427552,0.0015705375181318164,1.0415451646087885,1.0406160671344806
"M2H, tau=0",M2H,"{""tau"": 0.0}",1000,64,0.0016402883582170202,0.0014646355725368,0.0014697000893503572,0.001569120058772183,1.1199293455477006,1.1160701221308813
"M2H, tau=0.5",M2H,"{""tau"": 0.5}",1000,64,0.004903091113025747,0.00352493525582465,0.0035540343293549896,0.0037825297446409025,1.390973381688022,1.3795846237409848
"M2H, tau=1",M2H,"{""tau"": 1.0}",1000,64,0.0027598554366477708,0.00245904375790415,0.002507342444805662,0.002628617424744062,1.122328721388839,1.1007094154072283
"M2H, tau=2",M2H,"{""tau"": 2.0}",1000,64,0.00806794988357437,0.0072129217601938495,0.007152531538443189,0.007708537549222886,1.1185411615164311,1.1279852231634382
"M2K, alpha=0",M2K,"{""alpha"": 0.0}",1000,64,0.0016664382836715566,0.00146999763282295,0.0014729057048111136,0.0015734698987808944,1.1336333110083765,1.1313950908250856
"M2K, alpha=1",M2K,"{""alpha"": 1.0}",1000,64,0.002495308439025591,0.00201827974994,0.0020256356862674197,0.0021653775404307674,1.2363540976417031,1.2318643751896097
"M2K, alpha=3",M2K,"{""alpha"": 3.0}",1000,64,0.0037272259696738913,0.00346703697151005,0.0034746454837640524,0.003720408452918112,1.0750465023309277,1.0726924479317588
"M2S, omega=0",M2S,"{""omega"": 0.0}",1000,64,0.001598453004332467,0.0014636908591411,0.0014669655784181903,0.0015655579613058784,1.0920700873068552,1.0896322503054625
"M2S, omega=0.5",M2S,"{""omega"": 0.5}",1000,64,0.05795996670309439,0.0377895782159147,0.043838892975672894,0.04064481050812466,1.5337553219550129,1.3221129177522246
"M2S, omega=1",M2S,"{""omega"": 1.0}",1000,64,0.3554945590271114,0.10726892360754126,0.18532391212964286,0.11540856726385325,3.314049839147629,1.9182336210257969
"M2S, omega=2",M2S,"{""omega"": 2.0}",1000,64,23.20973623559771,0.32493033429050094,3.3732226156774168,0.34954001571523,71.42988445900917,6.8805824222000505
