setting                    n     sd_rep     med SE  recomp SE  sd/medSE  sd/meanSE
base (M2B)              1000    0.00153    0.00147    0.00157      1.04       1.04
M2H, tau=0              1000    0.00164    0.00146    0.00157      1.12       1.12
M2H, tau=0.5            1000    0.00490    0.00352    0.00378      1.39       1.38
M2H, tau=1              1000    0.00276    0.00246    0.00263      1.12       1.10
M2H, tau=2              1000    0.00807    0.00721    0.00771      1.12       1.13
M2K, alpha=0            1000    0.00167    0.00147    0.00157      1.13       1.13
M2K, alpha=1            1000    0.00250    0.00202    0.00217      1.24       1.23
M2K, alpha=3            1000    0.00373    0.00347    0.00372      1.08       1.07
M2S, omega=0            1000    0.00160    0.00146    0.00157      1.09       1.09
M2S, omega=0.5          1000    0.05796    0.03779    0.04064      1.53       1.32
M2S, omega=1            1000    0.35549    0.10727    0.11541      3.31       1.92
M2S, omega=2            1000   23.20974    0.32493    0.34954     71.43       6.88

wrote sampling_unit.csv
