family,concept,index,clause,marked_decisive,drafter_note,R1_true,R1_names,R1_decisive,R1_comment,R2_true,R2_names,R2_decisive,R2_comment,resolution
animals,animals/ant,0,lives in large colonies ruled by one or more queens,,,,,,,,,,,
animals,animals/ant,1,has a narrow waist between its thorax and abdomen,,,,,,,,,,,
animals,animals/ant,2,communicates with its nestmates mainly through chemical scents,,,,,,,,,,,
animals,animals/ant,3,drags pieces of prey and seeds back to its nest,,,,,,,,,,,
animals,animals/ant,4,often builds its nest underground or in a mound of soil,,,,,,,,,,,
animals,animals/ant,5,has wings only in the forms that leave the nest to breed,yes,,,,,,,,,,
animals,animals/ant,6,feeds on sweet liquids as well as other insects,,,,,,,,,,,
animals,animals/ant,7,is a common uninvited guest at picnics and in kitchens,,,,,,,,,,,
animals,animals/ant,8,has bent antennae that it uses to touch and smell,,,,,,,,,,,
animals,animals/ant,9,can give a painful bite or sting in some species,,,,,,,,,,,
animals,animals/ant,10,is tiny and often seen marching in long lines,yes,,,,,,,,,,
animals,animals/ant,11,has workers that defend the nest and care for the young,,,,,,,,,,,
animals,animals/bee,0,is an important pollinator of crops and wild flowers,,,,,,,,,,,
animals,animals/bee,1,often lives in a colony headed by a single queen,,,,,,,,,,,
animals,animals/bee,2,builds six-sided wax cells to raise its young,yes,,,,,,,,,,
animals,animals/bee,3,visits flowers throughout the day to drink nectar,,,,,,,,,,,
animals,animals/bee,4,works with others in its colony to gather and store supplies,,"""works with others in its colony to gather and store supplies"": honeybees store nectar and pollen; solitary bees do not live in colonies",,,,,,,,,
animals,animals/bee,5,"has two pairs of thin, clear wings",,,,,,,,,,,
animals,animals/bee,6,can deliver a painful sting when it feels threatened,,,,,,,,,,,
animals,animals/bee,7,has declined in many areas as wild meadows disappear,,,,,,,,,,,
animals,animals/bee,8,"has a stout body covered in fine, soft hairs",,,,,,,,,,,
animals,animals/bee,9,often has black and yellow bands across its body,,,,,,,,,,,
animals,animals/bee,10,stays inside its nest with others through cold winters,,"""stays inside its nest with others through cold winters"": true of honeybees (the ordinary sense); bumblebee colonies die off and only the queens overwinter, alone",,,,,,,,,
animals,animals/bee,11,swarms when a colony splits to find a new home,yes,,,,,,,,,,
animals,animals/cat,0,"is often kept indoors, though some roam the neighbourhood",,,,,,,,,,,
animals,animals/cat,1,can pull its sharp claws back into its paws,,,,,,,,,,,
animals,animals/cat,2,is one of the most popular household pets worldwide,,,,,,,,,,,
animals,animals/cat,3,can leap onto high shelves and fences with ease,,,,,,,,,,,
animals,animals/cat,4,spends a lot of time cleaning its own fur,yes,,,,,,,,,,
animals,animals/cat,5,has whiskers that help it sense nearby objects in the dark,,,,,,,,,,,
animals,animals/cat,6,hunts rodents and small birds around homes and barns,,,,,,,,,,,
animals,animals/cat,7,is often fed from a bowl of dry pellets or tinned meat,,,,,,,,,,,
animals,animals/cat,8,"sleeps for much of the day, often in sunny spots",,,,,,,,,,,
animals,animals/cat,9,has eyes that shine in the dark when light hits them,,,,,,,,,,,
animals,animals/cat,10,has soft paws with pads that let it walk silently,,,,,,,,,,,
animals,animals/cat,11,arches its back and hisses when frightened or angry,yes,,,,,,,,,,
animals,animals/cow,0,has four digestive chambers and chews its cud,yes,,,,,,,,,,
animals,animals/cow,1,is kept on farms and fed on hay through the winter,,,,,,,,,,,
animals,animals/cow,2,grazes on grass for many hours in open pastures,,,,,,,,,,,
animals,animals/cow,3,usually has one young at a time that stands within hours,,,,,,,,,,,
animals,animals/cow,4,"is raised for its meat, milk and hide",,,,,,,,,,,
animals,animals/cow,5,calls loudly to its young when they are separated,,,,,,,,,,,
animals,animals/cow,6,is still used in some parts of the world to pull ploughs,,,,,,,,,,,
animals,animals/cow,7,often wears a numbered tag clipped to its ear,,,,,,,,,,,
animals,animals/cow,8,can weigh several hundred kilograms when fully grown,,,,,,,,,,,
animals,animals/cow,9,is often patched black and white on dairy farms,yes,,,,,,,,,,
animals,animals/cow,10,has a broad wet muzzle and a long swishing tail,,,,,,,,,,,
animals,animals/cow,11,has split hooves and sometimes a pair of curved horns,,,,,,,,,,,
animals,animals/deer,0,has males that shed and regrow their antlers each year,yes,,,,,,,,,,
animals,animals/deer,1,has young that hide motionless in tall grass while the mother feeds,,,,,,,,,,,
animals,animals/deer,2,bounds away with its white tail raised when startled,yes,"""bounds away with its white tail raised when startled"": characteristic of white-tailed deer; other species (roe, red deer) flash a pale rump patch rather than raising a white tail",,,,,,,,,
animals,animals/deer,3,"browses on leaves, shoots and twigs at forest edges",,,,,,,,,,,
animals,animals/deer,4,is a popular target for hunters with rifles and bows,,,,,,,,,,,
animals,animals/deer,5,is often struck by cars on quiet rural roads,,,,,,,,,,,
animals,animals/deer,6,has males that fight rivals for mates each autumn,,,,,,,,,,,
animals,animals/deer,7,has slender legs and hooves split in two,,,,,,,,,,,
animals,animals/deer,8,has a reddish-brown summer coat that turns greyer in winter,,"""has a reddish-brown summer coat that turns greyer in winter"": true of white-tailed, roe and red deer; not all species",,,,,,,,,
animals,animals/deer,9,has large ears that swivel to catch distant sounds,,,,,,,,,,,
animals,animals/deer,10,usually gives birth to one or two young in spring,,,,,,,,,,,
animals,animals/deer,11,tends to be most active in the hours around dawn and dusk,,,,,,,,,,,
animals,animals/dolphin,0,must come to the surface regularly to breathe air,,,,,,,,,,,
animals,animals/dolphin,1,uses clicks and their echoes to find prey underwater,yes,,,,,,,,,,
animals,animals/dolphin,2,lives and hunts in close-knit social groups at sea,,,,,,,,,,,
animals,animals/dolphin,3,is widely regarded as highly intelligent and playful,,,,,,,,,,,
animals,animals/dolphin,4,is hunted in the open sea by sharks and killer whales,,,,,,,,,,,
animals,animals/dolphin,5,has a sleek grey body and a curved fin on its back,,,,,,,,,,,
animals,animals/dolphin,6,is a mammal that nurses its young with milk underwater,,,,,,,,,,,
animals,animals/dolphin,7,has a long snout filled with many small pointed teeth,,"""has a long snout filled with many small pointed teeth"": true of most dolphins (bottlenose, common); a few (e.g. Risso's) have short snouts and few teeth",,,,,,,,,
animals,animals/dolphin,8,makes high-pitched squeaks to call to others in its group,,,,,,,,,,,
animals,animals/dolphin,9,leaps out of the water in graceful arcs,,,,,,,,,,,
animals,animals/dolphin,10,is often caught by accident in commercial fishing nets,,,,,,,,,,,
animals,animals/dolphin,11,has been trained to perform tricks for crowds at marine parks,yes,,,,,,,,,,
animals,animals/elephant,0,"is a very large, slow-growing mammal that can live for decades",,,,,,,,,,,
animals,animals/elephant,1,bathes in rivers and rolls in mud to protect its skin,,,,,,,,,,,
animals,animals/elephant,2,is threatened by poaching and the loss of its habitat,,,,,,,,,,,
animals,animals/elephant,3,has huge ears that it flaps to cool itself,yes,,,,,,,,,,
animals,animals/elephant,4,lives in herds led by an older female,,,,,,,,,,,
animals,animals/elephant,5,"has thick, wrinkled grey skin with sparse hair",,,,,,,,,,,
animals,animals/elephant,6,has a very long pregnancy and gives birth to a single young,,,,,,,,,,,
animals,animals/elephant,7,lives on African savannas and in the forests of Asia,,,,,,,,,,,
animals,animals/elephant,8,has been used to carry loads and riders in parts of Asia,,,,,,,,,,,
animals,animals/elephant,9,walks on thick pillar-like legs with padded feet,yes,,,,,,,,,,
animals,animals/elephant,10,communicates with rumbles too low for people to hear,,,,,,,,,,,
animals,animals/elephant,11,"spends most of its day feeding on grasses, bark and fruit",,,,,,,,,,,
animals,animals/fox,0,has a bushy tail and pointed ears,,,,,,,,,,,
animals,animals/fox,1,is often reddish with a white-tipped tail,yes,,,,,,,,,,
animals,animals/fox,2,raises its litter of young in an underground den,,,,,,,,,,,
animals,animals/fox,3,"has a sharp, narrow snout and a keen sense of hearing",,,,,,,,,,,
animals,animals/fox,4,raids chicken coops and rubbish bins at the edge of towns,,,,,,,,,,,
animals,animals/fox,5,is a familiar sight in many cities after dark,,,,,,,,,,,
animals,animals/fox,6,"listens for hidden rodents, then leaps and pounces on them",,,,,,,,,,,
animals,animals/fox,7,"is sometimes killed by eagles, lynx and coyotes",,"""is sometimes killed by eagles, lynx and coyotes"": documented for red foxes (golden eagles, Eurasian lynx, coyotes in North America); a lay reader may not know it",,,,,,,,,
animals,animals/fox,8,"is a small, wild member of the dog family",,,,,,,,,,,
animals,animals/fox,9,makes a high-pitched scream that can sound alarming at night,yes,,,,,,,,,,
animals,animals/fox,10,has long been trapped for its thick soft fur,,,,,,,,,,,
animals,animals/fox,11,"usually hunts alone, mostly at dusk and during the night",,,,,,,,,,,
animals,animals/frog,0,starts life as a tadpole living in water,yes,,,,,,,,,,
animals,animals/frog,1,"breathes partly through its smooth, moist skin",,,,,,,,,,,
animals,animals/frog,2,"catches insects with a fast, sticky flick from its mouth",,,,,,,,,,,
animals,animals/frog,3,"has long, powerful back legs for jumping",,,,,,,,,,,
animals,animals/frog,4,calls loudly from ponds and marshes on warm nights,,,,,,,,,,,
animals,animals/frog,5,is easily harmed by polluted water and the loss of wetlands,,,,,,,,,,,
animals,animals/frog,6,is an amphibian that lives both in water and on land,,,,,,,,,,,
animals,animals/frog,7,has webbed hind feet that help it swim quickly,,,,,,,,,,,
